sample_binID	binner	pass.MIMAG_medium	pass.MIMAG_high	pass.GUNC	pass.Polyrate	GTDBlineage	SGBtype	SGBlineage	checkM.genome_size	checkM.GC	GUNC.n_contigs	checkM.N50_contigs	checkM.coding_density	meanCov	breadth	checkM.lineage	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	checkM2.completeness	checkM2.contamination	GUNC.divergence_level	GUNC.CSS	GUNC.contamination_portion	polyrate
ERS11702727-megahit_004	binsAB	True	True	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Hornefia;s__Hornefia minuta	kSGB_3932	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_minutum|t__SGB3932	1435150	47.0	234	8776	89.49	14.7915	0.9991	o__Clostridiales (UID1120)	91.84	0.59	50.0	84.64	2.43	genus	0.27	0.23	0.0023
ERS11702727-megahit_005	binsC	True	False	True	True	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__	uSGB_17523	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17523|t__SGB17523	1222245	57.6	155	11232	90.6	11.091	0.9995	k__Bacteria (UID209)	64.41	0.0	0.0	57.86	0.83	phylum	0.15	0.13	0.0001
ERS11702727-megahit_006	binsC	False	False	False	False	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__	uSGB_17523	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17523|t__SGB17523	711593	63.7	451	1523	88.13	13.8636	0.9977	k__Bacteria (UID209)	32.97	0.46	66.67	27.26	0.78	family	0.61	0.13	0.0131
ERS11702728-megahit_001	binsA	True	False	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis	kSGB_15877	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis|t__SGB15877	2161566	72.6	1004	2318	88.11	22.9332	0.9971	f__Actinomycetaceae (UID1531)	67.43	2.69	36.36	67.26	2.3	kingdom	0.0	0.0	0.0047
ERS11702728-megahit_002	binsABC	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__	uSGB_41163	k__Bacteria|p__Firmicutes|c__CFGB9549|o__OFGB9549|f__FGB9549|g__GGB28553|s__GGB28553_SGB41163|t__SGB41163	779077	43.8	221	3847	89.44	10.5629	0.9984	o__Clostridiales (UID1120)	65.46	0.0	0.0	60.79	1.34	family	0.15	0.6	0.0002
ERS11702728-megahit_003	binsAC	True	False	False	True	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F;s__	kSGB_14348	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_oral_taxon_807|t__SGB14348	1340665	61.5	780	1761	86.0	6.2822	0.9967	p__Actinobacteria (UID2112)	53.08	1.21	50.0	50.0	1.89	family	0.46	0.02	0.001
ERS11702728-megahit_004	binsC	True	False	True	True	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp905372095	kSGB_19883	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified|s__Candidatus_Saccharibacteria_bacterium_TM7_ANC_38_39_G1_1|t__SGB19883	731811	48.7	148	7154	93.01	11.8664	0.999	k__Bacteria (UID1452)	58.58	1.85	50.0	85.79	0.58	order	0.3	0.02	0.0003
ERS11702728-megahit_005	binsA	True	True	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	kSGB_24946	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_unclassified|s__Peptostreptococcaceae_bacterium_pGA_8|t__SGB24946	1540235	39.5	81	28767	86.73	87.9395	1.0	o__Clostridiales (UID1120)	97.87	2.84	0.0	97.39	2.42	class	0.1	0.08	0.0001
ERS11702728-megahit_006	binsAC	True	False	False	False	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__	uSGB_17523	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17523|t__SGB17523	1152652	64.3	434	3086	88.22	12.4466	0.998	k__Bacteria (UID209)	58.94	1.31	50.0	56.74	1.41	order	0.47	0.2	0.0052
ERS11702729-megahit_001	binsA	True	True	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7111;s__	kSGB_24946	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_unclassified|s__Peptostreptococcaceae_bacterium_pGA_8|t__SGB24946	1523531	42.5	40	106350	87.3	95.5512	0.9999	o__Clostridiales (UID1120)	94.33	0.0	0.0	97.96	0.17	family	0.06	0.64	0.0
ERS11702729-megahit_002	binsAB	True	False	True	True	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__	uSGB_17524	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB10852|s__GGB10852_SGB17524|t__SGB17524	1268920	57.8	258	6050	90.51	9.9039	0.9993	k__Bacteria (UID209)	69.18	1.69	100.0	57.9	0.29	order	0.2	0.05	0.0001
ERS11702729-megahit_003	binsA	True	True	True	True	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	kSGB_720	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis|t__SGB720	2053111	30.8	203	17520	87.21	42.5363	0.9995	p__Euryarchaeota (UID3)	99.2	0.0	0.0	99.87	0.61	kingdom	0.0	0.0	0.0001
ERS11702729-megahit_004	binsABC	True	False	True	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea;s__Flexilinea sp001717545	kSGB_17621	k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified|s__Anaerolineaceae_bacterium_oral_taxon_439|t__SGB17621	1945008	56.6	589	3629	91.58	9.6584	0.9988	k__Bacteria (UID1452)	77.32	2.27	0.0	81.62	1.18	kingdom	0.0	0.0	0.0023
ERS11702729-megahit_005	binsAC	True	False	True	True	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F;s__	kSGB_14348	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_oral_taxon_807|t__SGB14348	2072244	61.8	787	3061	85.68	8.8724	0.9969	p__Actinobacteria (UID2112)	80.74	4.8	25.0	81.68	3.22	order	0.27	0.02	0.0019
ERS11702729-megahit_006	binsC	True	False	True	True	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA3738;s__	kSGB_3932	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_minutum|t__SGB3932	1063758	40.3	458	2652	88.5	8.6605	0.9983	o__Clostridiales (UID1120)	79.39	2.52	50.0	76.22	1.07	genus	0.17	0.65	0.0002
ERS11702731-megahit_001	binsC	True	False	True	True	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	kSGB_720	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis|t__SGB720	1325868	32.9	642	2153	92.61	8.3835	0.9976	p__Euryarchaeota (UID3)	71.01	0.86	0.0	71.85	0.26	kingdom	0.0	0.0	0.0003
ERS11702731-megahit_002	binsC	True	False	True	False	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_F;s__Olsenella_F sp001189515	kSGB_14348	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_oral_taxon_807|t__SGB14348	1945648	61.1	961	2172	86.19	9.6715	0.9964	p__Actinobacteria (UID2112)	69.22	2.04	42.86	60.75	3.09	phylum	0.14	0.03	0.0074
ERS11702731-megahit_003	binsAC	True	False	True	True	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia mediterranea	kSGB_33770	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_mediterranea|t__SGB33770	1538733	64.3	769	2108	90.55	7.5822	0.9944	f__Actinomycetaceae (UID1531)	66.37	2.07	20.0	58.03	0.8	kingdom	0.0	0.0	0.0011
