Bin	secondary_cluster	primary_cluster	length	completeness	contamination	Secondary_sample_accession	MAG_source	Study	Oral_site	Age_BP	Country	Continent	R1_depth	Paired	Direction	Industrialization	sample_host
ERS6256722.bin.r.1	10_2	10	702041	57.83	1.71	ERS6256722	Ancient	Ottoni2021	anc_calculus	8300	Italy	Europe	24280542	Yes	Ancient	Ancient	Homo sapiens
ERS6256717.bin.r.5	10_3	10	606157	56.49	2.14	ERS6256717	Ancient	Ottoni2021	anc_calculus	10600	Italy	Europe	23747500	Yes	Ancient	Ancient	Homo sapiens
ERS6256709.bin.r.7	10_4	10	585981	51.14	1.28	ERS6256709	Ancient	Ottoni2021	anc_calculus	12600	Romania	Europe	28288413	Yes	Ancient	Ancient	Homo sapiens
SRS15300794.bin.r.4	11_1	11	646777	57.75	0.95	SRS15300794	Ancient	Honap2023	anc_calculus	700	USA	North America	25794829	Yes	Ancient	Ancient	Homo sapiens
SRS15300801.bin.r.21	11_2	11	562744	54.08	1.03	SRS15300801	Ancient	Honap2023	anc_calculus	700	USA	North America	67185026	Yes	Ancient	Ancient	Homo sapiens
SRS15300792.bin.r.5	11_3	11	699937	63.82	0	SRS15300792	Ancient	Honap2023	anc_calculus	700	USA	North America	25630523	Yes	Ancient	Ancient	Homo sapiens
SRS15300811.bin.r.11	11_4	11	685264	61.25	0	SRS15300811	Ancient	Honap2023	anc_calculus	700	USA	North America	37180349	Yes	Ancient	Ancient	Homo sapiens
ERSX0004065.bin.r.1	12_0	12	766684	62.11	0.85	ERSX0004065	Ancient	PacificCalculus	anc_calc	485	Taumako_Duff_Islands	Oceania	15030129	Yes	Ancient	Ancient	Homo sapiens
ERS3774441.bin.r.17	13_0	13	700882	57.83	1.09	ERS3774441	Ancient	FellowsYates2021-humanaDNA	anc_calculus	102000	Serbia	Europe	62215063	Yes	Ancient	Ancient	Homo sapiens neanderthalensis
GWHAQPE00000000	14_0	14	749988	58.35	4.49	RDPYD18189861	Zhu2022	Zhu2022	SL	7	China	Asia	68194395	Yes	Eastern	Industrial	Homo sapiens
GWHARPA00000000	15_0	15	665340	55.7	2.83	RSZYD18187275	Zhu2022	Zhu2022	SL	7	China	Asia	78783580	Yes	Eastern	Industrial	Homo sapiens
GWHAPQZ00000000	16_0	16	857148	84.31	8.63	RDPYD18189903	Zhu2022	Zhu2022	SL	7	China	Asia	97992173	Yes	Eastern	Industrial	Homo sapiens
GWHARUI00000000	17_0	17	745149	59.97	1.71	RSZYD18187666	Zhu2022	Zhu2022	SL	7	China	Asia	78967523	Yes	Eastern	Industrial	Homo sapiens
GWHAREV00000000	18_0	18	650787	52.28	0.43	RSZYD18078570	Zhu2022	Zhu2022	SL	7	China	Asia	60886839	Yes	Eastern	Industrial	Homo sapiens
GWHAPYU00000000	19_0	19	740094	57.41	0.85	RSZYD18187330	Zhu2022	Zhu2022	SL	7	China	Asia	86637327	Yes	Eastern	Industrial	Homo sapiens
GWHARPI00000000	20_0	20	542971	52.45	0.85	RSZYD18187289	Zhu2022	Zhu2022	SL	7	China	Asia	97815715	Yes	Eastern	Industrial	Homo sapiens
GWHAPUR00000000	21_0	21	564261	52.64	1.8	RSZYD18078201	Zhu2022	Zhu2022	SL	7	China	Asia	51313211	Yes	Eastern	Industrial	Homo sapiens
ERS12516936.bin.r.39	22_0	22	685969	56.98	2.56	ERS12516936	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	50619612	Yes	Global South	Non_industrial	Homo sapiens
ERS12516950.bin.r.11	23_0	23	744130	54.1	8.21	ERS12516950	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	32026604	Yes	Global South	Non_industrial	Homo sapiens
ERS12516940.bin.r.10	24_0	24	749452	57.57	0	ERS12516940	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	41866068	Yes	Global South	Non_industrial	Homo sapiens
CMC023.A.bin.r.42	25_1	25	732030	61.68	1.03	CMC023.A	CMC	Velsko2023	supPQ	7	Cameroon	Africa	240572160	Yes	Global South	Non_industrial	Homo sapiens
CMC035.B.bin.r.47	25_2	25	597944	53.46	1.85	CMC035.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	323719647	Yes	Global South	Non_industrial	Homo sapiens
ERSX0003001.bin.r.27	26_1	26	679595	52.14	5.23	ERSX0003001	Ancient	SMH2023	anc_calculus	700	Germany	Europe	164169600	Yes	Ancient	Ancient	Homo sapiens
ERSX0003002.bin.r.39	26_2	26	699824	54.69	1.67	ERSX0003002	Ancient	SMH2023	anc_calculus	700	Germany	Europe	213889522	Yes	Ancient	Ancient	Homo sapiens
ERS6205386.bin.r.2	26_3	26	639816	52.61	1.52	ERS6205386	Ancient	Granehall2021	anc_calculus	4800	Italy	Europe	25386652	Yes	Ancient	Ancient	Homo sapiens
SRS3078115.bin.r.4	26_4	26	691836	62.96	1.03	SRS3078115	Ancient	Mann2018	anc_calculus	1000	Ireland	Europe	32246042	Yes	Ancient	Ancient	Homo sapiens
ERS6205399.bin.r.6	26_5	26	730677	61.68	0.85	ERS6205399	Ancient	Granehall2021	anc_calculus	1300	Italy	Europe	40133430	Yes	Ancient	Ancient	Homo sapiens
CMC033.B.bin.r.51	27_1	27	734633	57.41	0.85	CMC033.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	244164311	Yes	Global South	Non_industrial	Homo sapiens
CMC043.B.bin.r.18	27_2	27	708051	54.38	1.71	CMC043.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	241096817	Yes	Global South	Non_industrial	Homo sapiens
CMC040.B.bin.r.37	28_1	28	757732	60.4	0.85	CMC040.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	246507346	Yes	Global South	Non_industrial	Homo sapiens
ERS3395773.bin.r.18	28_2	28	721966	56.13	0.85	ERS3395773	Velsko2019	Velsko2019	mod_calculus	7	Spain	Europe	73800335	Yes	Western	Industrial	Homo sapiens
CM_periimplantitis__SP_184SPT_T016__bin.12	29_1	29	826507	62.10826211	0.854700855	SP_184SPT_T016	Passoli2019	CM_periimplantitis	subPQ	7	Italy	Europe	12035354	Yes	Western	Industrial	Homo sapiens
CM_periimplantitis__SP_384SPI_T016__bin.9	29_1	29	772334	60.37037037	0	SP_384SPI_T016	Passoli2019	CM_periimplantitis	subPQ	7	Italy	Europe	8963741	Yes	Western	Industrial	Homo sapiens
MGYG000298207	29_1	29	679537	58.52	0	ERS6080736	MGNify	ERP127228	supPQ	7	Italy	Europe	5248769.0619469	Yes	Western	Industrial	Homo sapiens
CM_periimplantitis__SP_287SPT_T016__bin.19	29_2	29	770160	62.53561254	1.282051282	SP_287SPT_T016	Passoli2019	CM_periimplantitis	subPQ	7	Italy	Europe	23436676	Yes	Western	Industrial	Homo sapiens
CM_periimplantitis__SP_285SPI_T016__bin.12	29_3	29	688812	52.94396961	1.709401709	SP_285SPI_T016	Passoli2019	CM_periimplantitis	subPQ	7	Italy	Europe	7595415	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS019029__bin.27	30_1	30	733249	62.53561254	0.854700855	SRS019029	Passoli2019	HMP_2012	subPQ	7	USA	North America	29676084	Yes	Western	Industrial	Homo sapiens
MGYG000298093	30_2	30	808514	62.96	0.85	SAMN14602654	MGNify	SRP256368	supPQ	7	USA	North America	12098881.3169014	Yes	Western	Industrial	Homo sapiens
MGYG000298093	30_2	30	808514	62.96	0.85	SAMN14602654	MGNify	SRP256368	supPQ	7	USA	North America	1576547.75	No	Western	Industrial	Homo sapiens
MGYG000298146	30_3	30	749127	58.26	0	ERS6076634	MGNify	ERP124374	subPQ	7	not provided	not provided	3608983.57142857	Yes	Western	Industrial	Homo sapiens
MGYG000298146	30_3	30	749127	58.26	0	ERS6076634	MGNify	ERP124374	subPQ	7	not provided	not provided	817968.375	No	Western	Industrial	Homo sapiens
CM_periimplantitis__SP_163SPI_T016__bin.10	30_4	30	796648	62.96296296	0.854700855	SP_163SPI_T016	Passoli2019	CM_periimplantitis	subPQ	7	Italy	Europe	15103027	Yes	Western	Industrial	Homo sapiens
MGYG000299076	30_4	30	784600	62.96	0.85	ERS6080628	MGNify	ERP127228	supPQ	7	Italy	Europe	5248769.0619469	Yes	Western	Industrial	Homo sapiens
CM_periimplantitis__SP_387SPT_T016__bin.14	30_5	30	830613	63.39031339	0.854700855	SP_387SPT_T016	Passoli2019	CM_periimplantitis	subPQ	7	Italy	Europe	9818103	Yes	Western	Industrial	Homo sapiens
MGYG000298543	30_5	30	827820	63.82	0.85	ERS6080740	MGNify	ERP127228	supPQ	7	Italy	Europe	5248769.0619469	Yes	Western	Industrial	Homo sapiens
ERS3774488.bin.r.8	30_6	30	792332	60.4	1.71	ERS3774488	FellowsYates2021	FellowsYates2021	mod_calculus	7	Spain	Europe	43443020	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS017691__bin.7	30_7	30	814664	62.96296296	1.709401709	SRS017691	Passoli2019	HMP_2012	supPQ	7	USA	North America	71609681	Yes	Western	Industrial	Homo sapiens
ERS3774492.bin.r.13	30_8	30	724550	61.51	2.14	ERS3774492	FellowsYates2021	FellowsYates2021	mod_calculus	7	Spain	Europe	19131370	Yes	Western	Industrial	Homo sapiens
CMC010.B.bin.r.31	30_9	30	726030	56.84	1.03	CMC010.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	241839680	Yes	Global South	Non_industrial	Homo sapiens
CMC007.B.bin.r.31	31_1	31	821652	62.96	1.71	CMC007.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	291745041	Yes	Global South	Non_industrial	Homo sapiens
CMC018.B.bin.r.11	31_2	31	806518	62.79	0.85	CMC018.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	214191009	Yes	Global South	Non_industrial	Homo sapiens
CMC039.B.bin.r.62	31_3	31	761836	61.25	2.14	CMC039.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	224512142	Yes	Global South	Non_industrial	Homo sapiens
CMC045.B.bin.r.9	31_4	31	737423	56.55	3.76	CMC045.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	265986262	Yes	Global South	Non_industrial	Homo sapiens
CMC024.B.bin.r.50	31_5	31	781748	53.89	7.86	CMC024.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	294430419	Yes	Global South	Non_industrial	Homo sapiens
CMC008.B.bin.r.1	31_6	31	814287	62.11	1.71	CMC008.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	300087162	Yes	Global South	Non_industrial	Homo sapiens
CMC013.B.bin.r.32	32_0	32	683364	59.59	2.14	CMC013.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	281359865	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS013836__bin.4	33_0	33	630921	55.6980057	0.854700855	SRS013836	Passoli2019	HMP_2012	supPQ	7	USA	North America	39453410	Yes	Western	Industrial	Homo sapiens
ERS12516979.bin.r.26	34_0	34	826343	63.82	0.85	ERS12516979	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	42644460	Yes	Global South	Non_industrial	Homo sapiens
ERS12516985.bin.r.13	35_0	35	700323	57.83	2.78	ERS12516985	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	50660312	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS014107__bin.6	36_0	36	577511	51.85185185	1.923076923	SRS014107	Passoli2019	HMP_2012	subPQ	7	USA	North America	11784578	Yes	Western	Industrial	Homo sapiens
ERS3774485.bin.r.18	37_0	37	532929	62.85	0	ERS3774485	FellowsYates2021	FellowsYates2021	mod_calculus	7	Spain	Europe	34014564	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS016575__bin.11	38_0	38	661088	57.83475783	0.854700855	SRS016575	Passoli2019	HMP_2012	supPQ	7	USA	North America	66622189	Yes	Western	Industrial	Homo sapiens
ERS3774451.bin.r.4	39_0	39	625423	51	0.95	ERS3774451	Ancient	FellowsYates2021-humanaDNA	anc_calculus	14500	Morocco	Africa	77905320	Yes	Ancient	Ancient	Homo sapiens
ERS12516948.bin.r.38	40_0	40	629517	54.77	2.35	ERS12516948	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	66118996	Yes	Global South	Non_industrial	Homo sapiens
CMC034.B.bin.r.17	41_0	41	538564	51.1	0	CMC034.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	209802931	Yes	Global South	Non_industrial	Homo sapiens
ERS3774450.bin.r.1	42_0	42	750188	61.25	1.04	ERS3774450	Ancient	FellowsYates2021-humanaDNA	anc_calculus	7500	South Africa	Africa	51212656	Yes	Ancient	Ancient	Homo sapiens
ERS6256688.bin.r.17	43_0	43	374543	51.72	0	ERS6256688	Ancient	Ottoni2021	anc_calculus	400	Serbia	Europe	42161908	Yes	Ancient	Ancient	Homo sapiens
CMC035.B.bin.r.54	44_1	44	3101697	93.57	1.19	CMC035.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	323719647	Yes	Global South	Non_industrial	Homo sapiens
ERS3774422.bin.r.36	44_2	44	2207948	76.75	1.92	ERS3774422	Ancient	FellowsYates2021-nonhumanDNA	anc_calculus	200	Uganda	Africa	103403474	Yes	Ancient	Ancient	Pan troglodytes schweinfurthii
CMC022.B.bin.r.82	45_1	45	2853811	93.65	0.48	CMC022.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	243962099	Yes	Global South	Non_industrial	Homo sapiens
CMC026.B.bin.r.74	45_1	45	1741591	63.25	1.88	CMC026.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	234021014	Yes	Global South	Non_industrial	Homo sapiens
ERS3395771.bin.r.31	45_1	45	2685077	94.92	0	ERS3395771	Velsko2019	Velsko2019	mod_calculus	7	Spain	Europe	53238754	Yes	Western	Industrial	Homo sapiens
ERS3395772.bin.r.3	45_1	45	1820559	60.53	0.71	ERS3395772	Velsko2019	Velsko2019	mod_calculus	7	Spain	Europe	45398636	Yes	Western	Industrial	Homo sapiens
ERS3774422.bin.r.29	46_0	46	2319645	81.46	4.31	ERS3774422	Ancient	FellowsYates2021-nonhumanDNA	anc_calculus	200	Uganda	Africa	103403474	Yes	Ancient	Ancient	Pan troglodytes schweinfurthii
CMC011.B.bin.r.109	47_1	47	1188755	52.29	0.35	CMC011.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	225401674	Yes	Global South	Non_industrial	Homo sapiens
CMC018.B.bin.r.53	47_1	47	2240904	95.08	0.1	CMC018.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	214191009	Yes	Global South	Non_industrial	Homo sapiens
CMC022.B.bin.r.93	47_1	47	1671376	74.88	0.87	CMC022.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	243962099	Yes	Global South	Non_industrial	Homo sapiens
CMC024.B.bin.r.64	47_1	47	2064018	88.63	0.53	CMC024.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	294430419	Yes	Global South	Non_industrial	Homo sapiens
CMC035.B.bin.r.82	47_1	47	1673211	77.83	1.81	CMC035.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	323719647	Yes	Global South	Non_industrial	Homo sapiens
CMC038.A.bin.r.32	47_1	47	2058133	88.66	1.57	CMC038.A	CMC	Velsko2023	supPQ	7	Cameroon	Africa	341259832	Yes	Global South	Non_industrial	Homo sapiens
CMC038.B.bin.r.69	47_1	47	2190028	94.6	0.1	CMC038.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	309352455	Yes	Global South	Non_industrial	Homo sapiens
ERS4042406.bin.r.10	47_1	47	1523602	71.11	2.41	ERS4042406	Ancient	Fagernas2020	anc_calculus	1500	Great Britain	Europe	53012213	Yes	Ancient	Ancient	Homo sapiens
CMC038.A.bin.r.21	48_0	48	1571795	70.23	0.89	CMC038.A	CMC	Velsko2023	supPQ	7	Cameroon	Africa	341259832	Yes	Global South	Non_industrial	Homo sapiens
CMC038.A.bin.r.52	49_1	49	687031	66.29	0.56	CMC038.A	CMC	Velsko2023	supPQ	7	Cameroon	Africa	341259832	Yes	Global South	Non_industrial	Homo sapiens
CMC038.B.bin.r.134	49_1	49	669025	65.54	0	CMC038.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	309352455	Yes	Global South	Non_industrial	Homo sapiens
ERS6636099.bin.r.17	49_2	49	586629	66.4	0.37	ERS6636099	Ancient	Fagernas2022	anc_calculus	4700	Spain	Europe	257968974	Yes	Ancient	Ancient	Homo sapiens
ERS6636154.bin.r.19	49_3	49	580651	60.86	0.56	ERS6636154	Ancient	Fagernas2022	anc_calculus	4700	Spain	Europe	283319256	Yes	Ancient	Ancient	Homo sapiens
ERSX0003001.bin.r.20	49_4	49	672580	66.1	1.12	ERSX0003001	Ancient	SMH2023	anc_calculus	700	Germany	Europe	164169600	Yes	Ancient	Ancient	Homo sapiens
ERSX0003003.bin.r.26	49_5	49	597862	64.22	1.79	ERSX0003003	Ancient	SMH2023	anc_calculus	700	Germany	Europe	346299893	Yes	Ancient	Ancient	Homo sapiens
ERS6256693.bin.r.11	49_6	49	606776	65.36	2.25	ERS6256693	Ancient	Ottoni2021	anc_calculus	9300	Serbia	Europe	44854557	Yes	Ancient	Ancient	Homo sapiens
ERS6256704.bin.r.12	50_1	50	578835	65.13	0.86	ERS6256704	Ancient	Ottoni2021	anc_calculus	7600	Serbia	Europe	49034631	Yes	Ancient	Ancient	Homo sapiens
SRS15300802.bin.r.14	50_2	50	714324	55.13	0.85	SRS15300802	Ancient	Honap2023	anc_calculus	700	USA	North America	50095058	Yes	Ancient	Ancient	Homo sapiens
ERS11702771.bin.r.9	50_3	50	583915	51.52	3.5	ERS11702771	Ancient	Velsko2022	anc_calculus	200	The Netherlands	Europe	22500008	Yes	Ancient	Ancient	Homo sapiens
ERSX0004058.bin.r.2	50_4	50	593673	54.55	0.09	ERSX0004058	Ancient	PacificCalculus	anc_calc	400	Taiwan	Asia	10552121	Yes	Ancient	Ancient	Homo sapiens
ERS2985760.bin.r.9	50_5	50	512914	59.58	2.35	ERS2985760	Ancient	Velsko2019	anc_calculus	200	England	Europe	33941049	Yes	Ancient	Ancient	Homo sapiens
ERS2985742.bin.r.2	50_6	50	577101	61.61	0	ERS2985742	Ancient	Velsko2019	anc_calculus	200	England	Europe	19558440	Yes	Ancient	Ancient	Homo sapiens
ERS2985773.bin.r.13	50_7	50	530144	53.66	1.31	ERS2985773	Ancient	Velsko2019	anc_calculus	200	England	Europe	37962476	Yes	Ancient	Ancient	Homo sapiens
SRS3078163.bin.r.5	50_8	50	645449	71.13	1.88	SRS3078163	Ancient	Mann2018	anc_calculus	1000	Ireland	Europe	37296396	Yes	Ancient	Ancient	Homo sapiens
ERS11702741.bin.r.5	50_9	50	529509	56.51	1.29	ERS11702741	Ancient	Velsko2022	anc_calculus	200	The Netherlands	Europe	17382058	Yes	Ancient	Ancient	Homo sapiens
ERS2985784.bin.r.1	50_10	50	490285	58.68	0	ERS2985784	Ancient	Velsko2019	anc_calculus	200	England	Europe	40174162	Yes	Ancient	Ancient	Homo sapiens
ERS11702731.bin.r.6	50_11	50	630389	66.45	0	ERS11702731	Ancient	Velsko2022	anc_calculus	500	Spain	Europe	26887074	Yes	Ancient	Ancient	Homo sapiens
ERS11702809.bin.r.3	50_12	50	568050	67.24	0.34	ERS11702809	Ancient	Velsko2022	anc_calculus	200	The Netherlands	Europe	19726134	Yes	Ancient	Ancient	Homo sapiens
ERSX0002001.bin.r.3	50_13	50	833584	57.69	0	ERSX0002001	Ancient	RIII2023	anc_calculus	700	Great Britain	Europe	36839314	Yes	Ancient	Ancient	Homo sapiens
ERS12516963.bin.r.42	50_14	50	680327	64.92	1.12	ERS12516963	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	93653948	Yes	Global South	Non_industrial	Homo sapiens
ERS12516969.bin.r.11	50_15	50	795947	55.98	0.85	ERS12516969	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	26297136	Yes	Global South	Non_industrial	Homo sapiens
ERS12516970.bin.r.125	50_16	50	801503	56.67	0.08	ERS12516970	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	272017072	Yes	Global South	Non_industrial	Homo sapiens
ERS3774422.bin.r.44	51_0	51	716526	67.79	0	ERS3774422	Ancient	FellowsYates2021-nonhumanDNA	anc_calculus	200	Uganda	Africa	103403474	Yes	Ancient	Ancient	Pan troglodytes schweinfurthii
CMC018.B.bin.r.24	52_1	52	698617	75.21	8.61	CMC018.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	214191009	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS063603__bin.66	52_2	52	453625	58.64727914	2.247191011	SRS063603	Passoli2019	HMP_2012	supPQ	7	USA	North America	59377678	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS023595__bin.93	52_3	52	738414	62.53561254	0	SRS023595	Passoli2019	HMP_2012	supPQ	7	USA	North America	100338948	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS014470__bin.14	53_1	53	630249	72.27272727	3.448275862	SRS014470	Passoli2019	HMP_2012	TN	7	USA	North America	84590931	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS016319__bin.55	53_2	53	692460	64.79647965	0	SRS016319	Passoli2019	HMP_2012	TN	7	USA	North America	95666232	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS014271__bin.62	53_3	53	713186	62.96296296	0	SRS014271	Passoli2019	HMP_2012	TN	7	USA	North America	85981142	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS018739__bin.11	53_4	53	702390	62.10826211	0.854700855	SRS018739	Passoli2019	HMP_2012	TN	7	USA	North America	79566302	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS024081__bin.46	53_5	53	602390	68.18181818	2.852664577	SRS024081	Passoli2019	HMP_2012	TN	7	USA	North America	111436227	Yes	Western	Industrial	Homo sapiens
ERS12516955.bin.r.18	53_6	53	666205	52.71	5.13	ERS12516955	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	315392644	Yes	Global South	Non_industrial	Homo sapiens
GWHAPRE00000000	53_7	53	775363	65.72	7.76	RDPYD18189921	Zhu2022	Zhu2022	SL	7	China	Asia	105064472	Yes	Eastern	Industrial	Homo sapiens
ERS12516962.bin.r.69	54_0	54	583346	79.47	0	ERS12516962	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	252721172	Yes	Global South	Non_industrial	Homo sapiens
GWHAQUW00000000	55_0	55	633952	74.06	3.57	RDPYD18300154	Zhu2022	Zhu2022	SL	7	China	Asia	58647741	Yes	Eastern	Industrial	Homo sapiens
GWHARPN00000000	56_0	56	600594	65.8	1.72	RSZYD18187306	Zhu2022	Zhu2022	SL	7	China	Asia	77552879	Yes	Eastern	Industrial	Homo sapiens
HMP_2012__SRS014271__bin.5	57_0	57	619595	83.46394984	0	SRS014271	Passoli2019	HMP_2012	TN	7	USA	North America	85981142	Yes	Western	Industrial	Homo sapiens
MGYG000298670	58_0	58	667180	81.45	0	SAMN14570671	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
GWHAQOY00000000	59_1	59	586631	65.52	0	RDPYD18189845	Zhu2022	Zhu2022	SL	7	China	Asia	81290241	Yes	Eastern	Industrial	Homo sapiens
GWHARJD00000000	59_2	59	786628	84.33	0	RSZYD18078798	Zhu2022	Zhu2022	SL	7	China	Asia	103118695	Yes	Eastern	Industrial	Homo sapiens
GWHAPSG00000000	60_0	60	739240	84.17	0	RDPYD18190871	Zhu2022	Zhu2022	TN	7	China	Asia	68974995	Yes	Eastern	Industrial	Homo sapiens
GWHAQTJ00000000	61_0	61	654397	52.16	1.88	RDPYD18300036	Zhu2022	Zhu2022	SL	7	China	Asia	91517096	Yes	Eastern	Industrial	Homo sapiens
GWHAQQM00000000	62_0	62	684234	74.78	0	RDPYD18189922	Zhu2022	Zhu2022	SL	7	China	Asia	70124516	Yes	Eastern	Industrial	Homo sapiens
GWHARAZ00000000	63_0	63	612003	54.78	0	RSZYD18078259	Zhu2022	Zhu2022	SL	7	China	Asia	92545794	Yes	Eastern	Industrial	Homo sapiens
