"Bin"	"prepublication_bin"	"length"	"completeness"	"contamination"	"Secondary_sample_accession"	"prepublication_secondary_sample_accession"	"MAG_source"	"Study"	"Oral_site"	"Age_BP"	"Country"	"Continent"	"Industrialization"	"sample_host"	"Host"	"Sample"	"primary_cluster"	"log_age"	"latitude"	"longitude"	"checkM.genome_size"	"checkM.GC"	"GUNC.n_contigs"	"checkM.N50_contigs"	"checkM.completeness"	"checkM.contamination"	"checkM2.completeness"	"checkM2.contamination"	"pass.GUNC"	"quast_n_contigs"	"quast_total_length"	"quast_GC"	"quast_N50"	"Cas_subtype_1"	"Cas_subtype_2"	"CAZyme"	"nimI"	"Prophage"	"completeness_mcr"	"completeness_mtr_mcr"	"total_snps"	"fastBAPS_cluster"
"ERS6205403.bin.r.3"	"ERS6205403.bin.r.3"	913288	57.83	0	"ERS6205403"	"ERS6205403"	"Ancient"	"Granehall2021"	"anc_calculus"	1300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6205403-megahit_003"	1187	3.11394335230684	46.73	11.67	913288	31	541	1721	57.83	0	41.95	1.82	"TRUE"	543	913288	30.97	1721	"None"	"None"	"GT66|GT4|GT81|GT2"	"Absent"	"Absent"	"Missing"	"Missing"	546	"1187_3"
"ERS6256688.bin.r.8"	"ERS6256688.bin.r.8"	1719680	84.08	2.8	"ERS6256688"	"ERS6256688"	"Ancient"	"Ottoni2021"	"anc_calculus"	400	"Serbia"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256688-megahit_008"	1187	2.60205999132796	44.557	22.026	1719680	31.3	346	5823	84.08	2.8	84.47	3.17	"TRUE"	346	1719680	31.26	5823	"None"	"None"	"GT2|GT4|GT81|GT66|GH154"	"Present"	"Absent"	"Missing"	"Present"	976	"1187_3"
"ERS6256699.bin.r.18"	"ERS6256699.bin.r.18"	1803524	95.07	0.8	"ERS6256699"	"ERS6256699"	"Ancient"	"Ottoni2021"	"anc_calculus"	7000	"Serbia"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256699-megahit_018"	1187	3.84509804001426	44.53	22.05	1803524	31.5	159	16349	95.07	0.8	94.51	0.52	"TRUE"	159	1803524	31.45	16349	"III-A"	"None"	"GT4|GT81|GH154|GT2|GT66"	"Absent"	"Absent"	"Missing"	"Present"	1313	"1187_1"
"ERS6256700.bin.r.8"	"ERS6256700.bin.r.8"	1003456	56.07	0.4	"ERS6256700"	"ERS6256700"	"Ancient"	"Ottoni2021"	"anc_calculus"	8100	"Serbia"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256700-megahit_008"	1187	3.90848501887865	44.53	22.05	1003456	31.6	409	2527	56.07	0.4	51.25	0.25	"TRUE"	409	1003456	31.64	2527	"None"	"None"	"GT2|GT66|GT81|GT4|GH154"	"Absent"	"Absent"	"Missing"	"Present"	713	"1187_2"
"ERS6256701.bin.r.8"	"ERS6256701.bin.r.8"	1363954	66.42	0.8	"ERS6256701"	"ERS6256701"	"Ancient"	"Ottoni2021"	"anc_calculus"	7600	"Serbia"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256701-megahit_008"	1187	3.88081359228079	44.53	22.05	1363954	31.5	394	3888	66.42	0.8	75.21	0.59	"TRUE"	395	1363954	31.52	3888	"III-A"	"None"	"GT2|GT4|GT81"	"Absent"	"Absent"	"Missing"	"Present"	1163	"1187_2"
"ERS6256704.bin.r.17"	"ERS6256704.bin.r.17"	1884856	91.45	9.6	"ERS6256704"	"ERS6256704"	"Ancient"	"Ottoni2021"	"anc_calculus"	7600	"Serbia"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256704-megahit_017"	1187	3.88081359228079	44.53	22.05	1884856	31.5	232	12294	91.45	9.6	90.2	5.29	"TRUE"	232	1884856	31.55	12294	"III-A"	"None"	"GT4|GT2|GH154|GT66|GT81"	"Present"	"Absent"	"Missing"	"Present"	1469	"1187_2"
"ERS6256713.bin.r.10"	"ERS6256713.bin.r.10"	1751112	82.1	2.4	"ERS6256713"	"ERS6256713"	"Ancient"	"Ottoni2021"	"anc_calculus"	7400	"Romania"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256713-megahit_010"	1187	3.86923171973098	44.62	22.61	1751112	31.4	461	4381	82.1	2.4	77.46	0.72	"TRUE"	462	1751112	31.43	4381	"III-A"	"None"	"GT2|GT4|GT81|GH154|GT66"	"Present"	"Absent"	"Missing"	"Present"	1149	"1187_3"
"ERS6256726.bin.r.4"	"ERS6256726.bin.r.4"	2062758	99.2	0.8	"ERS6256726"	"ERS6256726"	"Ancient"	"Ottoni2021"	"anc_calculus"	5800	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256726-megahit_004"	1187	3.76342799356294	44.162	8.328	2062758	31.1	178	18659	99.2	0.8	97.24	0.62	"TRUE"	178	2062758	31.08	18659	"III-A"	"None"	"GT2|GH154|GT81|GT4|GT66"	"Present"	"Absent"	"Missing"	"Present"	1392	"1187_1"
"ERS6256727.bin.r.3"	"ERS6256727.bin.r.3"	1997341	94.4	0	"ERS6256727"	"ERS6256727"	"Ancient"	"Ottoni2021"	"anc_calculus"	5800	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6256727-megahit_003"	1187	3.76342799356294	44.162	8.328	1997341	31	155	18956	94.4	0	94.76	0.23	"TRUE"	155	1997341	30.96	18956	"III-A"	"None"	"GT2|GT66|GT81|GH154|GT4"	"Present"	"Absent"	"Missing"	"Present"	1377	"1187_1"
"ERS6636085.bin.r.10"	"ERS6636085.bin.r.10"	1813152	98	0	"ERS6636085"	"ERS6636085"	"Ancient"	"Fagernas2022"	"anc_calculus"	4700	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6636085-megahit_010"	1187	3.67209785793572	38.102	-1.865	1813152	31.4	462	5007	98	0	93.4	0.35	"TRUE"	465	1813152	31.36	5007	"III-A"	"None"	"GT2|GT81|GH154|GT66|GT4"	"Present"	"Absent"	"Missing"	"Present"	1318	"1187_1"
"ERS6636099.bin.r.15"	"ERS6636099.bin.r.15"	1620997	91.27	0.8	"ERS6636099"	"ERS6636099"	"Ancient"	"Fagernas2022"	"anc_calculus"	4700	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6636099-megahit_015"	1187	3.67209785793572	38.102	-1.865	1620997	31.9	585	3216	91.27	0.8	88.45	0.53	"TRUE"	590	1620997	31.87	3216	"None"	"None"	"GT2|GH154|GT81|GT4|GT66"	"Present"	"Absent"	"Missing"	"Present"	1272	"1187_1"
"ERS6636154.bin.r.1"	"ERS6636154.bin.r.1"	1474724	87.41	0	"ERS6636154"	"ERS6636154"	"Ancient"	"Fagernas2022"	"anc_calculus"	4700	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS6636154-megahit_001"	1187	3.67209785793572	38.102	-1.865	1474724	32.2	516	3396	87.41	0	83.66	1.03	"TRUE"	516	1474724	32.17	3396	"III-A"	"None"	"GH154|GT81|GT2|GT4|GT66"	"Present"	"Absent"	"Missing"	"Present"	1245	"1187_1"
"ERS22873782.bin.r.41"	"ERSX0002001.bin.r.41"	1965070	96.8	0	"ERS22873782"	"ERSX0002001"	"Ancient"	"RIII2023"	"anc_calculus"	700	"Great Britain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERSX0002001-megahit_041"	1187	2.84509804001426	52.633943	-1.136146	1965070	31	133	19146	96.8	0	95.92	1.01	"TRUE"	133	1965070	30.95	19146	"None"	"None"	"GT66|GT2|GT4|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	1216	"1187_3"
