Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_898_length_10508_cov_4.37559	NODE_898_length_10508_cov_4.37559@1	8690	10507	False	20%	0%	I-D	4	['Cas3_1_CAS-I-D']	[8]	['1.60e-07']	[0.383]	[0.66]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_705_length_12788_cov_5.05733	NODE_705_length_12788_cov_5.05733@1	6871	7896	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[8]	['1.30e-26']	[0.509]	[0.988]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1241_length_7839_cov_4.92523	NODE_1241_length_7839_cov_4.92523@1	1	4875	Ambiguous	['100%', '100%']	['67%', '100%']	['II-A', 'II-C']	5	['Cas9_0_II', 'Cas1_0_II', 'Cas2_5_CAS-I-II-III-IV-V-VI']	[1, 2, 3]	['2.10e-52', '1.30e-85', '3.00e-26']	[0.557, 0.933, 0.788]	[0.745, 0.996, 0.767]	1	1	keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_98_length_63735_cov_6.30039	NODE_98_length_63735_cov_6.30039@1	48532	49755	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[50]	['2.40e-39']	[0.377]	[0.988]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_492_length_17572_cov_5.77753	NODE_492_length_17572_cov_5.77753@1	14934	15725	False	17%		III-B	4	['Cas10_0_IIIB']	[12]	['4.30e-03']	[0.686]	[0.355]	-1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_229_length_32294_cov_5.08297	NODE_229_length_32294_cov_5.08297@1	6185	6928	False	0%		III-A	1	['AbiEii_0_CAS-III']	[8]	['7.70e-04']	[0.415]	[0.356]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1380_length_7101_cov_3.94437	NODE_1380_length_7101_cov_3.94437@1	35	763	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['9.00e-05']	[0.379]	[0.313]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1893_length_5209_cov_3.87602	NODE_1893_length_5209_cov_3.87602@1	2722	3024	False	20%		III-A	4	['Csm2_0_IIIA']	[4]	['7.70e-04']	[0.832]	[0.865]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_304_length_25943_cov_5.77882	NODE_304_length_25943_cov_5.77882@1	14954	15862	False	0%		III-A	1	['AbiEii_0_CAS-III']	[15]	['1.50e-05']	[0.406]	[0.408]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_593_length_14726_cov_3.67207	NODE_593_length_14726_cov_3.67207@1	9786	10481	False	0%		III-A	1	['AbiEii_0_CAS-III']	[10]	['9.40e-04']	[0.496]	[0.38]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1690_length_5855_cov_3.36828	NODE_1690_length_5855_cov_3.36828@1	2660	3397	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[4]	['7.50e-03']	[0.305]	[0.314]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_1515_length_6473_cov_5.0053	NODE_1515_length_6473_cov_5.0053@1	5109	5864	False	0%		III-A	1	['AbiEii_0_CAS-III']	[5]	['1.50e-08']	[0.496]	[0.394]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.1	putative
NODE_34_length_136145_cov_11.291	NODE_34_length_136145_cov_11.291@2	58366	60057	False	0%		III-A	1	['AbiEii_0_CAS-III']	[49]	['1.40e-05']	[0.346]	[0.44]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_635_length_13927_cov_12.072	NODE_635_length_13927_cov_12.072@1	6496	7146	False	20%		III-A	4	['Csm2gr11_7_CAS-III-A']	[7]	['5.40e-04']	[0.396]	[0.555]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_147_length_44191_cov_11.5816	NODE_147_length_44191_cov_11.5816@2	33255	34799	False	20%		IV-D	4	['RecD_0_IVD']	[32]	['2.10e-22']	[0.802]	[0.523]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_147_length_44191_cov_11.5816	NODE_147_length_44191_cov_11.5816@1	13078	13761	False	0%		III-A	1	['AbiEii_0_CAS-III']	[13]	['2.20e-04']	[0.408]	[0.303]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_141_length_46082_cov_10.6965	NODE_141_length_46082_cov_10.6965@1	1446	2585	False	0%		III-B	1	['Unk_03_0_CAS-III-B']	[3]	['6.90e-03']	[0.363]	[0.468]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_34_length_136145_cov_11.291	NODE_34_length_136145_cov_11.291@1	53475	53855	False	17%		III-B	2	['Cmr1gr7_6_CAS-III-B-III-C']	[44]	['4.40e-03']	[0.37]	[0.383]	-1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_64_length_87704_cov_11.7106	NODE_64_length_87704_cov_11.7106@2	72038	73483	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[71]	['4.20e-16']	[0.386]	[0.981]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_34_length_136145_cov_11.291	NODE_34_length_136145_cov_11.291@3	76474	76941	False	0%		III-D	1	['Mem_03_0_CAS-III-D']	[68]	['2.00e-03']	[0.609]	[0.343]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_34_length_136145_cov_11.291	NODE_34_length_136145_cov_11.291@4	99083	99802	False	0%		III-A	1	['AbiEii_0_CAS-III']	[92]	['6.60e-07']	[0.575]	[0.475]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_64_length_87704_cov_11.7106	NODE_64_length_87704_cov_11.7106@1	64757	66055	False	17%		III-B	2	['Cmr5_0_IIIB']	[63]	['3.50e-03']	[0.37]	[0.65]	1		keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_81_length_72601_cov_10.9526	NODE_81_length_72601_cov_10.9526@1	36432	37304	False	0%		III-B	1	['htpX_0_CAS-III-B']	[31]	['4.20e-23']	[0.825]	[0.732]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.13	putative
NODE_252_length_29707_cov_25.126	NODE_252_length_29707_cov_25.126@1	6394	7401	False	0%		III-A	1	['AbiEii_0_CAS-III']	[7]	['1.10e-05']	[0.402]	[0.454]			keratinized_gingiva	industrial	HMP_2012__SRS013946__bin.14	putative
