Broad_drug_class	Drug Class
Multi-class	macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
Multi-class	macrolide antibiotic; disinfecting agents and antiseptics
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidane antibiotic
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; penam
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic
Multi-class	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics
Multi-class	macrolide antibiotic; glycylcycline; tetracycline antibiotic
Multi-class	macrolide antibiotic; lincosamide antibiotic
Multi-class	macrolide antibiotic; lincosamide antibiotic; orthosomycin antibiotic
Multi-class	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic
Multi-class	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; phenicol antibiotic; pleuromutilin antibiotic
Multi-class	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic
Multi-class	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic
Multi-class	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic
Multi-class	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic
Multi-class	macrolide antibiotic; penam
Multi-class	macrolide antibiotic; streptogramin antibiotic
Multi-class	macrolide antibiotic; streptogramin antibiotic; phosphonic acid antibiotic
Multi-class	macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic
Multi-class	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics
Multi-class	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem
Multi-class	nucleoside antibiotic; disinfecting agents and antiseptics
Multi-class	oxazolidinone antibiotic; phenicol antibiotic
Multi-class	penam; tetracycline antibiotic
Multi-class	peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic
Multi-class	rifamycin antibiotic; isoniazid-like antibiotic
Multi-class	streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic
Multi-class	tetracycline antibiotic; disinfecting agents and antiseptics
Multi-class	tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic
Mupirocin-like antibiotic	mupirocin-like antibiotic
Nitroimidazole antibiotic	nitroimidazole antibiotic
Nucleoside antibiotic	nucleoside antibiotic
Peptide antibiotic	peptide antibiotic
Phenicol antibiotic	phenicol antibiotic
Phosphonic acid antibiotic	phosphonic acid antibiotic
Pleuromutilin antibiotic	pleuromutilin antibiotic
Rifamycin antibiotic	rifamycin antibiotic
Streptogramin antibiotic	streptogramin antibiotic; streptogramin A antibiotic
Streptogramin antibiotic	streptogramin antibiotic; streptogramin B antibiotic
Sulfonamide antibiotic	sulfonamide antibiotic
Tetracycline antibiotic	glycylcycline; tetracycline antibiotic
Tetracycline antibiotic	tetracycline antibiotic
