Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,Individual_ID,MAG_source,oral_site,Bin
NODE_705_length_2072_cov_99.0,NODE_705_length_2072_cov_99.0@1,575,2071,False,0%,,IV-B,3,['CysH_0_IVB'],[2],['3.20e-18'],[0.381],[0.743],,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_380_length_2541_cov_97.4,NODE_380_length_2541_cov_97.4@1,108,1523,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['3.60e-11'],[0.528],[0.711],-1,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_3556_length_1168_cov_99.2,NODE_3556_length_1168_cov_99.2@1,384,1166,False,14%,0%,I-A,1,['Cas3_0_I'],[2],['2.10e-07'],[0.678],[0.478],1,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_989_length_1864_cov_94.2,NODE_989_length_1864_cov_94.2@1,2,1807,False,20%,,IV-A1,2,['Csf4_0_IVA'],[1],['9.60e-14'],[0.367],[0.339],1,,ERS3774415.bin.r.1,putative,ERS3774415,Ancient,calculus,ERS3774415-megahit_001
NODE_15_length_18596_cov_145.4,NODE_15_length_18596_cov_145.4@1,4488,5369,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[5],['1.10e-08'],[0.344],[0.331],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_312_length_2191_cov_140.4,NODE_312_length_2191_cov_140.4@1,3,1100,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['1.80e-11'],[0.68],[0.711],-1,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_2_length_27763_cov_148.8,NODE_2_length_27763_cov_148.8@2,26282,27085,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[24],['1.00e-07'],[0.433],[0.401],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_174_length_3350_cov_132.8,NODE_174_length_3350_cov_132.8@1,361,1113,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['1.30e-04'],[0.402],[0.338],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_9_length_20296_cov_135.1,NODE_9_length_20296_cov_135.1@1,13215,14177,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[9],['1.40e-05'],[0.315],[0.306],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_21_length_17321_cov_152.9,NODE_21_length_17321_cov_152.9@1,3873,4688,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[6],['5.90e-08'],[0.379],[0.342],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_61_length_7968_cov_129.4,NODE_61_length_7968_cov_129.4@1,439,2547,False,20%,,IV-A1,2,['Csf4_0_IVA'],[2],['9.50e-18'],[0.35],[0.378],-1,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_71_length_7177_cov_151.4,NODE_71_length_7177_cov_151.4@1,232,861,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['3.50e-08'],[0.338],[0.619],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_75_length_7055_cov_156.9,NODE_75_length_7055_cov_156.9@1,1647,4391,False,14%,0%,I-A,1,['Cas3_0_I'],[2],['9.60e-17'],[0.351],[0.902],1,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_10_length_20277_cov_155.3,NODE_10_length_20277_cov_155.3@2,18575,20275,False,14%,0%,I-A,1,['Cas3_0_I'],[24],['2.10e-13'],[0.577],[0.88],1,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_15_length_18596_cov_145.4,NODE_15_length_18596_cov_145.4@2,8475,9344,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[11],['8.50e-06'],[0.338],[0.327],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_3_length_27472_cov_139.8,NODE_3_length_27472_cov_139.8@1,2723,3448,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[7],['4.10e-08'],[0.488],[0.415],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_99_length_5390_cov_145.5,NODE_99_length_5390_cov_145.5@1,4491,4883,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[7],['2.90e-03'],[0.534],[0.424],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_5_length_26182_cov_135.8,NODE_5_length_26182_cov_135.8@1,3774,4448,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[4],['1.10e-12'],[0.813],[0.988],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_29_length_15020_cov_144.4,NODE_29_length_15020_cov_144.4@1,8615,10357,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[9],['1.40e-10'],[0.427],[0.708],1,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_10_length_20277_cov_155.3,NODE_10_length_20277_cov_155.3@1,3833,4810,False,0%,,III-B,1,['htpX_0_CAS-III-B'],[7],['9.10e-16'],[0.712],[0.752],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_160_length_3685_cov_129.2,NODE_160_length_3685_cov_129.2@1,2890,3597,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[4],['8.90e-09'],[0.483],[0.384],,,ERS3774417.bin.r.1,putative,ERS3774417,Ancient,calculus,ERS3774417-megahit_001
NODE_1065_length_1103_cov_40.4,NODE_1065_length_1103_cov_40.4@1,387,1016,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['2.60e-08'],[0.338],[0.619],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_242_length_2675_cov_36.9,NODE_242_length_2675_cov_36.9@1,475,1356,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['8.20e-09'],[0.344],[0.331],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_739_length_1323_cov_40.5,NODE_739_length_1323_cov_40.5@1,214,1029,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['4.80e-08'],[0.368],[0.335],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_359_length_2010_cov_38.2,NODE_359_length_2010_cov_38.2@1,705,1379,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[2],['8.20e-13'],[0.813],[0.988],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_243_length_2666_cov_40.0,NODE_243_length_2666_cov_40.0@1,626,1351,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[3],['3.20e-08'],[0.488],[0.415],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_401_length_1888_cov_43.4,NODE_401_length_1888_cov_43.4@1,54,857,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[1],['6.00e-07'],[0.41],[0.359],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_258_length_2536_cov_34.2,NODE_258_length_2536_cov_34.2@1,626,2534,False,0%,,III-A,1,"['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']","[3, 5]","['6.50e-06', '1.80e-07']","[0.338, 0.327]","[0.327, 0.327]",,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_788_length_1285_cov_46.5,NODE_788_length_1285_cov_46.5@1,1,651,False,0%,,III-B,1,['htpX_0_CAS-III-B'],[1],['2.20e-09'],[0.521],[0.356],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_255_length_2557_cov_40.7,NODE_255_length_2557_cov_40.7@1,3,1646,False,0%,,IV-B,3,['CysH_0_IVB'],[1],['6.60e-16'],[0.339],[0.723],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_1035_length_1116_cov_27.8,NODE_1035_length_1116_cov_27.8@1,3,485,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[1],['1.40e-13'],[0.472],[0.619],,,ERS3774418.bin.r.1,putative,ERS3774418,Ancient,calculus,ERS3774418-megahit_001
NODE_345_length_10830_cov_95.6,NODE_345_length_10830_cov_95.6@1,494,898,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['1.60e-03'],[0.519],[0.424],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_1_length_151176_cov_101.2,NODE_1_length_151176_cov_101.2@1,4229,5989,False,14%,0%,I-A,1,['Cas3_0_I'],[5],['2.00e-10'],[0.409],[0.684],-1,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_63_length_34684_cov_105.5,NODE_63_length_34684_cov_105.5@1,26648,27082,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[17],['3.70e-04'],[0.448],[0.356],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_1_length_151176_cov_101.2,NODE_1_length_151176_cov_101.2@5,111127,112005,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[105],['5.90e-06'],[0.334],[0.327],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_17_length_68456_cov_103.0,NODE_17_length_68456_cov_103.0@1,56932,57582,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[57],['3.10e-10'],[0.829],[0.775],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_5_length_109835_cov_102.0,NODE_5_length_109835_cov_102.0@1,2158,3117,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[3],['5.60e-06'],[0.356],[0.394],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_1_length_151176_cov_101.2,NODE_1_length_151176_cov_101.2@3,94749,95552,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[91],['2.20e-07'],[0.422],[0.398],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_1_length_151176_cov_101.2,NODE_1_length_151176_cov_101.2@2,34921,35721,False,0%,,IV-B,3,['CysH_0_IVB'],[39],['3.70e-04'],[0.524],[0.47],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_5_length_109835_cov_102.0,NODE_5_length_109835_cov_102.0@2,82992,83774,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[100],['1.60e-06'],[0.333],[0.313],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_19_length_66914_cov_98.7,NODE_19_length_66914_cov_98.7@2,16833,17687,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[16],['1.70e-06'],[0.333],[0.317],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_7_length_89492_cov_96.4,NODE_7_length_89492_cov_96.4@1,5114,5914,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[5],['2.90e-06'],[0.337],[0.324],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_19_length_66914_cov_98.7,NODE_19_length_66914_cov_98.7@1,5881,6750,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[6],['1.10e-04'],[0.359],[0.342],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_28_length_59846_cov_104.7,NODE_28_length_59846_cov_104.7@1,26950,27579,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[28],['4.20e-08'],[0.338],[0.619],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_22_length_64442_cov_103.2,NODE_22_length_64442_cov_103.2@1,4074,4889,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[6],['7.70e-08'],[0.379],[0.342],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_1_length_151176_cov_101.2,NODE_1_length_151176_cov_101.2@4,107143,108024,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[99],['1.10e-08'],[0.344],[0.331],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_7_length_89492_cov_96.4,NODE_7_length_89492_cov_96.4@2,68821,69546,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[72],['2.80e-07'],[0.459],[0.394],,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
NODE_19_length_66914_cov_98.7,NODE_19_length_66914_cov_98.7@3,60801,63176,False,20%,,IV-A1,2,['Csf4_0_IVA'],[60],['8.90e-17'],[0.319],[0.383],-1,,ERS3774419.bin.r.15,putative,ERS3774419,Ancient,calculus,ERS3774419-megahit_015
