genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ERS11702771.bin.r.9.fa,16_1,0.06999999999999995,average,ANImf,16
ERS11702809.bin.r.3.fa,16_1,0.06999999999999995,average,ANImf,16
ERS12516963.bin.r.42.fa,16_1,0.06999999999999995,average,ANImf,16
ERS12516969.bin.r.11.fa,16_1,0.06999999999999995,average,ANImf,16
ERS12516970.bin.r.125.fa,16_1,0.06999999999999995,average,ANImf,16
ERS2985742.bin.r.2.fa,16_1,0.06999999999999995,average,ANImf,16
ERS2985760.bin.r.9.fa,16_1,0.06999999999999995,average,ANImf,16
ERS2985773.bin.r.13.fa,16_1,0.06999999999999995,average,ANImf,16
ERS2985784.bin.r.1.fa,16_1,0.06999999999999995,average,ANImf,16
ERS6256704.bin.r.12.fa,16_1,0.06999999999999995,average,ANImf,16
ERSX0002001.bin.r.3.fa,16_1,0.06999999999999995,average,ANImf,16
ERSX0004058.bin.r.2.fa,16_1,0.06999999999999995,average,ANImf,16
SRS15300802.bin.r.14.fa,16_1,0.06999999999999995,average,ANImf,16
SRS3078163.bin.r.5.fa,16_1,0.06999999999999995,average,ANImf,16
ERS3774422.bin.r.44.fa,17_0,0.06999999999999995,average,ANImf,17
CMC018.B.bin.r.24.fa,18_1,0.06999999999999995,average,ANImf,18
HMP_2012__SRS023595__bin.93.fa,18_1,0.06999999999999995,average,ANImf,18
HMP_2012__SRS063603__bin.66.fa,18_1,0.06999999999999995,average,ANImf,18
ERS12516955.bin.r.18.fa,19_1,0.06999999999999995,average,ANImf,19
GWHAPRE00000000.genome.fasta,19_1,0.06999999999999995,average,ANImf,19
HMP_2012__SRS014271__bin.62.fa,19_1,0.06999999999999995,average,ANImf,19
HMP_2012__SRS014470__bin.14.fa,19_1,0.06999999999999995,average,ANImf,19
HMP_2012__SRS016319__bin.55.fa,19_1,0.06999999999999995,average,ANImf,19
HMP_2012__SRS018739__bin.11.fa,19_1,0.06999999999999995,average,ANImf,19
HMP_2012__SRS024081__bin.46.fa,19_1,0.06999999999999995,average,ANImf,19
ERS12516962.bin.r.69.fa,20_0,0.06999999999999995,average,ANImf,20
GWHAQUW00000000.genome.fasta,21_1,0.06999999999999995,average,ANImf,21
GWHARPN00000000.genome.fasta,21_2,0.06999999999999995,average,ANImf,21
GWHAQOY00000000.genome.fasta,21_3,0.06999999999999995,average,ANImf,21
GWHARJD00000000.genome.fasta,21_3,0.06999999999999995,average,ANImf,21
GWHAQTJ00000000.genome.fasta,21_4,0.06999999999999995,average,ANImf,21
GWHAQQM00000000.genome.fasta,21_5,0.06999999999999995,average,ANImf,21
GWHAQNC00000000.genome.fasta,21_6,0.06999999999999995,average,ANImf,21
GWHAPSG00000000.genome.fasta,21_7,0.06999999999999995,average,ANImf,21
GWHARAZ00000000.genome.fasta,21_8,0.06999999999999995,average,ANImf,21
MGYG000298670.fna,21_9,0.06999999999999995,average,ANImf,21
HMP_2012__SRS014271__bin.5.fa,21_10,0.06999999999999995,average,ANImf,21
GWHARNB00000000.genome.fasta,21_11,0.06999999999999995,average,ANImf,21
ERS12516992.bin.r.10.fa,21_12,0.06999999999999995,average,ANImf,21
GWHAQPA00000000.genome.fasta,21_13,0.06999999999999995,average,ANImf,21
GWHARCF00000000.genome.fasta,21_14,0.06999999999999995,average,ANImf,21
GWHARLQ00000000.genome.fasta,22_0,0.06999999999999995,average,ANImf,22
HMP_2012__SRS019607__bin.47.fa,23_1,0.06999999999999995,average,ANImf,23
HMP_2012__SRS053603__bin.21.fa,23_2,0.06999999999999995,average,ANImf,23
GWHARUU00000000.genome.fasta,23_3,0.06999999999999995,average,ANImf,23
GWHAPXC00000000.genome.fasta,23_4,0.06999999999999995,average,ANImf,23
GWHAQYL00000000.genome.fasta,23_5,0.06999999999999995,average,ANImf,23
GWHARCX00000000.genome.fasta,23_6,0.06999999999999995,average,ANImf,23
GWHARRZ00000000.genome.fasta,23_7,0.06999999999999995,average,ANImf,23
GWHAQHH00000000.genome.fasta,23_8,0.06999999999999995,average,ANImf,23
HMP_2012__SRS047824__bin.50.fa,23_9,0.06999999999999995,average,ANImf,23
GWHARJW00000000.genome.fasta,23_10,0.06999999999999995,average,ANImf,23
GWHARXN00000000.genome.fasta,23_11,0.06999999999999995,average,ANImf,23
GWHAQVO00000000.genome.fasta,23_12,0.06999999999999995,average,ANImf,23
GWHARTG00000000.genome.fasta,23_13,0.06999999999999995,average,ANImf,23
GWHAQMM00000000.genome.fasta,23_14,0.06999999999999995,average,ANImf,23
GWHAQJG00000000.genome.fasta,23_15,0.06999999999999995,average,ANImf,23
GWHARPL00000000.genome.fasta,23_16,0.06999999999999995,average,ANImf,23
GWHARRP00000000.genome.fasta,23_17,0.06999999999999995,average,ANImf,23
GWHARQZ00000000.genome.fasta,24_0,0.06999999999999995,average,ANImf,24
GWHARKQ00000000.genome.fasta,25_0,0.06999999999999995,average,ANImf,25
GWHAPUB00000000.genome.fasta,26_1,0.06999999999999995,average,ANImf,26
GWHAQQT00000000.genome.fasta,26_2,0.06999999999999995,average,ANImf,26
GWHARYP00000000.genome.fasta,27_0,0.06999999999999995,average,ANImf,27
GWHAPYD00000000.genome.fasta,28_1,0.06999999999999995,average,ANImf,28
GWHAQWT00000000.genome.fasta,28_2,0.06999999999999995,average,ANImf,28
ERS12516932.bin.r.16.fa,29_1,0.06999999999999995,average,ANImf,29
ERS12516970.bin.r.87.fa,29_2,0.06999999999999995,average,ANImf,29
ERS12516936.bin.r.21.fa,30_1,0.06999999999999995,average,ANImf,30
ERS12516938.bin.r.24.fa,30_2,0.06999999999999995,average,ANImf,30
GWHARAC00000000.genome.fasta,30_3,0.06999999999999995,average,ANImf,30
HMP_2012__SRS018791__bin.34.fa,30_3,0.06999999999999995,average,ANImf,30
HMP_2012__SRS057791__bin.34.fa,30_3,0.06999999999999995,average,ANImf,30
GWHAQNN00000000.genome.fasta,30_4,0.06999999999999995,average,ANImf,30
MGYG000298627.fna,30_5,0.06999999999999995,average,ANImf,30
GWHAQHP00000000.genome.fasta,30_6,0.06999999999999995,average,ANImf,30
GWHARFF00000000.genome.fasta,30_7,0.06999999999999995,average,ANImf,30
GWHAQMC00000000.genome.fasta,30_8,0.06999999999999995,average,ANImf,30
GWHAQSY00000000.genome.fasta,30_9,0.06999999999999995,average,ANImf,30
GWHAPPX00000000.genome.fasta,30_10,0.06999999999999995,average,ANImf,30
ERS12516983.bin.r.31.fa,30_11,0.06999999999999995,average,ANImf,30
ERS12516956.bin.r.16.fa,30_12,0.06999999999999995,average,ANImf,30
ERS12516994.bin.r.39.fa,30_13,0.06999999999999995,average,ANImf,30
ERS12516987.bin.r.7.fa,30_14,0.06999999999999995,average,ANImf,30
ERS12516934.bin.r.20.fa,30_15,0.06999999999999995,average,ANImf,30
ERS12516976.bin.r.29.fa,30_16,0.06999999999999995,average,ANImf,30
HMP_2012__SRS018357__bin.32.fa,30_17,0.06999999999999995,average,ANImf,30
SEQF6056.1.fna,30_18,0.06999999999999995,average,ANImf,30
HMP_2012__SRS016037__bin.24.fa,30_19,0.06999999999999995,average,ANImf,30
MGYG000299134.fna,30_20,0.06999999999999995,average,ANImf,30
HMP_2012__SRS049147__bin.5.fa,30_21,0.06999999999999995,average,ANImf,30
MGYG000298236.fna,30_22,0.06999999999999995,average,ANImf,30
HMP_2012__SRS018591__bin.41.fa,30_23,0.06999999999999995,average,ANImf,30
HMP_2012__SRS043663__bin.17.fa,30_24,0.06999999999999995,average,ANImf,30
HMP_2012__SRS024375__bin.40.fa,30_25,0.06999999999999995,average,ANImf,30
HMP_2012__SRS021954__bin.32.fa,30_26,0.06999999999999995,average,ANImf,30
HMP_2012__SRS056622__bin.57.fa,30_27,0.06999999999999995,average,ANImf,30
HMP_2012__SRS058336__bin.49.fa,30_28,0.06999999999999995,average,ANImf,30
MGYG000299235.fna,30_29,0.06999999999999995,average,ANImf,30
GWHAQHD00000000.genome.fasta,30_30,0.06999999999999995,average,ANImf,30
HMP_2012__SRS044373__bin.71.fa,30_31,0.06999999999999995,average,ANImf,30
HMP_2012__SRS014684__bin.49.fa,30_32,0.06999999999999995,average,ANImf,30
HMP_2012__SRS014692__bin.16.fa,30_32,0.06999999999999995,average,ANImf,30
HMP_2012__SRS011140__bin.1.fa,30_33,0.06999999999999995,average,ANImf,30
MGYG000298945.fna,30_34,0.06999999999999995,average,ANImf,30
HMP_2012__SRS024138__bin.26.fa,30_35,0.06999999999999995,average,ANImf,30
GWHAQOA00000000.genome.fasta,30_36,0.06999999999999995,average,ANImf,30
GWHARXZ00000000.genome.fasta,30_37,0.06999999999999995,average,ANImf,30
GWHARIV00000000.genome.fasta,30_38,0.06999999999999995,average,ANImf,30
GWHAROW00000000.genome.fasta,30_39,0.06999999999999995,average,ANImf,30
GWHAQLM00000000.genome.fasta,30_40,0.06999999999999995,average,ANImf,30
GWHAROO00000000.genome.fasta,30_41,0.06999999999999995,average,ANImf,30
GWHARJP00000000.genome.fasta,30_42,0.06999999999999995,average,ANImf,30
GWHARXP00000000.genome.fasta,30_43,0.06999999999999995,average,ANImf,30
GWHAPNN00000000.genome.fasta,30_44,0.06999999999999995,average,ANImf,30
GWHAQWA00000000.genome.fasta,30_45,0.06999999999999995,average,ANImf,30
GWHARVS00000000.genome.fasta,30_46,0.06999999999999995,average,ANImf,30
GWHARBQ00000000.genome.fasta,30_47,0.06999999999999995,average,ANImf,30
GWHARSE00000000.genome.fasta,30_48,0.06999999999999995,average,ANImf,30
GWHAQCN00000000.genome.fasta,30_49,0.06999999999999995,average,ANImf,30
GWHAQHU00000000.genome.fasta,30_50,0.06999999999999995,average,ANImf,30
GWHAQEC00000000.genome.fasta,30_51,0.06999999999999995,average,ANImf,30
GWHARUC00000000.genome.fasta,30_52,0.06999999999999995,average,ANImf,30
GWHARON00000000.genome.fasta,30_53,0.06999999999999995,average,ANImf,30
GWHARPZ00000000.genome.fasta,30_54,0.06999999999999995,average,ANImf,30
GWHAQAY00000000.genome.fasta,30_55,0.06999999999999995,average,ANImf,30
GWHAQRP00000000.genome.fasta,30_56,0.06999999999999995,average,ANImf,30
GWHAQUD00000000.genome.fasta,30_57,0.06999999999999995,average,ANImf,30
GWHARAO00000000.genome.fasta,30_58,0.06999999999999995,average,ANImf,30
GWHAPQL00000000.genome.fasta,30_59,0.06999999999999995,average,ANImf,30
GWHARDA00000000.genome.fasta,30_60,0.06999999999999995,average,ANImf,30
GWHARJB00000000.genome.fasta,30_61,0.06999999999999995,average,ANImf,30
GWHAQFP00000000.genome.fasta,30_62,0.06999999999999995,average,ANImf,30
GWHAQSG00000000.genome.fasta,30_63,0.06999999999999995,average,ANImf,30
GWHAPYS00000000.genome.fasta,30_64,0.06999999999999995,average,ANImf,30
GWHAQXO00000000.genome.fasta,30_65,0.06999999999999995,average,ANImf,30
GWHAPNZ00000000.genome.fasta,30_66,0.06999999999999995,average,ANImf,30
GWHAQJQ00000000.genome.fasta,30_67,0.06999999999999995,average,ANImf,30
GWHAPNX00000000.genome.fasta,30_68,0.06999999999999995,average,ANImf,30
GWHAPXE00000000.genome.fasta,30_69,0.06999999999999995,average,ANImf,30
GWHARQI00000000.genome.fasta,30_70,0.06999999999999995,average,ANImf,30
GWHAQSK00000000.genome.fasta,30_71,0.06999999999999995,average,ANImf,30
GWHAQQY00000000.genome.fasta,30_72,0.06999999999999995,average,ANImf,30
GWHARCE00000000.genome.fasta,30_73,0.06999999999999995,average,ANImf,30
GWHAQHS00000000.genome.fasta,30_74,0.06999999999999995,average,ANImf,30
GWHAQHY00000000.genome.fasta,30_75,0.06999999999999995,average,ANImf,30
GWHAQZD00000000.genome.fasta,30_76,0.06999999999999995,average,ANImf,30
GWHAPZC00000000.genome.fasta,30_77,0.06999999999999995,average,ANImf,30
GWHAQNR00000000.genome.fasta,30_78,0.06999999999999995,average,ANImf,30
GWHARUQ00000000.genome.fasta,30_79,0.06999999999999995,average,ANImf,30
GWHAQJU00000000.genome.fasta,30_80,0.06999999999999995,average,ANImf,30
GWHAQKZ00000000.genome.fasta,30_81,0.06999999999999995,average,ANImf,30
GWHAREE00000000.genome.fasta,30_82,0.06999999999999995,average,ANImf,30
GWHAREL00000000.genome.fasta,30_83,0.06999999999999995,average,ANImf,30
GWHAQIM00000000.genome.fasta,30_84,0.06999999999999995,average,ANImf,30
GWHAPRY00000000.genome.fasta,30_85,0.06999999999999995,average,ANImf,30
GWHARFT00000000.genome.fasta,30_86,0.06999999999999995,average,ANImf,30
GWHAQDF00000000.genome.fasta,30_87,0.06999999999999995,average,ANImf,30
GWHAQGM00000000.genome.fasta,30_88,0.06999999999999995,average,ANImf,30
GWHAREG00000000.genome.fasta,30_89,0.06999999999999995,average,ANImf,30
GWHARBV00000000.genome.fasta,30_90,0.06999999999999995,average,ANImf,30
GWHAQVB00000000.genome.fasta,30_91,0.06999999999999995,average,ANImf,30
GWHAREH00000000.genome.fasta,30_92,0.06999999999999995,average,ANImf,30
GWHAQIE00000000.genome.fasta,30_93,0.06999999999999995,average,ANImf,30
GWHAQJW00000000.genome.fasta,30_94,0.06999999999999995,average,ANImf,30
GWHARXV00000000.genome.fasta,30_95,0.06999999999999995,average,ANImf,30
GWHAQJB00000000.genome.fasta,30_96,0.06999999999999995,average,ANImf,30
GWHAPOU00000000.genome.fasta,31_0,0.06999999999999995,average,ANImf,31
GWHAQUQ00000000.genome.fasta,32_0,0.06999999999999995,average,ANImf,32
ERS1202878.bin.r.13.fa,33_0,0.06999999999999995,average,ANImf,33
GWHAQLU00000000.genome.fasta,34_0,0.06999999999999995,average,ANImf,34
GWHAPOL00000000.genome.fasta,35_0,0.06999999999999995,average,ANImf,35
ERS12516983.bin.r.37.fa,36_0,0.06999999999999995,average,ANImf,36
GWHAROC00000000.genome.fasta,37_0,0.06999999999999995,average,ANImf,37
GWHAPXU00000000.genome.fasta,38_0,0.06999999999999995,average,ANImf,38
ERS12516993.bin.r.17.fa,39_0,0.06999999999999995,average,ANImf,39
CMC017.B.bin.r.13.fa,40_1,0.06999999999999995,average,ANImf,40
CMC021.B.bin.r.36.fa,40_1,0.06999999999999995,average,ANImf,40
CMC036.B.bin.r.21.fa,40_1,0.06999999999999995,average,ANImf,40
CMC038.B.bin.r.46.fa,40_1,0.06999999999999995,average,ANImf,40
ERSX0003002.bin.r.24.fa,40_1,0.06999999999999995,average,ANImf,40
ERSX0003003.bin.r.2.fa,40_1,0.06999999999999995,average,ANImf,40
SRS15300788.bin.r.12.fa,40_1,0.06999999999999995,average,ANImf,40
CMC012.B.bin.r.31.fa,41_1,0.06999999999999995,average,ANImf,41
CMC042.B.bin.r.54.fa,41_1,0.06999999999999995,average,ANImf,41
CMC016.B.bin.r.93.fa,41_2,0.06999999999999995,average,ANImf,41
CMC033.B.bin.r.55.fa,41_2,0.06999999999999995,average,ANImf,41
CM_cf__CF_TNFC002SA_t1M15__bin.32.fa,41_2,0.06999999999999995,average,ANImf,41
CM_cf__CF_TNFC005SA_t1M15__bin.4.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516935.bin.r.46.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516936.bin.r.6.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516938.bin.r.31.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516939.bin.r.28.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516960.bin.r.8.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516968.bin.r.39.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516975.bin.r.3.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516976.bin.r.40.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516978.bin.r.24.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516980.bin.r.2.fa,41_2,0.06999999999999995,average,ANImf,41
ERS12516983.bin.r.6.fa,41_2,0.06999999999999995,average,ANImf,41
GWHAPMT00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAPNV00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAPOK00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAPPM00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAPYR00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQHJ00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQHW00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQIX00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQKN00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQKO00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQNA00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQOO00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQRE00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQUP00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQWE00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAQYV00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAREN00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARHJ00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARIS00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARKL00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARMH00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHAROM00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARQP00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARQS00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARRJ00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARWZ00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
GWHARXY00000000.genome.fasta,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS011115__bin.47.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS011306__bin.25.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS014271__bin.61.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS014573__bin.6.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS015057__bin.35.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS015434__bin.10.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS015762__bin.72.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS015893__bin.6.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS016740__bin.45.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS017209__bin.13.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS018300__bin.17.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS018357__bin.60.fa,41_2,0.06999999999999995,average,ANImf,41
HMP_2012__SRS019122__bin.53.fa,41_2,0.06999999999999995,average,ANImf,41
