Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_1275_length_8566_cov_3.127835	NODE_1275_length_8566_cov_3.127835@1	793	7440	III-D	33%		III-D	7	['Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Csm3gr7_4_CAS-III-A-III-D', 'Csx19_6_CAS-III-D', 'Csm3gr7_12_CAS-III-A-III-D']	[1, 2, 3, 4, 5]	['1.30e-77', '2.80e-22', '2.70e-39', '2.10e-68', '9.40e-29']	[0.539, 0.819, 0.603, 0.913, 0.596]	[0.996, 0.975, 0.609, 0.873, 0.99]	-1		modern_calculus	industrial	ERS3395764.bin.r.20	known
NODE_139_length_53443_cov_7.030344	NODE_139_length_53443_cov_7.030344@1	12367	19168	I-G	100%	0%	I-G	18	['Csb2gr5_0_CAS-I-U', 'Csb1_0_IU', 'Cas6e_1_CAS-I-II-III-IV-V-VI', 'Cas8u2_2_CAS-I-U', 'Cas3_0_IU']	[19, 20, 21, 22, 23]	['1.20e-24', '1.60e-54', '1.80e-08', '1.60e-109', '1.90e-183']	[0.531, 0.518, 0.89, 0.951, 0.987]	[0.464, 1.0, 0.892, 0.945, 0.997]	-1		modern_calculus	industrial	ERS3395764.bin.r.3	known
NODE_368_length_26114_cov_5.993208	NODE_368_length_26114_cov_5.993208@1	13546	23968	I-E	100%	100%	I-E	26	['AbiEii_0_CAS-III', 'Cas2_10_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas5_1_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas8e_4_CAS-I-E', 'Cas3_0_CAS-I']	[11, 12, 13, 14, 15, 16, 17, 18, 19]	['1.30e-04', '9.10e-31', '5.40e-105', '5.20e-53', '1.90e-51', '1.20e-132', '2.40e-37', '1.10e-115', '3.10e-57']	[0.517, 0.641, 0.853, 0.974, 0.639, 0.9, 0.635, 0.866, 0.327]	[0.451, 0.988, 0.993, 1.0, 0.989, 0.947, 0.993, 0.996, 0.819]	-1	-1	modern_calculus	industrial	ERS3395764.bin.r.3	known
NODE_1092_length_9959_cov_8.435279	NODE_1092_length_9959_cov_8.435279@1	3	5891	I-E	67%	0%	I-E	14	['Cas7_1_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas8e_4_CAS-I-E', 'Cas3_0_CAS-I']	[1, 2, 3, 4]	['6.70e-76', '1.90e-35', '3.40e-115', '2.90e-57']	[0.98, 0.649, 0.861, 0.419]	[0.546, 0.993, 0.996, 0.904]	-1		modern_calculus	industrial	ERS3395764.bin.r.5	known
NODE_80_length_69922_cov_8.430675	NODE_80_length_69922_cov_8.430675@1	46240	59701	II-D	100%	100%	II-D	6	['Cas9_0_II', 'AbiEii_0_CAS-III', 'Cas9_0_II-D', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_5_CAS-I-II-III-IV-V-VI']	[37, 38, 42, 43, 44]	['3.30e-14', '3.70e-10', '5.70e-16', '8.50e-70', '7.90e-07']	[0.358, 0.345, 0.379, 0.882, 0.725]	[0.3, 0.444, 0.243, 0.982, 0.431]	1	1	modern_calculus	industrial	ERS3395764.bin.r.5	known
NODE_495_length_21473_cov_8.529601	NODE_495_length_21473_cov_8.529601@1	788	15551	III-D	50%		III-D	13	['Cas10_0_III', 'Csm3gr7_12_CAS-III-A-III-D', 'Csx19_4_CAS-III-D', 'Csm3gr7_4_CAS-III-A-III-D', 'Unk_01_1_CAS-III-D', 'CasR_0_CAS-III-D', 'Cas6_0_CAS-III-D', 'CorA_1_CAS-III-D']	[1, 3, 4, 5, 6, 7, 8, 9]	['3.10e-91', '7.70e-30', '1.20e-48', '2.70e-39', '5.00e-23', '1.90e-88', '7.10e-121', '1.30e-87']	[0.708, 0.705, 0.839, 0.605, 0.503, 0.974, 0.957, 0.932]	[0.995, 0.995, 0.959, 0.614, 0.75, 0.982, 0.993, 0.898]	1		modern_calculus	industrial	ERS3395764.bin.r.5	known
NODE_498_length_21215_cov_8.231711	NODE_498_length_21215_cov_8.231711@1	4320	11412	I-G	100%	0%	I-G	16	['Cas3_0_IU', 'Cas8u2_2_CAS-I-U', 'Csb1_0_IU', 'Csb2gr5_0_CAS-I-U', 'Cas6_0_IVA3']	[4, 5, 6, 7, 8]	['1.40e-204', '3.00e-99', '1.40e-61', '2.60e-20', '8.50e-10']	[0.987, 0.915, 0.549, 0.555, 0.667]	[0.997, 0.948, 1.0, 0.528, 0.714]	1		modern_calculus	industrial	ERS3395764.bin.r.5	known
NODE_966_length_11066_cov_65.751612	NODE_966_length_11066_cov_65.751612@1	29	11065	III-A	100%		III-A	18	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas6_0_CAS-I-II-III-IV-V-VI', 'Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_1_CAS-III-A', 'Csm5gr7_0_CAS-III-A-III-D', 'Csm6_1_CAS-III']	[1, 2, 3, 4, 5, 6, 7, 8, 9]	['8.40e-81', '3.30e-19', '1.40e-24', '5.20e-145', '3.90e-20', '2.20e-68', '5.30e-40', '2.00e-34', '6.10e-33']	[0.949, 0.624, 0.755, 0.777, 0.686, 0.84, 0.977, 0.695, 0.688]	[0.994, 0.848, 0.876, 0.907, 0.964, 0.972, 0.975, 0.696, 0.611]	1		modern_calculus	industrial	ERS3395764.bin.r.8	known
NODE_2420_length_4842_cov_107.208899	NODE_2420_length_4842_cov_107.208899@1	124	3454	I-C	75%	0%	I-C	12	['Cas7_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas5_1_CAS-I-C']	[2, 3, 4]	['4.60e-118', '1.20e-181', '3.20e-88']	[0.969, 0.976, 0.942]	[0.996, 0.998, 1.0]	-1		modern_calculus	industrial	ERS3395764.bin.r.9	known
NODE_2738_length_4354_cov_49.004420	NODE_2738_length_4354_cov_49.004420@1	30	3612	I-C	50%	33%	I-C	9	['Cas8c_1_CAS-I-C', 'Cas7_0_IC', 'Cas4_0_I-II']	[1, 2, 3]	['8.50e-164', '4.70e-97', '1.40e-42']	[0.972, 0.907, 0.829]	[0.998, 0.887, 1.0]	1	1	modern_calculus	industrial	ERS3395764.bin.r.9	known
NODE_14_length_180524_cov_9.720977	NODE_14_length_180524_cov_9.720977@1	122981	135185	III-D	50%		III-D	13	['Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Csm3gr7_4_CAS-III-A-III-D', 'Csx19_6_CAS-III-D', 'Csm3gr7_12_CAS-III-A-III-D', 'Cas10_0_III', 'Mem_04_0_CAS-III-D', 'Cas6_0_CAS-III-D']	[104, 105, 106, 107, 108, 110, 111, 112]	['1.20e-77', '2.60e-22', '2.50e-39', '2.00e-68', '8.80e-29', '1.90e-95', '3.60e-61', '1.10e-152']	[0.539, 0.819, 0.603, 0.913, 0.596, 0.759, 0.851, 0.996]	[0.996, 0.975, 0.609, 0.873, 0.99, 0.993, 0.826, 0.996]	-1		modern_calculus	industrial	ERS3395765.bin.r.1	known
NODE_313_length_19351_cov_119.488080	NODE_313_length_19351_cov_119.488080@2	9429	19350	I-C	100%	67%	I-C	19	['Cas3_1_CAS-I', 'Cas5_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II', 'Cas1_0_IC']	[10, 12, 13, 14, 15, 17]	['2.70e-60', '3.90e-88', '1.20e-185', '4.00e-118', '3.70e-43', '5.50e-52']	[0.447, 0.942, 0.976, 0.969, 0.829, 0.986]	[0.481, 1.0, 0.998, 0.996, 1.0, 0.444]	1	1	modern_calculus	industrial	ERS3395765.bin.r.12	known
NODE_41_length_95261_cov_128.130076	NODE_41_length_95261_cov_128.130076@1	3	3647	I-C	25%	100%	I-C	11	['Cas7_1_CAS-I-C', 'Cas4_0_I-II', 'Cas1_0_IC', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[1, 2, 4, 5]	['3.30e-90', '4.90e-42', '7.20e-150', '1.30e-26']	[0.988, 0.829, 0.988, 0.847]	[0.842, 1.0, 1.0, 0.987]	1	1	modern_calculus	industrial	ERS3395765.bin.r.13	known
NODE_231_length_23845_cov_36.296133	NODE_231_length_23845_cov_36.296133@1	158	19688	III-B	83%		III-B	21	['Csx16_3_CAS-I-III', 'Csx1_3_CAS-III', 'Can2_Card1_17_CAS-III', 'Cas6_10_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Unk_03_0_CAS-III-B', 'Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_11_CAS-I-II-III-IV-V-VI', 'Cmr6_0_IIIB', 'Cmr5gr11_14_CAS-III-B', 'Cmr4_0_IIIB', 'Cmr3gr5_4_CAS-III-B-III-C', 'Cas10_0_CAS-III', 'Csm3_1_IIIAD']	[2, 3, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19]	['3.20e-26', '1.90e-67', '6.40e-08', '1.30e-80', '1.30e-11', '6.00e-25', '8.10e-77', '9.50e-16', '1.60e-27', '4.50e-26', '2.30e-65', '1.90e-75', '5.50e-61', '4.40e-25']	[0.92, 0.509, 0.441, 0.971, 0.489, 0.975, 0.868, 0.753, 0.441, 0.864, 0.947, 0.972, 0.774, 0.627]	[1.0, 0.99, 0.445, 0.981, 0.835, 0.995, 0.996, 0.986, 0.822, 1.0, 0.996, 1.0, 0.994, 0.984]	-1		modern_calculus	industrial	ERS3395765.bin.r.16	known
NODE_9812_length_1519_cov_1.903689	NODE_9812_length_1519_cov_1.903689@1	3	1517	II-C2	100%	0%	II-C2	4	['Cas9_0_II-C2']	[1]	['2.70e-17']	[0.376]	[0.193]	-1		modern_calculus	industrial	ERS3395765.bin.r.17	known
NODE_239_length_23568_cov_14.406541	NODE_239_length_23568_cov_14.406541@1	16654	22307	II-A	100%	100%	II-A	9	['Csn2_1_CAS-II-A', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas9_1_II']	[17, 18, 19, 20]	['9.30e-73', '3.70e-45', '3.20e-102', '2.40e-247']	[0.969, 0.973, 0.931, 0.995]	[0.991, 0.94, 0.996, 0.933]	-1	-1	modern_calculus	industrial	ERS3395765.bin.r.2	known
NODE_8121_length_1739_cov_10.518409	NODE_8121_length_1739_cov_10.518409@1	1	1737	I-B	60%	0%	I-B	10	['Cas3HD_0_CAS-I', 'Cas5_2_CAS-I-B', 'Cas7_0_CAS-I-B']	[1, 2, 3]	['7.50e-24', '1.20e-30', '1.40e-19']	[0.805, 0.671, 0.923]	[0.818, 0.912, 0.507]	-1		modern_calculus	industrial	ERS3395765.bin.r.4	known
NODE_141_length_35345_cov_60.538623	NODE_141_length_35345_cov_60.538623@2	28661	35284	I-C	100%	33%	I-C	15	['Cas3_1_CAS-I', 'Cas5_1_CAS-I-C', 'Cas8c_0_IC', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II']	[29, 30, 31, 32, 33]	['9.40e-54', '7.70e-80', '2.50e-150', '6.80e-117', '7.10e-42']	[0.473, 0.935, 0.977, 0.944, 0.789]	[0.554, 0.99, 0.995, 0.968, 1.0]	1	1	modern_calculus	industrial	ERS3395765.bin.r.5	known
NODE_492_length_13939_cov_5.846658	NODE_492_length_13939_cov_5.846658@1	2420	10860	I-G	100%	100%	I-G	20	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Csb3_0_CAS-I-U', 'Cas3_0_IU', 'Csb2gr5_0_CAS-I-U', 'Csb1gr7_0_CAS-I-U']	[4, 5, 6, 7, 8, 9]	['2.30e-20', '1.70e-85', '1.90e-125', '6.30e-101', '1.40e-140', '5.10e-33']	[0.644, 0.585, 0.974, 0.7, 0.971, 0.459]	[0.823, 0.987, 0.994, 0.705, 0.998, 0.982]	-1	-1	modern_calculus	industrial	ERS3395765.bin.r.7	known
NODE_5_length_296617_cov_22.006366	NODE_5_length_296617_cov_22.006366@3	251449	260632	I-E	100%	100%	I-E	26	['Cas2_1_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas5_0_IE', 'Cas7_1_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas8e_1_CAS-I-E', 'Cas3_1_CAS-I']	[223, 224, 225, 226, 227, 228, 229, 231]	['2.90e-28', '8.40e-117', '1.70e-45', '5.90e-52', '8.40e-103', '2.90e-16', '6.90e-110', '1.90e-77']	[0.904, 0.885, 0.974, 0.698, 0.933, 0.767, 0.896, 0.47]	[0.828, 0.974, 1.0, 0.778, 0.922, 0.458, 1.0, 0.528]	-1	-1	modern_calculus	industrial	ERS3395765.bin.r.9	known
NODE_4832_length_4122_cov_12.433489	NODE_4832_length_4122_cov_12.433489@1	2	4121	I-G	50%	0%	I-G	10	['Cas3HD_0_CAS-I', 'Csx17_0_IU', 'Csb1gr7_0_CAS-I-U']	[1, 2, 3]	['9.70e-21', '6.10e-108', '9.20e-37']	[0.548, 0.951, 0.812]	[0.98, 0.974, 0.988]	1		modern_calculus	industrial	ERS3395766.bin.r.11	known
NODE_262_length_31707_cov_12.469386	NODE_262_length_31707_cov_12.469386@2	22958	31290	I-G	100%	100%	I-G	20	['Csb1gr7_0_CAS-I-U', 'Csb2gr5_0_CAS-I-U', 'Cas3_0_IU', 'Cas8u1_1_CAS-I-U', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_11_CAS-I-II-III-IV-V-VI']	[20, 21, 22, 23, 24, 25]	['3.00e-46', '2.50e-75', '2.90e-129', '1.40e-23', '3.70e-96', '4.30e-18']	[0.442, 0.987, 0.855, 0.949, 0.569, 0.691]	[0.982, 0.99, 0.9, 0.942, 0.994, 0.944]	1	1	modern_calculus	industrial	ERS3395766.bin.r.11	known
NODE_1902_length_7870_cov_4.765579	NODE_1902_length_7870_cov_4.765579@1	1	7392	I-E	100%	0%	I-E	20	['Cas6e_1_CAS-I-II-III-IV-V-VI', 'Cas5_1_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cse2gr11_5_CAS-I-E', 'Cas8e_4_CAS-I-E', 'Cas3_0_CAS-I']	[1, 2, 3, 4, 5, 6]	['9.30e-26', '5.70e-43', '9.90e-125', '3.40e-38', '2.10e-104', '4.80e-60']	[0.975, 0.662, 0.947, 0.943, 0.876, 0.399]	[0.514, 0.994, 0.994, 0.945, 0.998, 0.907]	-1		modern_calculus	industrial	ERS3395766.bin.r.13	known
NODE_15858_length_1796_cov_5.482481	NODE_15858_length_1796_cov_5.482481@1	124	1795	I-E	17%	100%	I-E	8	['Cas2_10_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI']	[2, 3, 4]	['3.50e-30', '1.70e-103', '1.40e-30']	[0.746, 0.831, 0.966]	[0.988, 0.985, 0.545]	-1	-1	modern_calculus	industrial	ERS3395766.bin.r.13	known
NODE_43_length_76993_cov_14.172944	NODE_43_length_76993_cov_14.172944@3	60197	68989	I-E	100%	50%	I-E	24	['Cas3_0_CAS-I', 'Cas8e_4_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cas5_1_CAS-I-E', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE']	[46, 47, 48, 49, 50, 51, 52]	['8.70e-58', '2.20e-114', '1.80e-35', '3.50e-132', '1.60e-52', '2.20e-53', '1.70e-106']	[0.419, 0.861, 0.649, 0.928, 0.617, 0.974, 0.85]	[0.904, 0.996, 0.993, 0.981, 0.989, 1.0, 0.993]	1	1	modern_calculus	industrial	ERS3395766.bin.r.15	known
NODE_63_length_64248_cov_14.350365	NODE_63_length_64248_cov_14.350365@1	8174	15266	I-G	100%	0%	I-G	16	['Cas6_0_IVA3', 'Csb2gr5_0_CAS-I-U', 'Csb1_0_IU', 'Cas8u2_2_CAS-I-U', 'Cas3_0_IU']	[6, 7, 8, 9, 10]	['8.20e-10', '3.10e-19', '4.10e-60', '1.50e-99', '9.90e-202']	[0.667, 0.564, 0.549, 0.915, 0.987]	[0.714, 0.536, 1.0, 0.948, 0.997]	-1		modern_calculus	industrial	ERS3395766.bin.r.15	known
NODE_38_length_80621_cov_14.538714	NODE_38_length_80621_cov_14.538714@1	5719	22831	III-D	50%		III-D	15	['CorA_1_CAS-III-D', 'Cas6_0_CAS-III-D', 'CasR_0_CAS-III-D', 'Unk_01_1_CAS-III-D', 'Csm3gr7_4_CAS-III-A-III-D', 'Csx19_4_CAS-III-D', 'Csm3gr7_12_CAS-III-A-III-D', 'Cas10_0_III', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_CAS-I-II-III-IV-V-VI']	[5, 6, 7, 8, 9, 10, 11, 13, 14, 15]	['5.60e-88', '2.60e-120', '1.30e-90', '1.20e-24', '5.30e-39', '1.20e-48', '4.10e-29', '2.60e-91', '1.30e-17', '1.10e-56']	[0.922, 0.957, 0.94, 0.688, 0.605, 0.843, 0.705, 0.708, 0.812, 0.883]	[0.898, 0.993, 0.984, 0.792, 0.614, 0.959, 0.995, 0.995, 0.987, 0.58]	-1		modern_calculus	industrial	ERS3395766.bin.r.15	known
NODE_5551_length_3729_cov_8.324714	NODE_5551_length_3729_cov_8.324714@1	47	3727	III-C	67%		III-C	12	['Cmr3_0_IIIC', 'Cmr5gr11_0_CAS-III-C', 'Cmr4gr7_1_CAS-III-B-III-C', 'Cas10_0_CAS-III-C']	[1, 2, 3, 4]	['6.70e-77', '1.40e-35', '2.60e-46', '2.70e-21']	[0.984, 0.922, 0.864, 0.954]	[0.99, 0.969, 0.961, 0.456]	-1		modern_calculus	industrial	ERS3395766.bin.r.18	known
NODE_3008_length_5694_cov_19.962050	NODE_3008_length_5694_cov_19.962050@1	517	5007	III-D	50%		III-D	8	['Csm3gr7_12_CAS-III-A-III-D', 'Csx10_0_IIID', 'Csm3gr7_3_CAS-III-A-III-D', 'Cas10_0_III']	[3, 4, 5, 6]	['6.00e-27', '5.60e-06', '6.40e-41', '7.80e-42']	[0.78, 0.344, 0.898, 0.793]	[0.995, 0.351, 0.918, 0.915]	-1		modern_calculus	industrial	ERS3395766.bin.r.19	known
NODE_2446_length_6617_cov_2.613380	NODE_2446_length_6617_cov_2.613380@1	212	6593	I-B	100%	33%	I-B	17	['Cas6_0_I-III', 'Cas5_9_CAS-I-B', 'Cas3_1_CAS-I', 'Cas8b6_0_CAS-I-B', 'Cas7_3_CAS-I-B', 'Cas4_5_CAS-I-II-III-IV-V-VI']	[2, 3, 4, 5, 6, 7]	['3.10e-26', '4.30e-94', '5.10e-67', '3.00e-178', '1.20e-185', '2.20e-41']	[0.838, 0.964, 0.443, 0.987, 0.997, 0.958]	[0.99, 0.984, 0.45, 0.998, 1.0, 0.851]	1	1	modern_calculus	industrial	ERS3395766.bin.r.20	known
NODE_5190_length_3920_cov_2.261578	NODE_5190_length_3920_cov_2.261578@1	221	3361	I-E	67%	0%	I-E	12	['Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas5_2_CAS-I', 'Cas7_1_CAS-I-E', 'Cse2gr11_7_CAS-I-E']	[2, 3, 4, 5]	['4.80e-56', '1.70e-49', '3.00e-128', '2.50e-32']	[0.973, 0.864, 0.947, 0.739]	[1.0, 0.991, 0.994, 0.986]	-1		modern_calculus	industrial	ERS3395766.bin.r.21	known
NODE_270_length_31238_cov_10.530449	NODE_270_length_31238_cov_10.530449@1	2014	9220	I-G	100%	50%	I-G	18	['Csb1gr7_0_CAS-I-U', 'Csb2gr5_0_CAS-I-U', 'Cas3_0_IU', 'Csb3_0_CAS-I-U', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[2, 3, 4, 5, 7]	['3.50e-36', '1.00e-127', '2.40e-101', '2.80e-128', '2.40e-20']	[0.414, 0.964, 0.727, 0.974, 0.644]	[0.982, 0.992, 0.729, 0.994, 0.823]	1	1	modern_calculus	industrial	ERS3395766.bin.r.21	known
NODE_890_length_13612_cov_21.596592	NODE_890_length_13612_cov_21.596592@2	11688	13612	I-E	17%	100%	I-E	8	['Cas2_10_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI']	[10, 11, 12]	['2.20e-30', '1.70e-105', '1.80e-38']	[0.641, 0.853, 0.97]	[0.988, 0.993, 0.728]	-1	-1	modern_calculus	industrial	ERS3395766.bin.r.22	known
