Contig	MAG
NODE_27821_length_3141_cov_4.876958	CMC010.B-metaspades_067
NODE_27836_length_3140_cov_5.041463	CMC010.B-metaspades_067
NODE_27950_length_3131_cov_4.528815	CMC010.B-metaspades_067
NODE_28029_length_3125_cov_3.801837	CMC010.B-metaspades_067
NODE_28228_length_3112_cov_5.239868	CMC010.B-metaspades_067
NODE_28703_length_3077_cov_5.782000	CMC010.B-metaspades_067
NODE_28719_length_3076_cov_4.993998	CMC010.B-metaspades_067
NODE_28839_length_3066_cov_6.616929	CMC010.B-metaspades_067
NODE_29308_length_3030_cov_4.456146	CMC010.B-metaspades_067
NODE_29367_length_3026_cov_4.849101	CMC010.B-metaspades_067
NODE_29410_length_3022_cov_5.681494	CMC010.B-metaspades_067
NODE_30016_length_2980_cov_4.367206	CMC010.B-metaspades_067
NODE_30264_length_2966_cov_5.197992	CMC010.B-metaspades_067
NODE_30286_length_2964_cov_4.879113	CMC010.B-metaspades_067
NODE_30473_length_2952_cov_4.749217	CMC010.B-metaspades_067
NODE_30527_length_2948_cov_4.331940	CMC010.B-metaspades_067
NODE_30570_length_2945_cov_4.175384	CMC010.B-metaspades_067
NODE_30710_length_2935_cov_4.969209	CMC010.B-metaspades_067
NODE_30723_length_2934_cov_4.767588	CMC010.B-metaspades_067
NODE_30917_length_2920_cov_5.751319	CMC010.B-metaspades_067
NODE_30918_length_2920_cov_3.806542	CMC010.B-metaspades_067
NODE_30963_length_2917_cov_5.278873	CMC010.B-metaspades_067
NODE_31041_length_2912_cov_4.992593	CMC010.B-metaspades_067
NODE_31374_length_2890_cov_4.670814	CMC010.B-metaspades_067
NODE_31469_length_2884_cov_4.856430	CMC010.B-metaspades_067
NODE_31482_length_2883_cov_5.215966	CMC010.B-metaspades_067
NODE_31956_length_2851_cov_4.635905	CMC010.B-metaspades_067
NODE_31992_length_2849_cov_3.268398	CMC010.B-metaspades_067
NODE_32175_length_2837_cov_5.588768	CMC010.B-metaspades_067
NODE_32376_length_2825_cov_4.588428	CMC010.B-metaspades_067
NODE_32903_length_2793_cov_4.231591	CMC010.B-metaspades_067
NODE_32932_length_2791_cov_7.404937	CMC010.B-metaspades_067
NODE_32956_length_2790_cov_4.697014	CMC010.B-metaspades_067
NODE_33100_length_2781_cov_5.427515	CMC010.B-metaspades_067
NODE_33168_length_2777_cov_5.335185	CMC010.B-metaspades_067
NODE_33172_length_2777_cov_4.502963	CMC010.B-metaspades_067
NODE_33318_length_2768_cov_4.090301	CMC010.B-metaspades_067
NODE_33954_length_2730_cov_6.257067	CMC010.B-metaspades_067
NODE_34186_length_2717_cov_4.026515	CMC010.B-metaspades_067
NODE_34685_length_2689_cov_4.494640	CMC010.B-metaspades_067
NODE_34974_length_2672_cov_5.012331	CMC010.B-metaspades_067
NODE_35096_length_2666_cov_5.802626	CMC010.B-metaspades_067
NODE_35205_length_2661_cov_5.779799	CMC010.B-metaspades_067
NODE_35470_length_2646_cov_5.033476	CMC010.B-metaspades_067
NODE_35655_length_2636_cov_6.307151	CMC010.B-metaspades_067
NODE_35938_length_2621_cov_5.688286	CMC010.B-metaspades_067
NODE_36089_length_2614_cov_4.052030	CMC010.B-metaspades_067
NODE_36334_length_2602_cov_4.287525	CMC010.B-metaspades_067
NODE_36435_length_2596_cov_4.317983	CMC010.B-metaspades_067
NODE_36586_length_2589_cov_3.818869	CMC010.B-metaspades_067
NODE_37217_length_2558_cov_3.777912	CMC010.B-metaspades_067
NODE_37242_length_2557_cov_4.554839	CMC010.B-metaspades_067
NODE_37372_length_2551_cov_6.092967	CMC010.B-metaspades_067
NODE_37376_length_2551_cov_4.010914	CMC010.B-metaspades_067
NODE_37831_length_2530_cov_4.051773	CMC010.B-metaspades_067
NODE_37884_length_2528_cov_4.730314	CMC010.B-metaspades_067
NODE_38134_length_2515_cov_5.855619	CMC010.B-metaspades_067
NODE_38269_length_2509_cov_4.515214	CMC010.B-metaspades_067
NODE_38282_length_2508_cov_4.811600	CMC010.B-metaspades_067
NODE_38309_length_2507_cov_4.421399	CMC010.B-metaspades_067
NODE_38429_length_2501_cov_5.540842	CMC010.B-metaspades_067
NODE_38565_length_2495_cov_4.462366	CMC010.B-metaspades_067
NODE_38961_length_2476_cov_4.568570	CMC010.B-metaspades_067
NODE_38977_length_2475_cov_4.881568	CMC010.B-metaspades_067
NODE_39146_length_2468_cov_4.396487	CMC010.B-metaspades_067
NODE_39173_length_2467_cov_5.884519	CMC010.B-metaspades_067
NODE_39242_length_2463_cov_4.712070	CMC010.B-metaspades_067
NODE_39653_length_2444_cov_4.707224	CMC010.B-metaspades_067
NODE_39655_length_2444_cov_4.549218	CMC010.B-metaspades_067
NODE_39800_length_2437_cov_4.399576	CMC010.B-metaspades_067
NODE_39853_length_2435_cov_4.473282	CMC010.B-metaspades_067
NODE_39882_length_2434_cov_4.858719	CMC010.B-metaspades_067
NODE_40394_length_2411_cov_5.204370	CMC010.B-metaspades_067
NODE_40808_length_2393_cov_4.871330	CMC010.B-metaspades_067
NODE_40920_length_2389_cov_3.532872	CMC010.B-metaspades_067
NODE_41038_length_2384_cov_4.859991	CMC010.B-metaspades_067
NODE_41125_length_2380_cov_4.280938	CMC010.B-metaspades_067
NODE_41678_length_2359_cov_5.167835	CMC010.B-metaspades_067
NODE_41773_length_2355_cov_4.962687	CMC010.B-metaspades_067
NODE_41877_length_2351_cov_4.407652	CMC010.B-metaspades_067
NODE_41960_length_2348_cov_4.700132	CMC010.B-metaspades_067
NODE_42028_length_2345_cov_5.615961	CMC010.B-metaspades_067
NODE_42113_length_2342_cov_3.839294	CMC010.B-metaspades_067
NODE_42289_length_2335_cov_2.806466	CMC010.B-metaspades_067
NODE_42801_length_2314_cov_5.154224	CMC010.B-metaspades_067
NODE_42937_length_2309_cov_4.480735	CMC010.B-metaspades_067
NODE_43108_length_2302_cov_3.790112	CMC010.B-metaspades_067
NODE_43182_length_2299_cov_4.967597	CMC010.B-metaspades_067
NODE_43758_length_2277_cov_4.917273	CMC010.B-metaspades_067
NODE_43856_length_2273_cov_4.495446	CMC010.B-metaspades_067
NODE_43879_length_2272_cov_4.565376	CMC010.B-metaspades_067
NODE_43959_length_2269_cov_4.576642	CMC010.B-metaspades_067
NODE_44053_length_2266_cov_3.902238	CMC010.B-metaspades_067
NODE_44075_length_2265_cov_5.397166	CMC010.B-metaspades_067
NODE_44318_length_2256_cov_5.655346	CMC010.B-metaspades_067
NODE_44320_length_2256_cov_4.576870	CMC010.B-metaspades_067
NODE_44321_length_2256_cov_4.200092	CMC010.B-metaspades_067
NODE_44506_length_2249_cov_5.244475	CMC010.B-metaspades_067
NODE_44695_length_2242_cov_5.642032	CMC010.B-metaspades_067
NODE_44735_length_2240_cov_5.879334	CMC010.B-metaspades_067
NODE_44877_length_2235_cov_5.312326	CMC010.B-metaspades_067
NODE_45114_length_2226_cov_5.597487	CMC010.B-metaspades_067
NODE_45123_length_2226_cov_3.850628	CMC010.B-metaspades_067
NODE_45398_length_2216_cov_4.860215	CMC010.B-metaspades_067
NODE_45771_length_2204_cov_5.953456	CMC010.B-metaspades_067
NODE_46023_length_2196_cov_4.338839	CMC010.B-metaspades_067
NODE_46214_length_2189_cov_8.844223	CMC010.B-metaspades_067
NODE_46394_length_2183_cov_4.615385	CMC010.B-metaspades_067
NODE_46631_length_2175_cov_4.999523	CMC010.B-metaspades_067
NODE_46693_length_2173_cov_3.728053	CMC010.B-metaspades_067
NODE_46797_length_2169_cov_5.177820	CMC010.B-metaspades_067
NODE_46938_length_2164_cov_4.339722	CMC010.B-metaspades_067
NODE_46964_length_2163_cov_5.218600	CMC010.B-metaspades_067
NODE_47301_length_2151_cov_3.481678	CMC010.B-metaspades_067
NODE_47393_length_2148_cov_4.919363	CMC010.B-metaspades_067
NODE_47551_length_2142_cov_4.904600	CMC010.B-metaspades_067
NODE_47554_length_2142_cov_4.251332	CMC010.B-metaspades_067
NODE_47581_length_2141_cov_4.704942	CMC010.B-metaspades_067
NODE_47818_length_2133_cov_4.535019	CMC010.B-metaspades_067
NODE_47897_length_2130_cov_4.228933	CMC010.B-metaspades_067
NODE_47989_length_2127_cov_3.752195	CMC010.B-metaspades_067
NODE_48049_length_2125_cov_4.556641	CMC010.B-metaspades_067
NODE_48111_length_2123_cov_4.429130	CMC010.B-metaspades_067
NODE_48159_length_2121_cov_4.030822	CMC010.B-metaspades_067
NODE_48200_length_2120_cov_4.618698	CMC010.B-metaspades_067
NODE_48388_length_2114_cov_4.133530	CMC010.B-metaspades_067
NODE_48479_length_2111_cov_5.764012	CMC010.B-metaspades_067
NODE_48480_length_2111_cov_4.962635	CMC010.B-metaspades_067
NODE_48509_length_2110_cov_5.755042	CMC010.B-metaspades_067
NODE_48518_length_2110_cov_3.715691	CMC010.B-metaspades_067
NODE_48574_length_2108_cov_3.730182	CMC010.B-metaspades_067
NODE_48723_length_2103_cov_6.261599	CMC010.B-metaspades_067
NODE_48958_length_2096_cov_4.925211	CMC010.B-metaspades_067
NODE_48960_length_2096_cov_4.704309	CMC010.B-metaspades_067
NODE_49081_length_2092_cov_6.226799	CMC010.B-metaspades_067
NODE_49412_length_2081_cov_5.525449	CMC010.B-metaspades_067
NODE_49508_length_2078_cov_4.569215	CMC010.B-metaspades_067
NODE_50085_length_2060_cov_4.843167	CMC010.B-metaspades_067
NODE_50153_length_2058_cov_5.612822	CMC010.B-metaspades_067
NODE_50199_length_2057_cov_4.905556	CMC010.B-metaspades_067
NODE_50438_length_2049_cov_3.944219	CMC010.B-metaspades_067
NODE_50466_length_2048_cov_5.043633	CMC010.B-metaspades_067
NODE_50693_length_2041_cov_4.056517	CMC010.B-metaspades_067
NODE_50754_length_2039_cov_3.844037	CMC010.B-metaspades_067
NODE_50984_length_2032_cov_4.488491	CMC010.B-metaspades_067
NODE_51562_length_2015_cov_5.067079	CMC010.B-metaspades_067
NODE_51619_length_2013_cov_5.122934	CMC010.B-metaspades_067
NODE_51745_length_2009_cov_4.509317	CMC010.B-metaspades_067
NODE_51811_length_2007_cov_5.787047	CMC010.B-metaspades_067
NODE_51845_length_2006_cov_4.134785	CMC010.B-metaspades_067
NODE_52124_length_1998_cov_4.140552	CMC010.B-metaspades_067
NODE_52232_length_1995_cov_4.122523	CMC010.B-metaspades_067
NODE_52235_length_1995_cov_3.734619	CMC010.B-metaspades_067
NODE_52301_length_1993_cov_3.848643	CMC010.B-metaspades_067
NODE_52334_length_1992_cov_5.459530	CMC010.B-metaspades_067
NODE_52338_length_1992_cov_4.577546	CMC010.B-metaspades_067
NODE_52345_length_1992_cov_3.826632	CMC010.B-metaspades_067
NODE_52579_length_1986_cov_5.007858	CMC010.B-metaspades_067
NODE_52754_length_1981_cov_4.478466	CMC010.B-metaspades_067
NODE_52982_length_1974_cov_5.078018	CMC010.B-metaspades_067
NODE_52984_length_1974_cov_4.715340	CMC010.B-metaspades_067
NODE_52987_length_1974_cov_4.164997	CMC010.B-metaspades_067
NODE_53025_length_1973_cov_4.454114	CMC010.B-metaspades_067
NODE_53295_length_1966_cov_5.284277	CMC010.B-metaspades_067
NODE_53357_length_1964_cov_4.933227	CMC010.B-metaspades_067
NODE_53396_length_1963_cov_3.305408	CMC010.B-metaspades_067
NODE_53426_length_1962_cov_4.283820	CMC010.B-metaspades_067
NODE_54014_length_1945_cov_3.409529	CMC010.B-metaspades_067
NODE_54665_length_1928_cov_5.469476	CMC010.B-metaspades_067
NODE_54669_length_1928_cov_4.653160	CMC010.B-metaspades_067
NODE_54812_length_1924_cov_4.466161	CMC010.B-metaspades_067
NODE_54817_length_1924_cov_3.585815	CMC010.B-metaspades_067
NODE_55051_length_1917_cov_5.189130	CMC010.B-metaspades_067
NODE_55096_length_1916_cov_3.412724	CMC010.B-metaspades_067
NODE_55317_length_1910_cov_6.157665	CMC010.B-metaspades_067
NODE_55350_length_1909_cov_5.292031	CMC010.B-metaspades_067
NODE_55440_length_1907_cov_4.279781	CMC010.B-metaspades_067
NODE_55466_length_1906_cov_4.357026	CMC010.B-metaspades_067
NODE_55540_length_1904_cov_4.793103	CMC010.B-metaspades_067
NODE_55667_length_1901_cov_3.020285	CMC010.B-metaspades_067
NODE_55899_length_1895_cov_5.490649	CMC010.B-metaspades_067
NODE_55978_length_1893_cov_4.264317	CMC010.B-metaspades_067
NODE_56135_length_1889_cov_4.679360	CMC010.B-metaspades_067
NODE_57190_length_1863_cov_4.957447	CMC010.B-metaspades_067
NODE_57232_length_1862_cov_4.238095	CMC010.B-metaspades_067
NODE_57352_length_1859_cov_5.886644	CMC010.B-metaspades_067
NODE_57353_length_1859_cov_5.604938	CMC010.B-metaspades_067
NODE_57443_length_1857_cov_3.820787	CMC010.B-metaspades_067
NODE_57559_length_1854_cov_4.539674	CMC010.B-metaspades_067
NODE_58128_length_1841_cov_4.145125	CMC010.B-metaspades_067
NODE_58355_length_1836_cov_4.073906	CMC010.B-metaspades_067
NODE_58536_length_1831_cov_4.774230	CMC010.B-metaspades_067
NODE_58537_length_1831_cov_4.490878	CMC010.B-metaspades_067
NODE_58802_length_1825_cov_5.927918	CMC010.B-metaspades_067
NODE_59494_length_1808_cov_4.183709	CMC010.B-metaspades_067
NODE_59556_length_1807_cov_3.826590	CMC010.B-metaspades_067
NODE_59842_length_1800_cov_5.789901	CMC010.B-metaspades_067
NODE_59910_length_1799_cov_3.850174	CMC010.B-metaspades_067
NODE_60062_length_1796_cov_4.682955	CMC010.B-metaspades_067
NODE_60140_length_1794_cov_5.234712	CMC010.B-metaspades_067
NODE_60240_length_1792_cov_4.892711	CMC010.B-metaspades_067
NODE_60383_length_1789_cov_5.049650	CMC010.B-metaspades_067
NODE_60580_length_1784_cov_4.170475	CMC010.B-metaspades_067
NODE_60874_length_1777_cov_3.788824	CMC010.B-metaspades_067
NODE_60966_length_1775_cov_4.008245	CMC010.B-metaspades_067
NODE_61372_length_1766_cov_4.560095	CMC010.B-metaspades_067
NODE_61452_length_1764_cov_4.987552	CMC010.B-metaspades_067
NODE_61456_length_1764_cov_4.517487	CMC010.B-metaspades_067
NODE_61791_length_1757_cov_5.010714	CMC010.B-metaspades_067
NODE_62068_length_1751_cov_5.380526	CMC010.B-metaspades_067
NODE_62196_length_1748_cov_4.258528	CMC010.B-metaspades_067
NODE_62339_length_1745_cov_4.368106	CMC010.B-metaspades_067
NODE_62388_length_1744_cov_3.841632	CMC010.B-metaspades_067
NODE_62494_length_1742_cov_4.453453	CMC010.B-metaspades_067
NODE_62585_length_1740_cov_3.989778	CMC010.B-metaspades_067
NODE_62813_length_1735_cov_4.636309	CMC010.B-metaspades_067
NODE_63183_length_1727_cov_4.250909	CMC010.B-metaspades_067
NODE_63228_length_1726_cov_4.708308	CMC010.B-metaspades_067
NODE_63560_length_1719_cov_4.450670	CMC010.B-metaspades_067
NODE_63833_length_1713_cov_5.668704	CMC010.B-metaspades_067
NODE_63852_length_1713_cov_2.391198	CMC010.B-metaspades_067
NODE_64018_length_1709_cov_4.531250	CMC010.B-metaspades_067
NODE_64118_length_1707_cov_3.466871	CMC010.B-metaspades_067
NODE_64352_length_1702_cov_5.579077	CMC010.B-metaspades_067
NODE_64741_length_1694_cov_4.304267	CMC010.B-metaspades_067
NODE_64832_length_1692_cov_4.878638	CMC010.B-metaspades_067
NODE_64907_length_1691_cov_3.238538	CMC010.B-metaspades_067
NODE_64946_length_1690_cov_5.849349	CMC010.B-metaspades_067
NODE_65223_length_1685_cov_3.985697	CMC010.B-metaspades_067
NODE_65257_length_1684_cov_4.700685	CMC010.B-metaspades_067
NODE_65310_length_1683_cov_4.921544	CMC010.B-metaspades_067
NODE_65311_length_1683_cov_4.810087	CMC010.B-metaspades_067
NODE_65456_length_1680_cov_4.087960	CMC010.B-metaspades_067
NODE_65505_length_1679_cov_4.970662	CMC010.B-metaspades_067
NODE_65509_length_1679_cov_4.427591	CMC010.B-metaspades_067
NODE_65759_length_1674_cov_2.889167	CMC010.B-metaspades_067
NODE_66670_length_1656_cov_3.771374	CMC010.B-metaspades_067
NODE_67017_length_1649_cov_5.948473	CMC010.B-metaspades_067
NODE_67075_length_1648_cov_4.395290	CMC010.B-metaspades_067
NODE_67261_length_1644_cov_4.823229	CMC010.B-metaspades_067
NODE_67326_length_1643_cov_4.430396	CMC010.B-metaspades_067
NODE_67482_length_1640_cov_4.058861	CMC010.B-metaspades_067
NODE_67517_length_1639_cov_4.400128	CMC010.B-metaspades_067
NODE_67637_length_1637_cov_5.042308	CMC010.B-metaspades_067
NODE_68057_length_1629_cov_3.972938	CMC010.B-metaspades_067
NODE_68125_length_1628_cov_4.867827	CMC010.B-metaspades_067
NODE_68191_length_1627_cov_3.778710	CMC010.B-metaspades_067
NODE_68347_length_1624_cov_4.477052	CMC010.B-metaspades_067
NODE_68567_length_1620_cov_4.912508	CMC010.B-metaspades_067
NODE_68727_length_1617_cov_4.814286	CMC010.B-metaspades_067
NODE_68883_length_1614_cov_4.009109	CMC010.B-metaspades_067
NODE_69044_length_1611_cov_4.727510	CMC010.B-metaspades_067
NODE_69451_length_1604_cov_4.094303	CMC010.B-metaspades_067
NODE_69902_length_1596_cov_3.319947	CMC010.B-metaspades_067
NODE_69938_length_1595_cov_4.729908	CMC010.B-metaspades_067
NODE_69984_length_1594_cov_4.849703	CMC010.B-metaspades_067
NODE_70188_length_1590_cov_3.736946	CMC010.B-metaspades_067
NODE_70413_length_1586_cov_5.171637	CMC010.B-metaspades_067
NODE_70473_length_1585_cov_4.436340	CMC010.B-metaspades_067
NODE_70545_length_1584_cov_3.725282	CMC010.B-metaspades_067
NODE_70612_length_1583_cov_2.277556	CMC010.B-metaspades_067
NODE_70744_length_1581_cov_2.634973	CMC010.B-metaspades_067
NODE_71094_length_1574_cov_5.261189	CMC010.B-metaspades_067
NODE_71207_length_1572_cov_4.608696	CMC010.B-metaspades_067
NODE_71504_length_1567_cov_4.140268	CMC010.B-metaspades_067
NODE_71566_length_1566_cov_4.951645	CMC010.B-metaspades_067
NODE_71692_length_1564_cov_4.620040	CMC010.B-metaspades_067
NODE_71743_length_1563_cov_4.510094	CMC010.B-metaspades_067
NODE_72095_length_1557_cov_5.126351	CMC010.B-metaspades_067
NODE_72456_length_1551_cov_3.777476	CMC010.B-metaspades_067
NODE_72552_length_1549_cov_6.331522	CMC010.B-metaspades_067
NODE_72620_length_1548_cov_4.987084	CMC010.B-metaspades_067
NODE_72807_length_1545_cov_4.497956	CMC010.B-metaspades_067
NODE_72875_length_1544_cov_3.397410	CMC010.B-metaspades_067
NODE_73075_length_1541_cov_3.401639	CMC010.B-metaspades_067
NODE_73238_length_1538_cov_4.434634	CMC010.B-metaspades_067
NODE_73735_length_1530_cov_3.057811	CMC010.B-metaspades_067
NODE_73977_length_1526_cov_5.143547	CMC010.B-metaspades_067
NODE_74375_length_1519_cov_5.241331	CMC010.B-metaspades_067
NODE_74666_length_1514_cov_5.587335	CMC010.B-metaspades_067
NODE_74739_length_1513_cov_4.119777	CMC010.B-metaspades_067
NODE_74928_length_1510_cov_5.720167	CMC010.B-metaspades_067
NODE_74999_length_1509_cov_5.623603	CMC010.B-metaspades_067
NODE_75068_length_1508_cov_5.828791	CMC010.B-metaspades_067
NODE_75123_length_1507_cov_5.090909	CMC010.B-metaspades_067
NODE_75207_length_1506_cov_3.983205	CMC010.B-metaspades_067
NODE_7149_length_10714_cov_16.341450	CMC018.B-metaspades_092
NODE_7522_length_10330_cov_15.473715	CMC018.B-metaspades_092
NODE_9201_length_8956_cov_14.747494	CMC018.B-metaspades_092
NODE_9229_length_8932_cov_14.494523	CMC018.B-metaspades_092
NODE_10247_length_8299_cov_16.298224	CMC018.B-metaspades_092
NODE_10344_length_8240_cov_15.790273	CMC018.B-metaspades_092
NODE_11657_length_7534_cov_14.854901	CMC018.B-metaspades_092
NODE_12392_length_7179_cov_13.881583	CMC018.B-metaspades_092
NODE_12864_length_6979_cov_14.539409	CMC018.B-metaspades_092
NODE_13570_length_6715_cov_14.882645	CMC018.B-metaspades_092
NODE_13965_length_6567_cov_14.077658	CMC018.B-metaspades_092
NODE_15465_length_6111_cov_14.290023	CMC018.B-metaspades_092
NODE_15468_length_6110_cov_18.370794	CMC018.B-metaspades_092
NODE_15812_length_6009_cov_16.601315	CMC018.B-metaspades_092
NODE_16170_length_5908_cov_13.031041	CMC018.B-metaspades_092
NODE_16389_length_5852_cov_13.481385	CMC018.B-metaspades_092
NODE_16540_length_5810_cov_14.173731	CMC018.B-metaspades_092
NODE_16553_length_5807_cov_13.572251	CMC018.B-metaspades_092
NODE_16840_length_5731_cov_12.525292	CMC018.B-metaspades_092
NODE_17207_length_5644_cov_15.978444	CMC018.B-metaspades_092
NODE_17706_length_5537_cov_15.931502	CMC018.B-metaspades_092
NODE_18583_length_5343_cov_16.522408	CMC018.B-metaspades_092
NODE_18814_length_5294_cov_15.845505	CMC018.B-metaspades_092
NODE_18857_length_5285_cov_15.854263	CMC018.B-metaspades_092
NODE_18884_length_5278_cov_13.927706	CMC018.B-metaspades_092
NODE_19074_length_5242_cov_16.158955	CMC018.B-metaspades_092
NODE_19432_length_5172_cov_10.987242	CMC018.B-metaspades_092
NODE_19903_length_5089_cov_16.513966	CMC018.B-metaspades_092
NODE_19974_length_5076_cov_11.836167	CMC018.B-metaspades_092
NODE_20148_length_5047_cov_14.523139	CMC018.B-metaspades_092
NODE_20447_length_4989_cov_15.134976	CMC018.B-metaspades_092
NODE_20474_length_4984_cov_13.694110	CMC018.B-metaspades_092
NODE_20609_length_4962_cov_8.215763	CMC018.B-metaspades_092
NODE_21715_length_4773_cov_13.236584	CMC018.B-metaspades_092
NODE_21777_length_4762_cov_15.172038	CMC018.B-metaspades_092
NODE_22083_length_4718_cov_16.361991	CMC018.B-metaspades_092
NODE_22276_length_4690_cov_13.971168	CMC018.B-metaspades_092
NODE_22324_length_4685_cov_15.059462	CMC018.B-metaspades_092
NODE_22663_length_4634_cov_17.850998	CMC018.B-metaspades_092
NODE_22704_length_4629_cov_13.835018	CMC018.B-metaspades_092
NODE_22760_length_4621_cov_16.438820	CMC018.B-metaspades_092
NODE_22943_length_4593_cov_13.924048	CMC018.B-metaspades_092
NODE_23045_length_4579_cov_15.622168	CMC018.B-metaspades_092
NODE_23479_length_4522_cov_13.133633	CMC018.B-metaspades_092
NODE_23621_length_4503_cov_17.528242	CMC018.B-metaspades_092
NODE_23726_length_4488_cov_13.644978	CMC018.B-metaspades_092
NODE_24408_length_4400_cov_15.885959	CMC018.B-metaspades_092
NODE_25398_length_4274_cov_12.893019	CMC018.B-metaspades_092
NODE_25590_length_4253_cov_13.956418	CMC018.B-metaspades_092
NODE_25645_length_4246_cov_16.382826	CMC018.B-metaspades_092
NODE_25824_length_4223_cov_13.526532	CMC018.B-metaspades_092
NODE_26510_length_4144_cov_14.925252	CMC018.B-metaspades_092
NODE_27227_length_4068_cov_9.032323	CMC018.B-metaspades_092
NODE_27238_length_4067_cov_10.300752	CMC018.B-metaspades_092
NODE_27582_length_4033_cov_15.788675	CMC018.B-metaspades_092
NODE_27756_length_4017_cov_11.280711	CMC018.B-metaspades_092
