Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,length,completeness,contamination,Secondary_sample_accession,MAG_source,Study,Oral_site,Age_BP,Country,Continent,Industrialization,sample_host,Sample,primary_cluster,log_age
NODE_189_length_7526_cov_20.8,NODE_189_length_7526_cov_20.8@1,1,7526,III-A,100%,"",III-A,16,"['Csx1_20_CAS-III', 'Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D', 'Cas6_5_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5, 6, 7]","['3.00e-82', '6.70e-134', '2.50e-24', '4.30e-75', '8.90e-49', '3.40e-30', '4.00e-26']","[0.839, 0.895, 0.669, 0.814, 0.962, 0.971, 0.991]","[0.989, 1.0, 0.746, 0.986, 0.987, 0.986, 0.525]",1,,ERS11702750.bin.r.1,known,1971784,100,0,ERS11702750,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702750-megahit_001,25,
NODE_437_length_3540_cov_14.0,NODE_437_length_3540_cov_14.0@1,1,3046,III-A,80%,"",III-A,12,"['Csm5gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A']","[1, 2, 3, 4]","['1.80e-26', '2.10e-56', '2.40e-73', '3.60e-27']","[0.974, 0.968, 0.885, 0.875]","[0.799, 0.99, 0.991, 0.901]",-1,,ERS11702750.bin.r.1,known,1971784,100,0,ERS11702750,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702750-megahit_001,25,
NODE_143_length_9720_cov_156.8,NODE_143_length_9720_cov_156.8@1,604,9626,III-A,100%,"",III-A,18,"['Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Csx1_20_CAS-III', 'Csm5gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A', 'Cas10_1_CAS-III']","[1, 2, 3, 4, 5, 6, 7, 8, 9]","['4.90e-82', '3.50e-16', '2.60e-74', '3.10e-67', '8.30e-38', '2.00e-56', '2.30e-73', '3.40e-27', '9.40e-141']","[0.854, 0.771, 0.977, 0.916, 0.979, 0.968, 0.885, 0.875, 0.835]","[0.989, 0.831, 0.991, 0.995, 0.997, 0.99, 0.991, 0.901, 1.0]",-1,,ERS11702751.bin.r.4,known,1952096,100,0,ERS11702751,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702751-megahit_004,25,
NODE_180_length_8114_cov_27.3,NODE_180_length_8114_cov_27.3@1,1267,7714,III-A,80%,"",III-A,16,"['Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D', 'Csx1_20_CAS-III', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[3, 4, 5, 6, 7, 8, 9, 10]","['2.00e-22', '7.00e-71', '6.80e-51', '5.90e-40', '1.10e-68', '1.70e-74', '3.10e-16', '4.80e-82']","[0.761, 0.888, 0.92, 0.997, 0.916, 0.977, 0.787, 0.854]","[0.754, 0.991, 0.954, 1.0, 0.995, 0.991, 0.831, 0.989]",1,,ERS11702754.bin.r.1,known,1840614,98.61,1.77,ERS11702754,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702754-megahit_001,25,
NODE_206_length_7559_cov_26.8,NODE_206_length_7559_cov_26.8@1,74,7424,I-B,80%,100%,I-B,17,"['Cas8b1_12_CAS-I-B', 'Cas7_0_CAS-I-B', 'Cas5_0_CAS-I', 'Cas3_0_I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5, 6, 7]","['2.20e-148', '9.00e-37', '8.00e-15', '3.00e-100', '2.30e-50', '2.60e-140', '2.30e-30']","[0.976, 0.879, 0.659, 0.477, 0.947, 0.972, 0.924]","[0.99, 0.922, 0.726, 0.989, 0.994, 0.997, 0.978]",1,1,ERS11702754.bin.r.1,known,1840614,98.61,1.77,ERS11702754,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702754-megahit_001,25,
NODE_277_length_5636_cov_24.7,NODE_277_length_5636_cov_24.7@1,104,5586,III-A,100%,"",III-A,14,"['Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D']","[1, 2, 3, 4, 5]","['1.10e-134', '2.20e-24', '3.30e-75', '3.50e-49', '8.30e-21']","[0.895, 0.669, 0.814, 0.962, 0.54]","[1.0, 0.746, 0.986, 0.987, 0.39]",1,,ERS11702757.bin.r.1,known,1851951,98.4,0,ERS11702757,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702757-megahit_001,25,
NODE_83_length_9510_cov_27.9,NODE_83_length_9510_cov_27.9@1,250,9173,III-A,100%,"",III-A,18,"['Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D', 'Csx1_20_CAS-III', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5, 6, 7, 8, 9]","['1.00e-142', '1.90e-22', '6.60e-71', '6.40e-51', '5.60e-40', '1.00e-68', '1.60e-74', '3.10e-16', '4.50e-82']","[0.83, 0.761, 0.888, 0.92, 0.997, 0.916, 0.977, 0.771, 0.854]","[1.0, 0.754, 0.991, 0.954, 1.0, 0.995, 0.991, 0.831, 0.989]",1,,ERS11702758.bin.r.1,known,1737072,98.4,0.84,ERS11702758,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702758-megahit_001,25,
NODE_843_length_2448_cov_12.6,NODE_843_length_2448_cov_12.6@1,3,1883,III-A,60%,"",III-A,10,"['Csm4_0_IIIA', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A']","[1, 2, 3]","['4.20e-40', '6.00e-71', '1.80e-22']","[0.983, 0.888, 0.761]","[0.778, 0.991, 0.754]",-1,,ERS11702760.bin.r.1,known,1268708,77.82,1.6,ERS11702760,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702760-megahit_001,25,
NODE_111_length_9770_cov_61.4,NODE_111_length_9770_cov_61.4@1,338,9366,III-A,100%,"",III-A,18,"['Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm5gr7_1_CAS-III-A-III-D', 'Csx1_9_CAS-III', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[2, 3, 4, 5, 6, 7, 8, 9, 10]","['2.70e-141', '2.40e-27', '2.20e-73', '1.90e-56', '2.20e-38', '1.10e-61', '1.10e-74', '3.40e-16', '5.30e-82']","[0.835, 0.868, 0.885, 0.968, 0.979, 0.917, 0.977, 0.771, 0.854]","[1.0, 0.894, 0.991, 0.99, 0.997, 0.992, 0.991, 0.831, 0.989]",1,,ERS11702762.bin.r.4,known,1901133,98.4,0.4,ERS11702762,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702762-megahit_004,25,
NODE_66_length_19771_cov_65.5,NODE_66_length_19771_cov_65.5@1,8765,19185,III-A,100%,"",III-A,18,"['Csx1_20_CAS-III', 'Csx1_20_CAS-III', 'Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[5, 6, 7, 8, 9, 10, 11, 13, 14, 15]","['1.50e-58', '2.50e-82', '6.50e-134', '2.50e-24', '4.20e-75', '8.60e-49', '5.10e-20', '6.90e-69', '3.40e-16', '9.10e-82']","[0.907, 0.879, 0.895, 0.669, 0.814, 0.962, 0.529, 0.977, 0.787, 0.854]","[0.989, 0.989, 1.0, 0.746, 0.986, 0.987, 0.396, 0.991, 0.831, 0.989]",1,,ERS11702763.bin.r.1,known,2047679,100,0,ERS11702763,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702763-megahit_001,25,
NODE_36_length_30874_cov_71.4,NODE_36_length_30874_cov_71.4@1,59,6283,I-B,100%,0%,I-B,14,"['Cas3_1_CAS-I', 'Cas5_7_CAS-I-B', 'Cas7b_0_CAS-I-B-I-C', 'Cas8b1_4_CAS-I-B', 'Cas6_3_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5]","['2.10e-29', '8.70e-19', '9.10e-39', '8.40e-204', '2.60e-83']","[0.619, 0.539, 0.76, 0.988, 0.98]","[0.43, 0.64, 0.941, 0.994, 0.992]",-1,,ERS11702763.bin.r.1,known,2047679,100,0,ERS11702763,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702763-megahit_001,25,
NODE_1050_length_1644_cov_11.1,NODE_1050_length_1644_cov_11.1@1,2,1643,III-A,60%,"",III-A,10,"['Csm4_0_IIIA', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A']","[1, 2, 3]","['1.60e-27', '4.10e-75', '4.80e-21']","[0.985, 0.888, 0.861]","[0.649, 0.991, 0.782]",-1,,ERS11702764.bin.r.1,known,1251890,72.49,0.4,ERS11702764,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702764-megahit_001,24,
NODE_418_length_4430_cov_17.2,NODE_418_length_4430_cov_17.2@1,9,4418,I-B,80%,0%,I-B,12,"['Cas3_1_CAS-I', 'Cas5_7_CAS-I-B', 'Cas7b_0_CAS-I-B-I-C', 'Cas8b1_4_CAS-I-B']","[1, 2, 3, 4]","['1.80e-29', '7.50e-19', '7.80e-39', '1.20e-106']","[0.619, 0.539, 0.76, 0.928]","[0.43, 0.64, 0.941, 0.439]",-1,,ERS11702765.bin.r.3,known,1486938,69.34,4.8,ERS11702765,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702765-megahit_003,25,
NODE_224_length_6186_cov_18.6,NODE_224_length_6186_cov_18.6@1,594,5850,III-A,80%,"",III-A,15,"['Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5gr7_1_CAS-III-A-III-D', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[2, 3, 4, 5, 6, 7, 8]","['2.10e-24', '3.60e-75', '7.40e-49', '2.80e-30', '6.00e-69', '2.90e-16', '7.80e-82']","[0.669, 0.814, 0.962, 0.971, 0.977, 0.787, 0.854]","[0.746, 0.986, 0.987, 0.986, 0.991, 0.831, 0.989]",1,,ERS11702765.bin.r.3,known,1486938,69.34,4.8,ERS11702765,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702765-megahit_003,25,
NODE_173_length_7855_cov_49.1,NODE_173_length_7855_cov_49.1@1,338,7688,I-B,80%,100%,I-B,17,"['Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas3_0_I', 'Cas5_0_CAS-I', 'Cas7_0_CAS-I-B', 'Cas8b1_12_CAS-I-B']","[1, 2, 3, 4, 5, 6, 7]","['2.40e-30', '2.60e-140', '2.30e-50', '3.10e-100', '8.20e-15', '9.20e-37', '2.20e-148']","[0.924, 0.972, 0.947, 0.477, 0.659, 0.879, 0.976]","[0.978, 0.997, 0.994, 0.989, 0.726, 0.922, 0.99]",-1,-1,ERS11702767.bin.r.4,known,1927203,100,0,ERS11702767,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702767-megahit_004,25,
NODE_71_length_17554_cov_56.9,NODE_71_length_17554_cov_56.9@1,380,13248,III-A,100%,"",III-A,18,"['Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Csx1_20_CAS-III', 'Csm5gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A', 'Cas10_1_CAS-III', 'Csx1_20_CAS-III', 'Csx1_20_CAS-III']","[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13]","['4.90e-82', '3.20e-16', '1.70e-74', '1.10e-68', '6.10e-40', '6.90e-51', '7.10e-71', '2.10e-22', '1.10e-142', '1.80e-82', '5.60e-60']","[0.854, 0.787, 0.977, 0.916, 0.997, 0.92, 0.888, 0.761, 0.837, 0.879, 0.909]","[0.989, 0.831, 0.991, 0.995, 1.0, 0.954, 0.991, 0.754, 1.0, 0.989, 0.989]",-1,,ERS11702767.bin.r.4,known,1927203,100,0,ERS11702767,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702767-megahit_004,25,
NODE_251_length_9660_cov_38.8,NODE_251_length_9660_cov_38.8@1,486,9508,III-A,100%,"",III-A,18,"['Cas10_1_CAS-III', 'Csm2gr11_2_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm5gr7_1_CAS-III-A-III-D', 'Csx1_20_CAS-III', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[2, 3, 4, 5, 6, 7, 8, 9, 10]","['1.20e-140', '2.00e-27', '2.30e-73', '2.00e-56', '8.40e-38', '3.20e-67', '2.60e-74', '3.50e-16', '4.90e-82']","[0.835, 0.875, 0.885, 0.968, 0.979, 0.916, 0.977, 0.771, 0.854]","[1.0, 0.901, 0.991, 0.99, 0.997, 0.995, 0.991, 0.831, 0.989]",1,,ERS11702769.bin.r.5,known,1925328,99.6,0,ERS11702769,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702769-megahit_005,25,
NODE_34_length_34034_cov_68.6,NODE_34_length_34034_cov_68.6@1,592,8737,I-B,100%,100%,I-B,19,"['Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas3_0_I', 'Cas5_0_CAS-I', 'Cas7_0_CAS-I-B', 'Cas8b1_12_CAS-I-B', 'Cas6_3_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4, 5, 6, 7, 8]","['2.40e-30', '2.60e-140', '2.30e-50', '3.10e-100', '8.20e-15', '9.20e-37', '2.20e-148', '1.30e-84']","[0.924, 0.972, 0.947, 0.477, 0.659, 0.879, 0.976, 0.988]","[0.978, 0.997, 0.994, 0.989, 0.726, 0.922, 0.99, 0.992]",-1,-1,ERS11702770.bin.r.1,known,1952210,100,0,ERS11702770,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702770-megahit_001,25,
NODE_431_length_9825_cov_76.1,NODE_431_length_9825_cov_76.1@1,665,9588,III-A,100%,"",III-A,18,"['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Csx1_20_CAS-III', 'Csm5gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A', 'Cas10_1_CAS-III']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['5.20e-39', '5.10e-33', '3.40e-16', '1.70e-74', '1.10e-68', '6.10e-40', '7.00e-51', '7.10e-71', '2.10e-22', '1.10e-142']","[0.905, 0.977, 0.771, 0.977, 0.916, 0.997, 0.92, 0.888, 0.761, 0.83]","[0.397, 0.587, 0.831, 0.991, 0.995, 1.0, 0.954, 0.991, 0.754, 1.0]",-1,,ERS11702770.bin.r.1,known,1952210,100,0,ERS11702770,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702770-megahit_001,25,
NODE_171_length_9543_cov_31.7,NODE_171_length_9543_cov_31.7@1,414,9436,III-A,100%,"",III-A,18,"['Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas6_5_CAS-I-II-III-IV-V-VI', 'Csx1_20_CAS-III', 'Csm5gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_2_CAS-III-A', 'Cas10_1_CAS-III']","[1, 2, 3, 4, 5, 6, 7, 8, 9]","['4.80e-82', '3.40e-16', '2.60e-74', '3.10e-67', '8.10e-38', '1.90e-56', '2.20e-73', '3.30e-27', '9.20e-141']","[0.854, 0.771, 0.977, 0.916, 0.979, 0.968, 0.885, 0.875, 0.835]","[0.989, 0.831, 0.991, 0.995, 0.997, 0.99, 0.991, 0.901, 1.0]",-1,,ERS11702772.bin.r.1,known,1877788,99.2,0.04,ERS11702772,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702772-megahit_001,25,
