Sample	Query	checkv_quality	vOTU	Rank	Kingdom	Phylum	Class	Order	Family	Genus	Species
CMC004.B	phage_comp_103_cycle_1	Medium-quality	vOTU_02934389	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_1054_cycle_1	Complete	vOTU_01860067	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_1131_cycle_1	High-quality	vOTU_01674955	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_190_cycle_1	Low-quality	vOTU_07901307	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_207_cycle_1	Low-quality	vOTU_01953619	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_246_cycle_1	Medium-quality	vOTU_06836516	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_246_cycle_2	Medium-quality	vOTU_06836516	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_288_cycle_1	Medium-quality	vOTU_06813696	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_448_cycle_1	Complete	vOTU_00687560	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_471_cycle_1	Complete	vOTU_05785227	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_475_cycle_1	Low-quality	vOTU_07974147	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_578_cycle_1	Low-quality	vOTU_06539590	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_888_cycle_1	Low-quality	vOTU_06524414	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_892_cycle_1	Low-quality	vOTU_02145157	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_892_cycle_2	Low-quality	vOTU_08502236	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_8_cycle_1	Low-quality	vOTU_01918501	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC004.B	phage_comp_964_cycle_1	Medium-quality	vOTU_02622974	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_100_cycle_1	Not-determined	vOTU_07953400	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_100_cycle_2	Not-determined	vOTU_07953400	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_113_cycle_1	Not-determined	vOTU_01955659	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_120_cycle_1	Complete	vOTU_01951165	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_120_cycle_2	Complete	vOTU_00687479	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_137_cycle_1	Complete	vOTU_01406742	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_163_cycle_1	High-quality	vOTU_00687518	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_172_cycle_1	Low-quality	vOTU_01403386	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_284_cycle_1	Low-quality	vOTU_04151088	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_290_cycle_1	Complete	vOTU_06212483	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_291_cycle_1	Complete	vOTU_00265218	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_302_cycle_1	Complete	vOTU_01406033	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC005.B	phage_comp_99_cycle_1	Not-determined	vOTU_01764376	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_101_cycle_1	Medium-quality	vOTU_01764340	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_108_cycle_1	Complete	vOTU_06745950	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__Crassvirales	f__	g__	s__
CMC006.B	phage_comp_123_cycle_1	Complete	vOTU_07954516	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_123_cycle_2	Complete	vOTU_07954516	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_124_cycle_1	Low-quality	vOTU_00814297	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_147_cycle_1	High-quality	vOTU_08607257	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_158_cycle_1	Low-quality	vOTU_02831104	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_236_cycle_1	Medium-quality	vOTU_01629361	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_278_cycle_1	High-quality	vOTU_01951165	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_40_cycle_1	Complete	vOTU_03402283	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_40_cycle_2	Complete	vOTU_03402283	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC006.B	phage_comp_508_cycle_1	Complete	vOTU_07958258	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_131_cycle_1	Not-determined	vOTU_01749477	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_131_cycle_2	Not-determined	vOTU_01749477	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_137_cycle_1	Low-quality	vOTU_08554569	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_137_cycle_2	Low-quality	vOTU_08554569	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_155_cycle_1	Low-quality	vOTU_01403961	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_182_cycle_1	High-quality	vOTU_00687479	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_205_cycle_1	Low-quality	vOTU_01635830	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_205_cycle_2	Low-quality	vOTU_01635830	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_25_cycle_1	Complete	vOTU_07974045	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_281_cycle_1	Complete	vOTU_04068776	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_343_cycle_1	Complete	vOTU_07959448	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_371_cycle_1	Complete	vOTU_01920304	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_503_cycle_1	Low-quality	vOTU_07947092	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_536_cycle_1	Medium-quality	vOTU_03402137	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_569_cycle_1	Low-quality	vOTU_01914332	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC007.B	phage_comp_687_cycle_1	Medium-quality	vOTU_01674628	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_224_cycle_1	Complete	vOTU_01955750	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_241_cycle_1	Complete	vOTU_02383666	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_258_cycle_1	Medium-quality	vOTU_06113491	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_262_cycle_1	Low-quality	vOTU_08497565	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_276_cycle_1	Not-determined	vOTU_07939791	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_282_cycle_1	Not-determined	vOTU_01955659	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_282_cycle_2	Not-determined	vOTU_01955659	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_282_cycle_3	Not-determined	vOTU_01955659	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_346_cycle_1	Medium-quality	vOTU_05085719	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_379_cycle_1	Complete	vOTU_03402070	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_388_cycle_1	Complete	vOTU_07734929	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_48_cycle_1	Complete	vOTU_00687406	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_555_cycle_1	Low-quality	vOTU_07530238	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_644_cycle_1	Low-quality	vOTU_01628181	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_656_cycle_1	Medium-quality	vOTU_01802442	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC008.B	phage_comp_675_cycle_1	High-quality	vOTU_07936903	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_123_cycle_1	Low-quality	vOTU_01636524	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_202_cycle_1	Complete	vOTU_01406031	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_212_cycle_1	Low-quality	vOTU_01953799	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_212_cycle_2	Low-quality	vOTU_01953799	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_224_cycle_1	Not-determined	vOTU_01431749	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_248_cycle_1	Low-quality	vOTU_01658601	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_250_cycle_2	Not-determined	vOTU_01803476	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_251_cycle_1	Not-determined	vOTU_00221368	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_288_cycle_1	Low-quality	vOTU_01955501	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_288_cycle_2	Low-quality	vOTU_01955501	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_313_cycle_1	Complete	vOTU_01860893	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_313_cycle_2	Complete	vOTU_01860893	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_350_cycle_1	Medium-quality	vOTU_07966139	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_379_cycle_1	Complete	vOTU_01404027	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_379_cycle_3	Complete	vOTU_01404027	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_391_cycle_1	Low-quality	vOTU_01624856	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_391_cycle_2	Low-quality	vOTU_01624856	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_52_cycle_1	Complete	vOTU_01637022	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_52_cycle_2	Complete	vOTU_01637022	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_52_cycle_3	Complete	vOTU_01637022	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_62_cycle_1	Not-determined	vOTU_05111992	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_638_cycle_1	Low-quality	vOTU_00687482	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_656_cycle_1	Complete	vOTU_01955269	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_658_cycle_1	Complete	vOTU_01404204	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_659_cycle_1	Medium-quality	vOTU_00688702	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_664_cycle_1	Low-quality	vOTU_01801973	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_675_cycle_1	Low-quality	vOTU_04825792	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.A	phage_comp_684_cycle_1	Low-quality	vOTU_01801947	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_183_cycle_1	Complete	vOTU_01860809	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_192_cycle_1	Not-determined	vOTU_05729828	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_192_cycle_2	Not-determined	vOTU_05729828	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_214_cycle_1	Complete	vOTU_02383666	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_214_cycle_2	Complete	vOTU_02383666	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_218_cycle_1	Complete	vOTU_01674905	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_218_cycle_2	Complete	vOTU_01674905	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_24_cycle_1	Complete	vOTU_02330566	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_24_cycle_2	Complete	vOTU_02330566	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_24_cycle_3	Complete	vOTU_02330566	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_262_cycle_1	Complete	vOTU_01757463	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_297_cycle_1	Medium-quality	vOTU_08507088	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_307_cycle_1	High-quality	vOTU_05038758	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_311_cycle_1	Complete	vOTU_05044492	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_318_cycle_1	High-quality	vOTU_08503210	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_318_cycle_2	High-quality	vOTU_08503210	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_331_cycle_1	Complete	vOTU_07612650	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_332_cycle_1	Complete	vOTU_07937550	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_334_cycle_1	Complete	vOTU_07947084	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_345_cycle_1	High-quality	vOTU_06274293	r__Varidnaviria	k__Bamfordvirae	p__Nucleocytoviricota	c__Megaviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_362_cycle_1	Medium-quality	vOTU_01658221	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_390_cycle_1	Complete	vOTU_01411018	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_392_cycle_1	Complete	vOTU_02330777	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
CMC009.B	phage_comp_576_cycle_1	Low-quality	vOTU_07934141	r__Duplodnaviria	k__Heunggongvirae	p__Uroviricota	c__Caudoviricetes	o__	f__	g__	s__
