Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_1287_length_8973_cov_7.55764	NODE_1287_length_8973_cov_7.55764@1	7520	8971	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[10]	['7.00e-07']	[0.335]	[0.439]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_3567_length_4543_cov_7.76961	NODE_3567_length_4543_cov_7.76961@1	964	1686	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['6.50e-10']	[0.747]	[0.634]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_896_length_11260_cov_8.23008	NODE_896_length_11260_cov_8.23008@1	9669	10127	False	20%	0%	I-B	4	['Cas5_2_CAS-I-B']	[12]	['2.70e-03']	[0.49]	[0.335]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_1114_length_9852_cov_7.23824	NODE_1114_length_9852_cov_7.23824@1	89	787	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['3.40e-06']	[0.579]	[0.496]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_2371_length_6126_cov_7.9155	NODE_2371_length_6126_cov_7.9155@1	5352	6035	False	0%		III-A	1	['AbiEii_0_CAS-III']	[6]	['2.50e-05']	[0.443]	[0.331]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_600_length_14506_cov_8.12331	NODE_600_length_14506_cov_8.12331@1	2709	3584	False	0%		III-B	1	['htpX_0_CAS-III-B']	[4]	['2.00e-20']	[0.61]	[0.531]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_8186_length_2344_cov_8.55876	NODE_8186_length_2344_cov_8.55876@1	661	1497	False	0%		IV-B	3	['CysH_0_IVB']	[2]	['4.70e-07']	[0.405]	[0.386]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_616_length_14313_cov_7.04888	NODE_616_length_14313_cov_7.04888@1	10353	11102	False	0%		III-A	1	['AbiEii_0_CAS-III']	[10]	['4.50e-04']	[0.464]	[0.394]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_631_length_14092_cov_6.92384	NODE_631_length_14092_cov_6.92384@1	11633	13051	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[12]	['2.30e-19']	[0.383]	[0.981]			hard_palate	industrial	HMP_2012__SRS062878__bin.1	putative
NODE_171_length_29237_cov_5.1552	NODE_171_length_29237_cov_5.1552@1	11372	11734	False	14%	0%	I-A	4	['Csa5gr11_8_CAS-I-A']	[9]	['7.20e-03']	[0.388]	[0.431]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_823_length_11860_cov_5.67285	NODE_823_length_11860_cov_5.67285@1	6396	6887	False	0%	33%	V-A	1	['Cas4_0_V']	[5]	['2.80e-03']	[0.585]	[0.534]		1	hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_5425_length_3281_cov_3.88438	NODE_5425_length_3281_cov_3.88438@1	2541	3260	False	0%		III-B	1	['Unk_03_0_CAS-III-B']	[3]	['6.90e-03']	[0.354]	[0.462]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_155_length_30450_cov_4.99895	NODE_155_length_30450_cov_4.99895@1	15101	16417	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[15]	['4.60e-13']	[0.544]	[0.683]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_3724_length_4414_cov_4.15715	NODE_3724_length_4414_cov_4.15715@1	1631	2551	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[2]	['5.90e-31']	[0.59]	[0.983]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_506_length_16139_cov_5.26181	NODE_506_length_16139_cov_5.26181@1	3800	8577	False	0%		III-A	1	['AbiEii_0_CAS-III', 'DEDDh_0_CAS-I-II-III-IV-V-VI']	[6, 10]	['2.00e-07', '6.20e-38']	[0.304, 0.561]	[0.444, 1.0]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_130_length_32733_cov_6.37949	NODE_130_length_32733_cov_6.37949@1	23051	23758	False	0%		III-A	1	['AbiEii_0_CAS-III']	[19]	['3.90e-08']	[0.61]	[0.496]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_1940_length_7030_cov_4.17706	NODE_1940_length_7030_cov_4.17706@1	4403	5179	False	0%		III-A	1	['AbiEii_0_CAS-III']	[5]	['2.20e-04']	[0.575]	[0.511]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_1494_length_8198_cov_4.80928	NODE_1494_length_8198_cov_4.80928@1	3537	3791	False	25%		IV-B	2	['Cas11_1_IV']	[6]	['4.20e-05']	[0.647]	[0.418]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_528_length_15681_cov_4.81172	NODE_528_length_15681_cov_4.81172@1	3238	5142	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[4]	['2.10e-08']	[0.324]	[0.589]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_413_length_18115_cov_7.16628	NODE_413_length_18115_cov_7.16628@1	3115	4431	False	29%	0%	I-A	2	['Cas3HD_0_CAS-I']	[4]	['7.10e-03']	[0.335]	[0.483]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_28_length_73379_cov_5.67518	NODE_28_length_73379_cov_5.67518@1	67037	67939	False	0%	0%	I-A	0	['WYL_0_CAS-I-II-III-IV-V-VI']	[40]	['8.00e-17']	[0.973]	[0.981]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_3211_length_4938_cov_3.89207	NODE_3211_length_4938_cov_3.89207@1	29	898	False	0%		IV-B	3	['CysH_0_IVB']	[1]	['6.00e-12']	[0.641]	[0.635]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_113_length_35049_cov_5.35458	NODE_113_length_35049_cov_5.35458@1	22461	23510	False	0%		III-A	1	['Csx1_9_CAS-III']	[18]	['1.30e-05']	[0.371]	[0.341]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_138_length_31652_cov_5.50897	NODE_138_length_31652_cov_5.50897@1	29562	30380	False	0%		III-A	1	['AbiEii_0_CAS-III']	[25]	['2.50e-06']	[0.817]	[0.778]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_255_length_23527_cov_5.29899	NODE_255_length_23527_cov_5.29899@1	2541	3962	False	20%		IV-D	4	['RecD_0_IVD']	[4]	['2.50e-38']	[0.806]	[0.484]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_1472_length_8291_cov_6.47899	NODE_1472_length_8291_cov_6.47899@1	646	6205	Ambiguous	['100%', '100%']	['67%', '100%']	['II-A', 'II-C']	5	['Cas9_0_II', 'Cas1_0_II', 'Cas2_9_CAS-I-II-III-IV-V-VI']	[1, 2, 3]	['8.40e-48', '1.30e-77', '3.60e-26']	[0.628, 0.936, 0.766]	[0.943, 0.996, 0.842]	1	1	hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_1146_length_9650_cov_4.84336	NODE_1146_length_9650_cov_4.84336@1	2961	4928	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['4.00e-04']	[0.381]	[0.704]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_883_length_11383_cov_4.64566	NODE_883_length_11383_cov_4.64566@1	6055	6606	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[5]	['1.40e-34']	[0.842]	[0.994]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_170_length_29266_cov_4.31659	NODE_170_length_29266_cov_4.31659@1	10679	11269	False	17%		III-D	3	['Csx19_10_CAS-III-D']	[16]	['2.50e-03']	[0.447]	[0.661]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_214_length_25908_cov_6.79534	NODE_214_length_25908_cov_6.79534@1	11437	13533	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[10]	['2.00e-11']	[0.323]	[0.629]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_803_length_11979_cov_4.57196	NODE_803_length_11979_cov_4.57196@1	776	2689	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[2]	['1.10e-08']	[0.331]	[0.606]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_2645_length_5683_cov_5.2731	NODE_2645_length_5683_cov_5.2731@1	293	1060	False	0%		III-A	1	['AbiEii_1_CAS-III-A']	[1]	['1.00e-04']	[0.379]	[0.301]			hard_palate	industrial	HMP_2012__SRS062878__bin.15	putative
NODE_1787_length_7368_cov_30.5869	NODE_1787_length_7368_cov_30.5869@1	488	1564	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['2.40e-05']	[0.368]	[0.373]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_10012_length_1970_cov_23.5775	NODE_10012_length_1970_cov_23.5775@1	1435	1968	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[2]	['3.20e-14']	[0.719]	[0.738]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_4222_length_4008_cov_33.4521	NODE_4222_length_4008_cov_33.4521@1	1478	2215	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['1.10e-11']	[0.496]	[0.433]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_5700_length_3156_cov_52.0906	NODE_5700_length_3156_cov_52.0906@1	78	659	False	25%		V-K	1	['TnsC_0_V-K']	[1]	['1.30e-03']	[0.485]	[0.332]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_2619_length_5724_cov_42.157	NODE_2619_length_5724_cov_42.157@1	2	1114	False	20%	0%	I-D	4	['Cas3_1_CAS-I-D']	[1]	['2.60e-04']	[0.356]	[0.371]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_2859_length_5369_cov_35.7155	NODE_2859_length_5369_cov_35.7155@1	4028	5368	False	0%	33%	V-A	1	['Cas1_0_V']	[5]	['1.40e-03']	[0.358]	[0.476]		1	hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_3875_length_4289_cov_48.0711	NODE_3875_length_4289_cov_48.0711@1	2874	3722	False	0%		III-B	1	['htpX_0_CAS-III-B']	[6]	['1.50e-27']	[0.724]	[0.63]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_6661_length_2794_cov_47.693	NODE_6661_length_2794_cov_47.693@1	436	1302	False	0%		III-A	1	['Mem_DnaJ_0_CAS-III-AM']	[2]	['4.80e-04']	[0.339]	[0.335]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_12639_length_1594_cov_37.5101	NODE_12639_length_1594_cov_37.5101@1	692	1453	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[3]	['2.00e-38']	[0.654]	[0.994]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_8507_length_2268_cov_41.0398	NODE_8507_length_2268_cov_41.0398@1	546	1154	False	0%	0%	I-B	4	['Cas11b_0_CAS-I-B']	[2]	['1.10e-03']	[0.512]	[0.547]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_10704_length_1855_cov_16.0506	NODE_10704_length_1855_cov_16.0506@1	488	1564	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['2.50e-05']	[0.334]	[0.377]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_1921_length_7062_cov_42.0295	NODE_1921_length_7062_cov_42.0295@1	5435	6331	False	0%		III-A	1	['AbiEii_0_CAS-III']	[8]	['2.20e-04']	[0.391]	[0.387]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_2304_length_6233_cov_19.8385	NODE_2304_length_6233_cov_19.8385@1	4164	5222	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['8.00e-03']	[0.3]	[0.37]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_11524_length_1737_cov_37.8014	NODE_11524_length_1737_cov_37.8014@1	1045	1593	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[2]	['3.60e-13']	[0.847]	[0.944]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_11071_length_1803_cov_24.6905	NODE_11071_length_1803_cov_24.6905@1	3	1160	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[1]	['4.40e-11']	[0.516]	[0.547]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_5527_length_3233_cov_38.8194	NODE_5527_length_3233_cov_38.8194@1	2003	2728	False	0%		III-A	1	['AbiEii_0_CAS-III']	[5]	['8.50e-05']	[0.471]	[0.391]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_12778_length_1578_cov_26.6244	NODE_12778_length_1578_cov_26.6244@1	2	415	False	0%	0%	I-A	0	['CasR_0_CAS-I-II-III-IV-V-VI']	[1]	['1.10e-05']	[0.471]	[0.328]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_13204_length_1535_cov_31.8209	NODE_13204_length_1535_cov_31.8209@1	772	1533	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['3.00e-07']	[0.551]	[0.391]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_6875_length_2716_cov_24.1251	NODE_6875_length_2716_cov_24.1251@1	132	500	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1]	['2.90e-17']	[0.691]	[0.788]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_9266_length_2109_cov_41.9216	NODE_9266_length_2109_cov_41.9216@1	1256	2017	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['3.20e-07']	[0.417]	[0.387]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_4298_length_3946_cov_19.1758	NODE_4298_length_3946_cov_19.1758@1	1	1044	False	0%		IV-B	3	['CysH_0_IVB']	[1]	['1.10e-05']	[0.365]	[0.498]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_3154_length_5001_cov_35.329	NODE_3154_length_5001_cov_35.329@1	667	1785	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['2.60e-06']	[0.397]	[0.511]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_3701_length_4431_cov_49.322	NODE_3701_length_4431_cov_49.322@1	3	428	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['2.50e-05']	[0.641]	[0.327]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_9961_length_1979_cov_20.8945	NODE_9961_length_1979_cov_20.8945@1	3	794	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[1]	['1.50e-03']	[0.326]	[0.376]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_11492_length_1741_cov_37.2426	NODE_11492_length_1741_cov_37.2426@1	3	1214	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[1]	['1.40e-06']	[0.475]	[0.544]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_5453_length_3270_cov_21.0995	NODE_5453_length_3270_cov_21.0995@1	1903	2826	False	0%		IV-B	3	['CysH_0_IVB']	[3]	['8.60e-17']	[0.565]	[0.671]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_7627_length_2488_cov_22.1451	NODE_7627_length_2488_cov_22.1451@1	1796	2149	False	0%	0%	I-A	0	['CasR_0_CAS-I-II-III-IV-V-VI']	[3]	['6.10e-04']	[0.602]	[0.333]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_11469_length_1745_cov_47.9071	NODE_11469_length_1745_cov_47.9071@1	1182	1634	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['5.90e-05']	[0.616]	[0.445]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_938_length_11037_cov_26.4202	NODE_938_length_11037_cov_26.4202@1	5527	5877	False	29%	0%	I-A	2	['Cas3HD_0_CAS-I']	[10]	['2.90e-21']	[0.769]	[0.562]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_8941_length_2170_cov_30.853	NODE_8941_length_2170_cov_30.853@1	3	2069	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[1]	['1.70e-10']	[0.369]	[0.884]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_6462_length_2866_cov_34.1772	NODE_6462_length_2866_cov_34.1772@1	1510	2865	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['8.80e-08']	[0.511]	[0.507]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_2444_length_6017_cov_36.0696	NODE_2444_length_6017_cov_36.0696@1	5458	6015	False	0%		IV-B	3	['CysH_0_IVB']	[6]	['5.70e-05']	[0.871]	[0.622]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_1979_length_6929_cov_32.2544	NODE_1979_length_6929_cov_32.2544@1	5643	6641	False	0%		III-A	1	['AbiEii_0_CAS-III']	[6]	['2.60e-03']	[0.462]	[0.518]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_3507_length_4601_cov_28.0838	NODE_3507_length_4601_cov_28.0838@1	2333	3754	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[3]	['4.50e-17']	[0.462]	[0.981]			hard_palate	industrial	HMP_2012__SRS062878__bin.17	putative
NODE_1914_length_7071_cov_34.2882	NODE_1914_length_7071_cov_34.2882@1	6358	6888	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[4]	['1.40e-29']	[0.881]	[0.994]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_922_length_11118_cov_38.2594	NODE_922_length_11118_cov_38.2594@1	3382	5466	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[3]	['1.70e-06']	[0.304]	[0.603]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_147_length_31225_cov_45.8824	NODE_147_length_31225_cov_45.8824@1	153	1238	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['4.50e-12']	[0.323]	[0.394]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_1733_length_7511_cov_44.1804	NODE_1733_length_7511_cov_44.1804@1	7134	7388	False	17%	0%	I-E	4	['Cse2gr11_7_CAS-I-E']	[8]	['2.70e-03']	[0.6]	[0.361]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_1101_length_9950_cov_39.8841	NODE_1101_length_9950_cov_39.8841@1	8610	9572	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[7]	['9.70e-29']	[0.592]	[0.983]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_356_length_19546_cov_34.8191	NODE_356_length_19546_cov_34.8191@1	15491	16153	False	0%		III-A	1	['AbiEii_0_CAS-III']	[13]	['3.60e-05']	[0.502]	[0.373]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_4789_length_3616_cov_41.6448	NODE_4789_length_3616_cov_41.6448@1	1313	2695	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[2]	['9.50e-09']	[0.657]	[0.912]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_209_length_26331_cov_38.3605	NODE_209_length_26331_cov_38.3605@1	6786	7700	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[5]	['7.30e-30']	[0.577]	[0.988]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_3101_length_5059_cov_33.3052	NODE_3101_length_5059_cov_33.3052@1	941	2698	False	14%	0%	I-A	1	['Cas3_0_I']	[2]	['1.20e-06']	[0.324]	[0.545]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_2122_length_6570_cov_34.7064	NODE_2122_length_6570_cov_34.7064@1	4551	5321	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[4]	['4.40e-38']	[0.607]	[0.994]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_550_length_15316_cov_38.0086	NODE_550_length_15316_cov_38.0086@1	7375	9015	False	0%		III-A	1	['AbiEii_0_CAS-III']	[10]	['9.80e-08']	[0.378]	[0.606]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_870_length_11511_cov_35.5318	NODE_870_length_11511_cov_35.5318@1	1888	3768	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['8.10e-05']	[0.324]	[0.373]			hard_palate	industrial	HMP_2012__SRS062878__bin.21	putative
NODE_11118_length_1796_cov_3.72085	NODE_11118_length_1796_cov_3.72085@1	325	984	False	0%		III-B	1	['NYN_0_CAS-III-B']	[2]	['6.80e-04']	[0.5]	[0.338]			hard_palate	industrial	HMP_2012__SRS062878__bin.23	putative
NODE_204_length_26499_cov_5.24331	NODE_204_length_26499_cov_5.24331@2	17233	18570	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[23]	['8.00e-15']	[0.697]	[0.929]	1		hard_palate	industrial	HMP_2012__SRS062878__bin.23	putative
NODE_2197_length_6444_cov_4.13054	NODE_2197_length_6444_cov_4.13054@1	2780	3721	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[5]	['3.70e-20']	[0.484]	[0.884]			hard_palate	industrial	HMP_2012__SRS062878__bin.23	putative
NODE_7796_length_2448_cov_3.36565	NODE_7796_length_2448_cov_3.36565@1	88	1026	False	0%		IV-B	3	['CysH_0_IVB']	[1]	['7.10e-07']	[0.367]	[0.406]			hard_palate	industrial	HMP_2012__SRS062878__bin.23	putative
NODE_3824_length_4331_cov_4.30122	NODE_3824_length_4331_cov_4.30122@1	47	811	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[1]	['3.30e-39']	[0.655]	[0.994]			hard_palate	industrial	HMP_2012__SRS062878__bin.23	putative
NODE_517_length_15954_cov_6.10007	NODE_517_length_15954_cov_6.10007@1	128	2209	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[1]	['4.20e-13']	[0.425]	[0.858]	-1		hard_palate	industrial	HMP_2012__SRS062878__bin.23	putative
