Bin	Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools	Oral_site
ERS11702742.bin.r.1	PGOJNC_09045	-	GT2(5-168)	GT2	GT2	N	3	AC
ERS11702742.bin.r.1	PGOJNC_07465	-	-	GT28_e129	GT28	N	2	AC
ERS11702742.bin.r.1	PGOJNC_01105	-	-	-	GT7	N	1	AC
ERS11702742.bin.r.1	PGOJNC_01780	-	-	-	GT2	N	1	AC
ERS11702742.bin.r.1	PGOJNC_02110	-	-	-	CBM50	N	1	AC
ERS11702742.bin.r.1	PGOJNC_05480	-	-	-	GT2	N	1	AC
ERS11702742.bin.r.1	PGOJNC_05670	-	-	-	GT2	N	1	AC
ERS11702742.bin.r.1	PGOJNC_06635	-	-	-	CBM50	N	1	AC
ERS11702742.bin.r.1	PGOJNC_06835	-	-	-	GT0	N	1	AC
ERS11702742.bin.r.1	PGOJNC_07035	-	-	-	GT4	N	1	AC
ERS11702742.bin.r.1	PGOJNC_07185	-	-	-	GT2	N	1	AC
ERS11702742.bin.r.1	PGOJNC_07195	-	-	-	GT2	N	1	AC
ERS11702742.bin.r.1	PGOJNC_07585	-	-	-	CBM50	N	1	AC
ERS11702742.bin.r.1	PGOJNC_08140	-	-	-	GT4	N	1	AC
ERS11702742.bin.r.1	PGOJNC_08170	-	-	-	GH130	N	1	AC
ERS11702746.bin.r.1	ADDGHD_00605	-	AA3(2-400)	-	-	N	1	AC
ERS11702746.bin.r.1	ADDGHD_00770	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702746.bin.r.1	ADDGHD_01525	-	GT83(65-425)	-	-	N	1	AC
ERS11702746.bin.r.1	ADDGHD_01790	-|-	GT2(4-102)	GT2+GT1_e585	GT1+GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_02125	-	CE1(11-257)	-	-	N	1	AC
ERS11702746.bin.r.1	ADDGHD_02475	-	GT2(6-136)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_03855	-	GT2(5-168)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_04990	-	GH154(27-379)	GH154_e17	GH154	N	3	AC
ERS11702746.bin.r.1	ADDGHD_05045	-	GT2(7-124)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_05050	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_06100	-	GT2(7-164)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_06115	-	GT2(5-137)	GT2	-	N	2	AC
ERS11702746.bin.r.1	ADDGHD_06135	-	GT2(5-149)	GT2	-	N	2	AC
ERS11702746.bin.r.1	ADDGHD_06150	-	GT2(5-132)	GT2	-	N	2	AC
ERS11702746.bin.r.1	ADDGHD_06155	-	GT2(5-134)	GT2	-	N	2	AC
ERS11702746.bin.r.1	ADDGHD_06160	-	GT2(5-156)	GT2	-	N	2	AC
ERS11702746.bin.r.1	ADDGHD_06165	-	GT2(5-159)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_06450	-	GT81(18-243)	GT81_e6	GT81	N	3	AC
ERS11702746.bin.r.1	ADDGHD_06830	-	GT2(19-142)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_06835	-	GT2(5-124)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_06945	-	GT66(22-794)	GT66_e12	GT66	N	3	AC
ERS11702746.bin.r.1	ADDGHD_07875	-	GT2(5-144)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_08275	-	GT2(19-149)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_08405	-	GT2(7-144)	GT2	GT2	N	3	AC
ERS11702746.bin.r.1	ADDGHD_03465	-	-	GT28_e129	GT28	N	2	AC
ERS11702746.bin.r.1	ADDGHD_00825	-	-	-	GT2	N	1	AC
ERS11702746.bin.r.1	ADDGHD_01545	-	-	-	GT0	N	1	AC
ERS11702746.bin.r.1	ADDGHD_01980	-	-	-	GT7	N	1	AC
ERS11702746.bin.r.1	ADDGHD_02040	-	-	-	CBM50	N	1	AC
ERS11702746.bin.r.1	ADDGHD_02480	-	-	-	GT4	N	1	AC
ERS11702746.bin.r.1	ADDGHD_02710	-	-	-	CBM50	N	1	AC
ERS11702746.bin.r.1	ADDGHD_04060	-	-	-	CBM50	N	1	AC
ERS11702746.bin.r.1	ADDGHD_04800	-	-	-	GT4	N	1	AC
ERS11702746.bin.r.1	ADDGHD_04830	-	-	-	GH130	N	1	AC
ERS11702746.bin.r.1	ADDGHD_05015	-	-	-	GT2	N	1	AC
ERS11702746.bin.r.1	ADDGHD_05025	-	-	-	GT2	N	1	AC
ERS11702746.bin.r.1	ADDGHD_06145	-	-	-	GT2	N	1	AC
ERS11702746.bin.r.1	ADDGHD_06825	-	-	-	GT4	N	1	AC
ERS11702746.bin.r.1	ADDGHD_09065	-	-	-	GT2	N	1	AC
ERS11702747.bin.r.1	NFAPMK_01470	-	AA3(2-400)	-	-	N	1	AC
ERS11702747.bin.r.1	NFAPMK_02090	-	GH154(27-379)	GH154_e17	GH154	N	3	AC
ERS11702747.bin.r.1	NFAPMK_02470	-	GT2(5-144)	GT2	GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_02735	-	CE1(11-257)	-	-	N	1	AC
ERS11702747.bin.r.1	NFAPMK_02835	-	GT2(19-149)	GT2	GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_03310	-	GT83(65-424)	-	-	N	1	AC
ERS11702747.bin.r.1	NFAPMK_03475	-	GT2(6-136)	GT2	GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_03620	-	GT66(22-794)	GT66_e12	GT66	N	3	AC
ERS11702747.bin.r.1	NFAPMK_04070	-	GT2(5-149)	GT2	-	N	2	AC
ERS11702747.bin.r.1	NFAPMK_04195	-	GT2(5-137)	GT2	-	N	2	AC
ERS11702747.bin.r.1	NFAPMK_04315	-	GT4(184-331)	GT4_e796	GT4	N	3	AC
ERS11702747.bin.r.1	NFAPMK_04560	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702747.bin.r.1	NFAPMK_04865	-|-	GT2(4-102)	GT2+GT1_e585	GT1+GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_05565	-	GT2(19-142)	GT2	GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_07205	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_07315	-	GT81(18-243)	GT81_e6	GT81	N	3	AC
ERS11702747.bin.r.1	NFAPMK_08485	-	GT2(7-144)	GT2	GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_08585	-	GT2(5-168)	GT2	GT2	N	3	AC
ERS11702747.bin.r.1	NFAPMK_06675	-	-	GT28_e129	GT28	N	2	AC
ERS11702747.bin.r.1	NFAPMK_00170	-	-	-	GT7	N	1	AC
ERS11702747.bin.r.1	NFAPMK_00470	-	-	-	GH130	N	1	AC
ERS11702747.bin.r.1	NFAPMK_02080	-	-	-	GT4	N	1	AC
ERS11702747.bin.r.1	NFAPMK_03480	-	-	-	GT4	N	1	AC
ERS11702747.bin.r.1	NFAPMK_03815	-	-	-	GT0	N	1	AC
ERS11702747.bin.r.1	NFAPMK_04060	-	-	-	GT2	N	1	AC
ERS11702747.bin.r.1	NFAPMK_04540	-	-	-	CBM50	N	1	AC
ERS11702747.bin.r.1	NFAPMK_05120	-	-	-	GT2	N	1	AC
ERS11702747.bin.r.1	NFAPMK_06165	-	-	-	GT2	N	1	AC
ERS11702747.bin.r.1	NFAPMK_06175	-	-	-	GT2	N	1	AC
ERS11702747.bin.r.1	NFAPMK_06875	-	-	-	GT2	N	1	AC
ERS11702747.bin.r.1	NFAPMK_07570	-	-	-	GT2	N	1	AC
ERS11702748.bin.r.1	PGNKCC_00275	-|-	GT2(4-102)	GT2+GT1_e585	GT1+GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_00305	-	AA3(2-400)	-	-	N	1	AC
ERS11702748.bin.r.1	PGNKCC_02165	-	GT4(184-331)	GT4_e796	GT4	N	3	AC
ERS11702748.bin.r.1	PGNKCC_02510	-	GT2(6-136)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_02685	-	GT2(7-132)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_02690	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_02695	-	GT2(4-126)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_02835	-	GT2(5-137)	GT2	-	N	2	AC
ERS11702748.bin.r.1	PGNKCC_02950	-	GT2(11-143)	GT2	-	N	2	AC
ERS11702748.bin.r.1	PGNKCC_03170	-	GT2(5-149)	GT2	-	N	2	AC
ERS11702748.bin.r.1	PGNKCC_03265	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702748.bin.r.1	PGNKCC_04410	-	GH154(27-379)	GH154_e17	GH154	N	3	AC
ERS11702748.bin.r.1	PGNKCC_05190	-	GT2(5-168)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_05315	-	GT2(19-149)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_06020	-	GT66(2-252)	-	GT66	N	2	AC
ERS11702748.bin.r.1	PGNKCC_06520	-	GT2(19-142)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_06835	-	GT2(5-157)	GT2	GT2	N	3	AC
ERS11702748.bin.r.1	PGNKCC_07510	-	GT2(5-134)	GT2	-	N	2	AC
ERS11702748.bin.r.1	PGNKCC_05500	-	-	GT28_e129	GT28	N	2	AC
ERS11702748.bin.r.1	PGNKCC_02515	-	-	-	GT4	N	1	AC
ERS11702748.bin.r.1	PGNKCC_02820	-	-	-	GT2	N	1	AC
ERS11702748.bin.r.1	PGNKCC_03180	-	-	-	GT2	N	1	AC
ERS11702748.bin.r.1	PGNKCC_04995	-	-	-	GT2	N	1	AC
ERS11702748.bin.r.1	PGNKCC_05245	-	-	-	CBM50	N	1	AC
ERS11702748.bin.r.1	PGNKCC_05705	-	-	-	GT0	N	1	AC
ERS11702748.bin.r.1	PGNKCC_06245	-	-	-	GT2	N	1	AC
ERS11702748.bin.r.1	PGNKCC_06725	-	-	-	GT2	N	1	AC
ERS11702748.bin.r.1	PGNKCC_07620	-	-	-	GT2	N	1	AC
ERS11702748.bin.r.1	PGNKCC_07750	-	-	-	GT4	N	1	AC
ERS11702749.bin.r.3	IMFFCH_00265	-	GT66(22-794)	GT66_e12	GT66	N	3	AC
ERS11702749.bin.r.3	IMFFCH_00520	-	GH179(17-150)	GH109_e7	-	N	2	AC
ERS11702749.bin.r.3	IMFFCH_00850	-	GT83(65-424)	-	-	N	1	AC
ERS11702749.bin.r.3	IMFFCH_01335	-	CE1(11-257)	-	-	N	1	AC
ERS11702749.bin.r.3	IMFFCH_01655	-	GT2(5-168)	GT2	GT2	N	3	AC
ERS11702749.bin.r.3	IMFFCH_02935	-	GT2(6-136)	GT2	GT2	N	3	AC
ERS11702749.bin.r.3	IMFFCH_03005	-	GT2(5-157)	GT2	GT2	N	3	AC
ERS11702749.bin.r.3	IMFFCH_03010	-	GT2(5-156)	GT2	-	N	2	AC
ERS11702749.bin.r.3	IMFFCH_03015	-	GT2(5-134)	GT2	-	N	2	AC
ERS11702749.bin.r.3	IMFFCH_03020	-	GT2(5-132)	GT2	-	N	2	AC
ERS11702749.bin.r.3	IMFFCH_03035	-	GT2(5-149)	GT2	-	N	2	AC
ERS11702749.bin.r.3	IMFFCH_03350	-	AA3(2-400)	-	-	N	1	AC
ERS11702749.bin.r.3	IMFFCH_03415	-	GT81(18-243)	GT81_e6	GT81	N	3	AC
ERS11702749.bin.r.3	IMFFCH_03460	-	GH154(27-379)	GH154_e17	GH154	N	3	AC
ERS11702749.bin.r.3	IMFFCH_03515	-	GT2(7-124)	GT2	GT2	N	3	AC
ERS11702749.bin.r.3	IMFFCH_03520	-	GT2(4-176)	GT2	GT2	N	3	AC
ERS11702749.bin.r.3	IMFFCH_03525	-	GT2(4-127)	GT2	GT2	N	3	AC
