genome	accession	reference	gtdb_taxonomy	gtdb_genus	gtdb_species	ncbi_taxonomy	checkm2_completeness	checkm2_contamination	Host	Bin	Age_BP	Country	Continent	Industrialization	primary_cluster
GCA_017389565.1_ASM1738956v1_genomic	GCA_017389565.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900313645	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	80.15	2.4	reference genome						
GCF_017468685.1_ASM1746868v1_genomic	GCF_017468685.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017468685	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	96.1	2.02	reference genome						
GCF_045111935.1_ASM4511193v1_genomic	GCF_045111935.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900316895	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	89.98	0.62	reference genome						
GCF_902762245.1_Rumen_uncultured_genome_RUG10743_genomic	GCF_902762245.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900320515	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.58	0.41	reference genome						
GCA_902794475.1_Rumen_uncultured_genome_RUG13973_genomic	GCA_902794475.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902794475	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	84.83	1.24	reference genome						
GCF_015062905.1_ASM1506290v1_genomic	GCF_015062905.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella thaueri_A	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter thaueri	88.35	1.72	reference genome						
GCF_045130115.1_ASM4513011v1_genomic	GCF_045130115.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045130115	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	95.59	7.57	reference genome						
GCA_902764015.1_Rumen_uncultured_genome_RUG10921_genomic	GCA_902764015.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902764015	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	83.97	1.6	reference genome						
GCF_017406825.1_ASM1740682v1_genomic	GCF_017406825.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017406825	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	94.48	4.58	reference genome						
GCA_003266105.1_ASM326610v1_genomic	GCA_003266105.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp003266105	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	88.36	0.35	reference genome						
GCF_017539065.1_ASM1753906v1_genomic	GCF_017539065.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017539065	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.72	0.18	reference genome						
GCF_003111625.1_ASM311162v1_genomic	GCF_003111625.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella thaueri	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter thaueri	99.94	0.89	reference genome						
GCF_015062915.1_ASM1506291v1_genomic	GCF_015062915.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella thaueri_B	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter thaueri	92.28	0.18	reference genome						
GCF_017940815.1_ASM1794081v1_genomic	GCF_017940815.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017940815	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.87	0.37	reference genome						
GCF_947166415.1_SRR8387718_bin.72_metaWRAP_v1.3_MAG_genomic	GCF_947166415.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp947166415	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	91.68	0.25	reference genome						
GCA_045534295.1_ASM4553429v1_genomic	GCA_045534295.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017431965	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	79.03	1.98	reference genome						
GCF_045126245.1_ASM4512624v1_genomic	GCF_045126245.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045126245	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.47	1.12	reference genome						
GCF_946403945.1_SRR14812340_bin.22_metaWRAP_v1.3_MAG_genomic	GCF_946403945.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp022775905	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.9	0.37	reference genome						
GCF_945645595.1_SRR14474044_bin.6_metaWRAP_v1.3_MAG_genomic	GCF_945645595.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900769095	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter gottschalkii	99.98	0	reference genome						
GCF_050872065.1_ASM5087206v1_genomic	GCF_050872065.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp050872065	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	90.39	0.03	reference genome						
GCA_964620575.1_SRP278969_co2_40_genomic	GCA_964620575.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp964620575	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	85.03	1.76	reference genome						
GCF_051877095.1_ASM5187709v1_genomic	GCF_051877095.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp051877095	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.71	0.03	reference genome						
GCF_003814835.1_ASM381483v1_genomic	GCF_003814835.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella gottschalkii	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter gottschalkii	99.98	0.2	reference genome						
GCA_964345675.1_ERP107106_co2_178_genomic	GCA_964345675.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp964345675	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	98.76	0.46	reference genome						
GCF_030539875.1_ASM3053987v1_genomic	GCF_030539875.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp030539875	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.99	0.91	reference genome						
GCF_001548675.1_ASM154867v1_genomic	GCF_001548675.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp001548675	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.96	0.39	reference genome						
GCF_015062985.1_ASM1506298v1_genomic	GCF_015062985.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp015062985	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	92.03	1.16	reference genome						
GCF_045586545.1_ASM4558654v1_genomic	GCF_045586545.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045586545	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	88.95	0.39	reference genome						
GCA_045226045.1_ASM4522604v1_genomic	GCA_045226045.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045220775	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	85.19	1.57	reference genome						
GCF_045220775.1_ASM4522077v1_genomic	GCF_045220775.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045220775	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	96.85	3.57	reference genome						
GCF_017519255.1_ASM1751925v1_genomic	GCF_017519255.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902770715	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.91	0.34	reference genome						
GCF_034480035.2_ASM3448003v2_genomic	GCF_034480035.2	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp017431845	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	99.99	1.12	reference genome						
GCF_045221955.1_ASM4522195v1_genomic	GCF_045221955.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp030539795	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	86.84	0.58	reference genome						
GCF_045638665.1_ASM4563866v1_genomic	GCF_045638665.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp904501935	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.8	1.94	reference genome						
GCF_045112895.1_ASM4511289v1_genomic	GCF_045112895.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045112895	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.52	0.38	reference genome						
GCA_946541845.1_SRR873597_bin.84_metaWRAP_v1.3_MAG_genomic	GCA_946541845.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp946541845	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	84.73	1.82	reference genome						
GCA_017407115.1_ASM1740711v1_genomic	GCA_017407115.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017407115	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	92.85	1.34	reference genome						
GCA_017434525.1_ASM1743452v1_genomic	GCA_017434525.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017434525	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	100	7.93	reference genome						
GCF_947169325.1_SRR8387718_bin.77_metaWRAP_v1.3_MAG_genomic	GCF_947169325.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp947169325	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	92.96	1.32	reference genome						
GCF_045117655.1_ASM4511765v1_genomic	GCF_045117655.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045116495	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.69	1.92	reference genome						
GCA_900318035.1_Rumen_uncultured_genome_RUG344_genomic	GCA_900318035.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900318035	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	87.97	3.22	reference genome						
GCF_902771435.1_Rumen_uncultured_genome_RUG11674_genomic	GCF_902771435.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902771435	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.4	5.64	reference genome						
GCA_946537725.1_SRR1222429_bin.43_metaWRAP_v1.3_MAG_genomic	GCA_946537725.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp946537725	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	72.74	0	reference genome						
GCA_946404245.1_SRR12081300_bin.41_metaWRAP_v1.3_MAG_genomic	GCA_946404245.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp946404245	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	87.14	0.42	reference genome						
GCF_045539575.1_ASM4553957v1_genomic	GCF_045539575.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045539575	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	91.87	4.23	reference genome						
GCA_017473945.1_ASM1747394v1_genomic	GCA_017473945.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017473945	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.13	0.76	reference genome						
GCA_964596915.1_SRP315200_co1_967_genomic	GCA_964596915.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp964596915	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	95.9	1.54	reference genome						
GCF_900314615.1_Rumen_uncultured_genome_RUG018_genomic	GCF_900314615.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900314615	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	95	0.97	reference genome						
GCF_015062935.1_ASM1506293v1_genomic	GCF_015062935.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp015062935	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.57	1.3	reference genome						
GCF_017427765.1_ASM1742776v1_genomic	GCF_017427765.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017427765	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.96	7.82	reference genome						
GCF_947170395.1_SRR8387719_bin.80_metaWRAP_v1.3_MAG_genomic	GCF_947170395.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp947170395	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	88.8	1.95	reference genome						
GCF_017409525.1_ASM1740952v1_genomic	GCF_017409525.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp017409525	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.87	0.21	reference genome						
GCF_902764455.1_Rumen_uncultured_genome_RUG10962_genomic	GCF_902764455.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902764455	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	98.07	1.83	reference genome						
GCA_902797085.1_Rumen_uncultured_genome_RUG14233_genomic	GCA_902797085.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp902797085	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	86.84	1.03	reference genome						
GCF_045541095.1_ASM4554109v1_genomic	GCF_045541095.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045541095	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	98.4	1.23	reference genome						
GCF_902785855.1_Rumen_uncultured_genome_RUG13115_genomic	GCF_902785855.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902785855	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	95.31	0.06	reference genome						
GCF_045222475.1_ASM4522247v1_genomic	GCF_045222475.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902789505	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	95.39	1.42	reference genome						
