project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	community_type	material	archive	archive_project	archive_sample_accession	library_name	strand_type	library_treatment	instrument_model	library_layout	library_strategy	read_count	archive_data_accession	download_links	download_md5s
Weyrich2017	2017	10.1038/nature21674	El Sidrón Cave	43.386	-5.328	Spain	ElSidron1	Homo sapiens neanderthalensis	49000	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890498	ElSidron1_12056	double	none	Illumina HiSeq 2500	PAIRED	WGS	53186534	SRR13263123	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/023/SRR13263123/SRR13263123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/023/SRR13263123/SRR13263123_2.fastq.gz	e70fb68658e6e66a60ae4d289666bc03;15a9cbc5c9a1234978c220df8e91c4e7
Weyrich2017	2017	10.1038/nature21674	El Sidrón Cave	43.386	-5.329	Spain	ElSidron2	Homo sapiens neanderthalensis	49000	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890496	ElSidron2_12057	double	none	Illumina HiSeq 2500	PAIRED	WGS	51079301	SRR13263124	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/024/SRR13263124/SRR13263124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/024/SRR13263124/SRR13263124_2.fastq.gz	9cbcc5003e20e0f586e1ebc9b650f0a9;da822f56257a7b41c7dc9ccffee41004
Weyrich2017	2017	10.1038/nature21674	Spy Cave	50.480	4.674	Belgium	Spy1	Homo sapiens neanderthalensis	35800	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890491	Spy1_12055	double	none	Illumina HiSeq 2500	PAIRED	WGS	18367108	SRR13263130	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/030/SRR13263130/SRR13263130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/030/SRR13263130/SRR13263130_2.fastq.gz	9874ef821f3a3c7b793d9fff061e2c5c;21b81b6c4d609a7d0c644a1faa262f0b
Weyrich2017	2017	10.1038/nature21674	Spy Cave	50.480	4.674	Belgium	Spy2	Homo sapiens neanderthalensis	36000	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890487	Spy2_14017	double	none	Illumina HiSeq 2500	PAIRED	WGS	6126530	SRR13263131	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/031/SRR13263131/SRR13263131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/031/SRR13263131/SRR13263131_2.fastq.gz	728bb959bfe0027846e96156fbd428c2;5b4d175630c9380124cee638c59faf4a
Weyrich2017	2017	10.1038/nature21674	Al Khiday	15.441	32.381	Sudan	Sudan1	Homo sapiens	5000	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890505	11105_AfrSudan1	double	none	Illumina HiSeq 2500	PAIRED	WGS	12036888	SRR13263116	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/016/SRR13263116/SRR13263116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/016/SRR13263116/SRR13263116_2.fastq.gz	be49abcb2355e9c53ad450a8710876bc;3b008f806a85dc2f14b33ee27601a189
Weyrich2017	2017	10.1038/nature21674	Al Khiday	15.441	32.381	Sudan	Sudan2	Homo sapiens	5000	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890503	11106_AfrSudan2	double	none	Illumina HiSeq 2500	PAIRED	WGS	11755551	SRR13263117	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/017/SRR13263117/SRR13263117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/017/SRR13263117/SRR13263117_2.fastq.gz	59ce03e6cc3da97ae0632b28165b8725;bd7a4144a622d3dd5c5f11e5f4b297df
Weyrich2017	2017	10.1038/nature21674	Near Cape Town			South Africa	AfrSF1	Homo sapiens	2300	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890483	13209_AfrSF3	double	none	Illumina HiSeq 2500	PAIRED	WGS	18909969	SRR13263137	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/037/SRR13263137/SRR13263137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/037/SRR13263137/SRR13263137_2.fastq.gz	8e816937ab3ddb3685c8e63740d930cc;1010a0c6525fecebbb677f068d936753
Weyrich2017	2017	10.1038/nature21674	Near Cape Town			South Africa	AfrSF2	Homo sapiens	3800	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890484	13210_AfrSF4	double	none	Illumina HiSeq 2500	PAIRED	WGS	11516626	SRR13263138	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/038/SRR13263138/SRR13263138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/038/SRR13263138/SRR13263138_2.fastq.gz	56db57005ac29a48795e1141b0ba02df;7ba3feb0980469de96d849bd5e6a010f
Weyrich2017	2017	10.1038/nature21674	Near Cape Town			South Africa	AfrPP2	Homo sapiens	600	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890486	13204_AfrPP2	double	none	Illumina HiSeq 2500	PAIRED	WGS	8495412	SRR13263136	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/036/SRR13263136/SRR13263136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/036/SRR13263136/SRR13263136_2.fastq.gz	ce5b7c28278bb710c2325edecbbbc48d;e447b9e47d971c4175d4f35b1e5f66a4
Weyrich2017	2017	10.1038/nature21674	Near Cape Town			South Africa	AfrPP1	Homo sapiens	600	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890504	13213_AfrPP1	double	none	Illumina HiSeq 2500	PAIRED	WGS	7715048	SRR13263118	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/018/SRR13263118/SRR13263118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/018/SRR13263118/SRR13263118_2.fastq.gz	566968675e9540cd6a183bc39b1b4fe7;bb98f0027afdc470d28d356b5cd75ae8
Weyrich2017	2017	10.1038/nature21674	Hettstedt Gymnasium	51.646	11.512	Germany	IndRev2	Homo sapiens	200	10.1038/nature21674	oral	dental calculus	SRA	PRJNA685265	SRS7890502	13234_Euro_IndRev3	double	none	Illumina HiSeq 2500	PAIRED	WGS	13547243	SRR13263120	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/020/SRR13263120/SRR13263120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/020/SRR13263120/SRR13263120_2.fastq.gz	4883d5f315fd9c2737abfda4a1a0ef11;f94a2c5e012882935b4afca38e8fbee0
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS01	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985742	CS01	double	none	Illumina HiSeq 2500	PAIRED	WGS	9474756	ERR3003613	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/003/ERR3003613/ERR3003613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/003/ERR3003613/ERR3003613_2.fastq.gz	7d78d9cb40cab9be4dce15ac9d7b348f;e3af2538632036be08d589a073bb2dfe
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS01	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881508	CS01.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	10083684	ERR3589317	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/007/ERR3589317/ERR3589317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/007/ERR3589317/ERR3589317_2.fastq.gz	b623afbf6218eba4ffe8d882e9e45181;091b7cc0e89bf53f6d8278c41dcd9edb
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS02	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985743	CS02	double	none	Illumina HiSeq 2500	PAIRED	WGS	12325679	ERR3003614	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/004/ERR3003614/ERR3003614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/004/ERR3003614/ERR3003614_2.fastq.gz	101dfefec9041a00c7fb25e35fa28bac;d72d4768a1ff28bf6f6b9a07d8e5c90b
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS02	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881509	CS02.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	16289979	ERR3589318	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/008/ERR3589318/ERR3589318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/008/ERR3589318/ERR3589318_2.fastq.gz	c17dd9eabc927a60500a50b92322823e;cee3509e23e125c7f992dcd99f7a8147
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS03	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985744	CS03	double	none	Illumina HiSeq 2500	PAIRED	WGS	11544241	ERR3003615	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/005/ERR3003615/ERR3003615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/005/ERR3003615/ERR3003615_2.fastq.gz	0cda82b07f1f58e75296f4a52ecaff6e;734a40c0a4065a8a1eda07643ee78833
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS03	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881510	CS03.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	8573636	ERR3589319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/009/ERR3589319/ERR3589319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/009/ERR3589319/ERR3589319_2.fastq.gz	af76ee6804cf756d59fbe148b0e51eb7;b7337aff1e2e3b771782c26d5eee731e
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS04	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985745	CS04	double	none	Illumina HiSeq 2500	PAIRED	WGS	15802300	ERR3003616	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/006/ERR3003616/ERR3003616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/006/ERR3003616/ERR3003616_2.fastq.gz	d53e457e7967bbcd1a3ef805d2a1187b;d8d5caac4904dc938d2c4f348233dd68
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS05	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881512	CS05.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	8454922	ERR3589321	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/001/ERR3589321/ERR3589321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/001/ERR3589321/ERR3589321_2.fastq.gz	d1beca20a7bd16c7fa81a079d5a838ae;f7c3a2a63bf726fc85c2cbb3436d5ea5
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS07	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985746	CS07	double	none	Illumina HiSeq 2500	PAIRED	WGS	9235167	ERR3003617	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/007/ERR3003617/ERR3003617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/007/ERR3003617/ERR3003617_2.fastq.gz	b14a41e26130e8c1a08cb52c0698e37a;7028efefaeb85169fdd008d148f9e7be
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS07	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881514	CS07.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	7309268	ERR3589323	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/003/ERR3589323/ERR3589323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/003/ERR3589323/ERR3589323_2.fastq.gz	727bbedae21b9890036ce555e899f546;baf8d1d3e81560165e6ab7af2589f17b
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS08	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985747	CS08	double	none	Illumina HiSeq 2500	PAIRED	WGS	8701195	ERR3003618	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/008/ERR3003618/ERR3003618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/008/ERR3003618/ERR3003618_2.fastq.gz	bba8d9c76455f3bd38aec7c279a6bdd0;db31e9f882a82a8b46f9a877321c0c7e
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS08	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881515	CS08.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	7476338	ERR3589324	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/004/ERR3589324/ERR3589324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/004/ERR3589324/ERR3589324_2.fastq.gz	f1515cbf730322fffa12591c19100838;1746b4a485bcb8a27b9de564cd8446ac
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS09	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985748	CS09	double	none	Illumina HiSeq 2500	PAIRED	WGS	13965906	ERR3003619	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/009/ERR3003619/ERR3003619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/009/ERR3003619/ERR3003619_2.fastq.gz	659a6c68722b7a001aee86e8811e3284;57d63f19b5440065c1f6a41239d0cc7b
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS09	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881516	CS09.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	8364632	ERR3589325	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/005/ERR3589325/ERR3589325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/005/ERR3589325/ERR3589325_2.fastq.gz	240b81d8b01c6e17581b4f8af49aa39c;262c8e8f6b5bae37898a380f88d76053
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS10	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985749	CS10	double	none	Illumina HiSeq 2500	PAIRED	WGS	16542004	ERR3003620	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/000/ERR3003620/ERR3003620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/000/ERR3003620/ERR3003620_2.fastq.gz	ecc337c928743599dfc0d0b8e652ed27;67db106abf779e551772c14dbcf60043
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS10	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881517	CS10.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	9530360	ERR3589326	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/006/ERR3589326/ERR3589326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/006/ERR3589326/ERR3589326_2.fastq.gz	3414966d966caff328da6a81185392c7;1f999d5d601d17597fa599fd0ab3d571
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS11	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985750	CS11	double	none	Illumina HiSeq 2500	PAIRED	WGS	19087653	ERR3003621	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/001/ERR3003621/ERR3003621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/001/ERR3003621/ERR3003621_2.fastq.gz	17e51d2fceff29cfa174997c113c0cd4;95bc74493dc50839ae3ddf9a57400f2f
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS11	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881518	CS11.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	7546510	ERR3589327	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/007/ERR3589327/ERR3589327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/007/ERR3589327/ERR3589327_2.fastq.gz	49fa53333999737c722597da7d0e44c8;d4c5e233946d0e52464ffaaea3cd2904
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS12	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985751	CS12	double	none	Illumina HiSeq 2500	PAIRED	WGS	7103527	ERR3003622	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/002/ERR3003622/ERR3003622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/002/ERR3003622/ERR3003622_2.fastq.gz	c45d8d5d74844d34336fdbfac7e5e532;187462cd5a0caeefa6e4b144b18638d9
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS13	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985752	CS13	double	none	Illumina HiSeq 2500	PAIRED	WGS	14626437	ERR3003623	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/003/ERR3003623/ERR3003623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/003/ERR3003623/ERR3003623_2.fastq.gz	7fc11a67835fbd4ac13c09394de49cbe;d6216394c2e8ddd3909e46da3fb8925c
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS13	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881520	CS13.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	7106648	ERR3589329	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/009/ERR3589329/ERR3589329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/009/ERR3589329/ERR3589329_2.fastq.gz	a8f774e7843f1c4e7eb7885289ae1fbe;0d119662b669be25d5905a51933e6155
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS15	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985754	CS15	double	none	Illumina HiSeq 2500	PAIRED	WGS	13150437	ERR3003625	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/005/ERR3003625/ERR3003625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/005/ERR3003625/ERR3003625_2.fastq.gz	c046a10d1f2fe47c9e665cd1a75a1fab;a8dec5ee367a87b789820a7c05b796eb
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS15	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS3881522	CS15.kHFU.r	double	none	Illumina HiSeq 2500	PAIRED	WGS	7213015	ERR3589331	ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/001/ERR3589331/ERR3589331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR358/001/ERR3589331/ERR3589331_2.fastq.gz	0beba6cdc7b47b80e70baf223e1af990;2fe253354944ca099128f1863a722f73
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS16	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985755	CS16	double	none	Illumina HiSeq 2500	PAIRED	WGS	10939594	ERR3003626	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/006/ERR3003626/ERR3003626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/006/ERR3003626/ERR3003626_2.fastq.gz	1f50ed878e8e5be74ab1feb736e97ef3;bc468570b6ce92eb3e4e9298106fc65f
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS17	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985756	CS17	double	none	Illumina HiSeq 2500	PAIRED	WGS	14325259	ERR3003627	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/007/ERR3003627/ERR3003627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/007/ERR3003627/ERR3003627_2.fastq.gz	1081630d6e63ea9b9742c9d8a2019eb3;9a1bff33ca31f290f50fa90afa7ed5df
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS18	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985757	CS18	double	none	Illumina HiSeq 2500	PAIRED	WGS	5708187	ERR3003628	ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/008/ERR3003628/ERR3003628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR300/008/ERR3003628/ERR3003628_2.fastq.gz	840e713ab8770013e34c8355e669325a;d5983495b137f6b5aa4bd8d2423265ae
