project_name	publication_year	run_accession	study_accession	sample_alias	secondary_sample_accession	library_layout	fastq_ftp	fastq_md5	tax_id	instrument_model	read_count
Lassalle2018	2018	ERR1474578	PRJEB14383	Batak_73	ERS1202876	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1474578/ERR1474578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1474578/ERR1474578_2.fastq.gz	4b464d15bc36d3f2c6127fea52777b41;515759d39fda1ddd323b768c690472d3	256318	Illumina HiSeq 2500	3607524
Lassalle2018	2018	ERR1474579	PRJEB14383	Batak_99	ERS1202877	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1474579/ERR1474579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1474579/ERR1474579_2.fastq.gz	8232b3bda338080f90e8de569bb5591b;6ed0388a5bedad63111e4e341dc114a2	256318	Illumina HiSeq 2500	11210017
Lassalle2018	2018	ERR1474580	PRJEB14383	Agta_09	ERS1202878	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1474580/ERR1474580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1474580/ERR1474580_2.fastq.gz	c0394c153c73779a7249a4db38eb9624;d43c4b388e76a79317b1bda133ae50fa	256318	Illumina HiSeq 2500	54071663
Lassalle2018	2018	ERR1474581	PRJEB14383	Agta_27	ERS1202879	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1474581/ERR1474581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1474581/ERR1474581_2.fastq.gz	95fc3f1b923079cf968aef98891c5475;e6208c9fe747f82f06063e1973c20a90	256318	Illumina HiSeq 2500	2919368
Lassalle2018	2018	ERR1474582	PRJEB14383	Agta_44	ERS1202880	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1474582/ERR1474582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1474582/ERR1474582_2.fastq.gz	256b08ca0cf49446da757b47008f9933;273e5c8660495d74863cf9f87220d992	256318	Illumina HiSeq 2500	8374115
Lassalle2018	2018	ERR1474583	PRJEB14383	Agta_57	ERS1202881	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1474583/ERR1474583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1474583/ERR1474583_2.fastq.gz	f881b725fada1e9637c12fe2f52d9ee2;4381c67c47dc015750ed48139d5b8bdf	256318	Illumina HiSeq 2500	9966831
Lassalle2018	2018	ERR1474584	PRJEB14383	Casigurani_05	ERS1202882	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1474584/ERR1474584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1474584/ERR1474584_2.fastq.gz	3c8a6ec2cfa1c9a66b5208d8269be46b;9eb6cd9fef340f97caaaa038aa9962b0	256318	Illumina HiSeq 2500	9444327
Lassalle2018	2018	ERR1474585	PRJEB14383	Casigurani_09	ERS1202883	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1474585/ERR1474585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1474585/ERR1474585_2.fastq.gz	78f4dc19e4839317b4921e20048f133a;07511201f1d8549b8a982df5cd083073	256318	Illumina HiSeq 2500	38323142
Lassalle2018	2018	ERR1474586	PRJEB14383	Casigurani_32	ERS1202884	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1474586/ERR1474586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1474586/ERR1474586_2.fastq.gz	a46503b5db827b80520ddda61373889c;aa97bf553959b2a00fd0100f2ec971a9	256318	Illumina HiSeq 2500	40616282
Lassalle2018	2018	ERR1474587	PRJEB14383	Casigurani_34	ERS1202885	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1474587/ERR1474587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1474587/ERR1474587_2.fastq.gz	110f26e95afcfc4a3a8060ad0486b982;e0670490b6e93c29bff01fbf1d601cf4	256318	Illumina HiSeq 2500	28594633
Pedro2022	2022	ERR10228823	PRJEB54966	PNG104	ERS12516930	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/023/ERR10228823/ERR10228823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/023/ERR10228823/ERR10228823_2.fastq.gz	7906a767e134064510257a628e15af51;895d3684e195944fa2a4796a981ec27b	256318	HiSeq X Five	15224104
Pedro2022	2022	ERR10228824	PRJEB54966	PNG174	ERS12516931	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/024/ERR10228824/ERR10228824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/024/ERR10228824/ERR10228824_2.fastq.gz	9cfcd87f6911cdfca22da801ded53c10;770419e2426c54236cf2bc2ec64bc623	256318	HiSeq X Five	32282188
Pedro2022	2022	ERR10228825	PRJEB54966	PNG18	ERS12516932	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/025/ERR10228825/ERR10228825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/025/ERR10228825/ERR10228825_2.fastq.gz	4f6ff893de7c999a6a43eaae1e197844;2773812c22f55e6cb85cbf00807c2bc5	256318	HiSeq X Five	29360102
Pedro2022	2022	ERR10228826	PRJEB54966	PNG201	ERS12516933	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/026/ERR10228826/ERR10228826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/026/ERR10228826/ERR10228826_2.fastq.gz	b6168e204698998023a0978da420c166;b71a955afdd7e1f4c52ba812df7fe368	256318	HiSeq X Five	17353744
Pedro2022	2022	ERR10228827	PRJEB54966	PNG221	ERS12516934	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/027/ERR10228827/ERR10228827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/027/ERR10228827/ERR10228827_2.fastq.gz	b856a751229b9c2bfbb8fdc8f378fea9;fb48808ff9f4f30c43b4be2fe1350cf6	256318	HiSeq X Five	17092326
Pedro2022	2022	ERR10228828	PRJEB54966	PNG24	ERS12516935	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/028/ERR10228828/ERR10228828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/028/ERR10228828/ERR10228828_2.fastq.gz	2630f546f62723d454d5be57198f80b6;1aecf9606b5d6bf636c1e58be01770ad	256318	HiSeq X Five	59295662
Pedro2022	2022	ERR10228829	PRJEB54966	PNG304	ERS12516936	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/029/ERR10228829/ERR10228829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/029/ERR10228829/ERR10228829_2.fastq.gz	50202a24e8ca1c9c6a5623e16cc6e5c6;011a1f9d859dc542aedf9b26e82bfad2	256318	HiSeq X Five	25309806
Pedro2022	2022	ERR10228830	PRJEB54966	PNG327	ERS12516937	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/030/ERR10228830/ERR10228830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/030/ERR10228830/ERR10228830_2.fastq.gz	3246902a06a2271bf07f71e864dc29f4;c720aa142b74b9a2789623bd75e5d47c	256318	HiSeq X Five	11245996
Pedro2022	2022	ERR10228831	PRJEB54966	PNG53	ERS12516938	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/031/ERR10228831/ERR10228831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/031/ERR10228831/ERR10228831_2.fastq.gz	a5604cd881255fd81c765b7c0aff0b71;c2b392eadf999f57fe01d3466896e918	256318	HiSeq X Five	29162708
Pedro2022	2022	ERR10228832	PRJEB54966	PNG61	ERS12516939	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/032/ERR10228832/ERR10228832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/032/ERR10228832/ERR10228832_2.fastq.gz	b4e56da9046df7d3075d9cc683904323;072a9aef6689a41298666c42499dffb5	256318	HiSeq X Five	33937886
Pedro2022	2022	ERR10228833	PRJEB54966	PNG68	ERS12516940	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/033/ERR10228833/ERR10228833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/033/ERR10228833/ERR10228833_2.fastq.gz	9332d90a952b0278e920768771276bcb;bf7d97be5fd1a807641c2b3cb58f5da5	256318	HiSeq X Five	20933034
Pedro2022	2022	ERR10228834	PRJEB54966	PNG70	ERS12516941	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/034/ERR10228834/ERR10228834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/034/ERR10228834/ERR10228834_2.fastq.gz	6a9b1d445ed9d668b321212a062cb8a3;d01b3d4846a14310a801fdb5e68f27bd	256318	HiSeq X Five	10582496
Pedro2022	2022	ERR10228835	PRJEB54966	PNG79	ERS12516942	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/035/ERR10228835/ERR10228835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/035/ERR10228835/ERR10228835_2.fastq.gz	595b2c896f45f3c444b69f099192be25;6b0609e7eff802b85d560eec1df51aaf	256318	HiSeq X Five	9310218
Pedro2022	2022	ERR10228836	PRJEB54966	PNG365	ERS12516943	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/036/ERR10228836/ERR10228836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/036/ERR10228836/ERR10228836_2.fastq.gz	7050867f7146628e7d7bea7baef362e2;2ba502a550cb92dbaa37c1b52123b66c	256318	HiSeq X Five	5792224
Pedro2022	2022	ERR10228837	PRJEB54966	PNG366	ERS12516944	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/037/ERR10228837/ERR10228837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/037/ERR10228837/ERR10228837_2.fastq.gz	b161555f7261a7c735312224c79bb06d;ed3b2db307da8358be95cbb62351ce17	256318	HiSeq X Five	22907576
Pedro2022	2022	ERR10228838	PRJEB54966	PNG367	ERS12516945	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/038/ERR10228838/ERR10228838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/038/ERR10228838/ERR10228838_2.fastq.gz	000087ce82a763891eee0f4102a70c63;4b36fcbee3fdef083b64c0e74bb0164c	256318	HiSeq X Five	6009194
Pedro2022	2022	ERR10228839	PRJEB54966	PNG370	ERS12516946	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/039/ERR10228839/ERR10228839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/039/ERR10228839/ERR10228839_2.fastq.gz	6625d7fb6674251b7e7f353fb3a837ab;e0853da66551f4197eebf72351bf4b53	256318	HiSeq X Five	25961876
Pedro2022	2022	ERR10228840	PRJEB54966	PNG379	ERS12516947	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/040/ERR10228840/ERR10228840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/040/ERR10228840/ERR10228840_2.fastq.gz	b67fccd2bbdeb7c9cf86021d509f860d;c52707ea55780b3ccb5abda016726d77	256318	HiSeq X Five	27878844
Pedro2022	2022	ERR10228841	PRJEB54966	PNG382	ERS12516948	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/041/ERR10228841/ERR10228841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/041/ERR10228841/ERR10228841_2.fastq.gz	b20cde8d171714e10625833c26c79a6e;9593dc0f2c4a2a8356d3dacfd671f16a	256318	HiSeq X Five	33059498
Pedro2022	2022	ERR10228842	PRJEB54966	PNG384	ERS12516949	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/042/ERR10228842/ERR10228842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/042/ERR10228842/ERR10228842_2.fastq.gz	f1b116ae1292f8e94bea25ce13dc9f40;3b2c3c1fda9bd427d9cc1e7b677bfa1d	256318	HiSeq X Five	17803836
Pedro2022	2022	ERR10228843	PRJEB54966	PNG385	ERS12516950	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/043/ERR10228843/ERR10228843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/043/ERR10228843/ERR10228843_2.fastq.gz	842005a2e777175485af6638d4e649bd;d6a03c9309cafc91875990f678680628	256318	HiSeq X Five	16013302
Pedro2022	2022	ERR10228844	PRJEB54966	PNG388	ERS12516951	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/044/ERR10228844/ERR10228844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/044/ERR10228844/ERR10228844_2.fastq.gz	b3b312b1e24d8d146078671bf001d20c;43fe19892d53c3d4904fb7450c0cb8d8	256318	HiSeq X Five	38376028
Pedro2022	2022	ERR10228845	PRJEB54966	PNG391	ERS12516952	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/045/ERR10228845/ERR10228845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/045/ERR10228845/ERR10228845_2.fastq.gz	0846815a70ccb2e3df5d181cdfdccc30;494a5619345c9cd7d277195b4fe4dc11	256318	HiSeq X Five	19902908
Pedro2022	2022	ERR10228846	PRJEB54966	PNG393	ERS12516953	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/046/ERR10228846/ERR10228846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/046/ERR10228846/ERR10228846_2.fastq.gz	f8ec25080882ecdbc4430c70997b7c0c;352d6b6f45f56abb319d00a7e93f4203	256318	HiSeq X Five	20242392
Pedro2022	2022	ERR10228847	PRJEB54966	PNG394	ERS12516954	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/047/ERR10228847/ERR10228847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/047/ERR10228847/ERR10228847_2.fastq.gz	32d94007b191289c37352eae6f5bb7d5;4df9120024c1fb4b513a2492f949d3b9	256318	HiSeq X Five	23499258
Pedro2022	2022	ERR10228848	PRJEB54966	PNG395	ERS12516955	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/048/ERR10228848/ERR10228848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/048/ERR10228848/ERR10228848_2.fastq.gz	e6fe2a268239711f92f68a84e1f25b07;9c60a32085573020605baa6749caf172	256318	HiSeq X Five	157696322
Pedro2022	2022	ERR10228849	PRJEB54966	PNG399	ERS12516956	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/049/ERR10228849/ERR10228849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/049/ERR10228849/ERR10228849_2.fastq.gz	b4946e7ece693e7a74d231b9c90cc0a3;8b6324e3df43935624f5715e3d8cbae3	256318	HiSeq X Five	8368004
Pedro2022	2022	ERR10228850	PRJEB54966	PNG401	ERS12516957	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/050/ERR10228850/ERR10228850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/050/ERR10228850/ERR10228850_2.fastq.gz	0f108cb67df4b7c000ea2ac73f981d5d;cfc9e95809779a368a17893eead9b100	256318	HiSeq X Five	8189616
Pedro2022	2022	ERR10228851	PRJEB54966	PNG402	ERS12516958	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/051/ERR10228851/ERR10228851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/051/ERR10228851/ERR10228851_2.fastq.gz	1de23e10c5f4441644fce0e09728741a;4b13ece3ef5634ee9a40620a496bac1a	256318	HiSeq X Five	8154390
Pedro2022	2022	ERR10228852	PRJEB54966	PNG404	ERS12516959	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/052/ERR10228852/ERR10228852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/052/ERR10228852/ERR10228852_2.fastq.gz	3d8346369e33494ede7447a12bbceb3b;eb41b050e3346caf5a4ebd92ba9c9718	256318	HiSeq X Five	15082690
Pedro2022	2022	ERR10228853	PRJEB54966	PNG405	ERS12516960	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/053/ERR10228853/ERR10228853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/053/ERR10228853/ERR10228853_2.fastq.gz	de01305d7eb6737c97bab1af7dbd1b1f;6900ddc58b29d85b5a167a50b0dcce59	256318	HiSeq X Five	20376964
Pedro2022	2022	ERR10228854	PRJEB54966	PNG124	ERS12516961	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/054/ERR10228854/ERR10228854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/054/ERR10228854/ERR10228854_2.fastq.gz	04aa88edc012c598293f6a1a294011fa;3f324fd8037c14670a269a4bbb54ce2f	256318	HiSeq X Five	37008326
